t_index,date,P01,P02,P03,P04,P05,P06,P07,P08,C01,C02,C03,C04,C05,C06
0,2025-01-01,0.3679724103879155,0.40471574370993507,0.3560117637404749,0.47175531086022854,0.4611424353722261,0.8694260123725919,0.7657962304527572,0.20853275564578305,5.029378381912447,5.057900726514423,5.451172538148996,4.359238287636721,4.768774035722784,
1,2025-01-02,0.4608287186702412,0.3610259960948355,0.36002192141360057,0.5077150549259558,0.3920156502155356,0.7287112188622351,0.6533675557138086,,4.161651502257985,5.39347604472272,4.277914938533325,4.127540187169137,4.3642018773744455,4.898949094890631
2,2025-01-03,0.5631189807621402,0.444009729944161,0.30247164287052986,0.49632243381628505,0.2097729405432751,0.6081624533359073,,0.19150990661144912,4.018387725477828,4.121548159937111,2.7879081427651293,3.613069117608474,4.411461406511663,4.26355941134835
3,2025-01-04,0.48096860440261785,0.48593471740443317,0.30841099737931915,0.4834982008439119,0.03677818009823772,0.5040509458031086,0.5958329247479137,0.15172176110260416,3.1830122271261465,3.7352404474162735,2.011613501948166,3.2036820340295833,3.747546042279998,3.8550415491676917
4,2025-01-05,0.4312771333353471,0.5151747245918147,0.3824091468640954,0.38694983276743705,0.0,0.5936755218382032,0.4245105827023077,0.20680616073466518,3.0543634090268776,3.1448533338866564,1.8324597706030186,3.1403069376662676,3.724574920573247,3.2279632899161443
5,2025-01-06,0.362640460512969,0.6185910306769508,0.3494894560173867,0.47093974430923635,0.018275935955692116,0.5867338725203997,0.25369860282490575,,3.0887079265747444,3.6002245049396104,1.9898134814066406,,3.848493275543301,3.880895908213792
6,2025-01-07,0.3801918641282986,0.6807386195306432,0.22238809212169364,0.43094199444253845,0.0,0.5805683543006444,0.24734804510825087,0.0,3.4212685792776845,,2.294862144649312,2.6128195633517977,4.210742562543133,3.7949259741354653
7,2025-01-08,0.38078080722611735,0.6703721847612591,0.3218577391063057,0.5202447217900702,0.08588618595216717,0.6306990611575682,0.2125453740939969,,2.31873570498026,,3.2982917135727767,2.481169498299413,4.828700773793804,4.729175386837448
8,2025-01-09,0.43865919112553464,0.5466852374707982,0.3508599561980018,0.6285640910224657,0.10989600264924614,0.6175351363435746,0.38881844382046793,0.003933059854576995,1.6325211545632943,3.2041918655546535,2.3425504994633357,2.4655966746425633,3.810156547797849,4.463683839550974
9,2025-01-10,0.5308115652792427,0.5158226666735682,0.38766263575502946,0.6196451413585059,0.1083519790534303,0.7287096607715489,,0.11921804245780403,1.8902616621242534,3.520330388834939,2.565832849158499,2.7438013270798134,3.600815415421892,3.5787642997823923
10,2025-01-11,0.3913264788638622,0.5762707276882256,0.4860629024266416,0.45182716438337156,,0.6085598655589439,0.0960798816109544,0.08467821796277276,1.9289938202219108,,2.152245330928854,2.0229519772872067,,3.031391299256703
11,2025-01-12,,0.5897892189193422,0.4506640222615185,0.32050764306252794,0.22243019308108292,0.5674368151181397,,0.042288987763462904,2.5705759251261036,2.7382707145631953,2.066040893239903,2.085202426371348,,3.048522756237242
12,2025-01-13,0.42643993167726313,0.5882124386178879,0.2769978612347139,,0.2376659804088413,0.48637429465077026,0.12837193050753226,0.0,2.6528144508435445,2.9008222136665003,2.4891908959527673,1.6046654922957435,,3.4424177979011685
13,2025-01-14,0.3410410308703007,0.5501094571631708,0.14711817536353838,0.20985751176211379,0.2219089958563517,0.568174752431968,0.20706300483233425,0.09852207872646598,3.2701240088501917,2.64327925335636,2.9644541773491673,1.7284125648703297,,
14,2025-01-15,0.24822006953679707,0.7065934165540372,0.10143956526253799,0.30525788337625764,0.2124448966842686,0.4140227038440451,0.2184597880470264,0.10512415607601784,3.7205684262473544,2.1669524355915484,3.3749067207321564,1.3558708848526344,,
15,2025-01-16,0.4463726131683915,0.7189183944588742,0.2624595742055147,0.38445306182046457,0.3450744302461046,0.4427954783614709,0.3471915618032264,0.06002355286984032,3.7112064891771244,,2.441560328199203,,,4.428404679705047
16,2025-01-17,0.46069035448515705,0.7036469099484789,0.24348758701195916,0.363427888885143,0.2817794226543573,0.3982157356968812,,0.18534495855954652,,2.7971236496765863,2.9889465966013606,1.3241729050714264,2.6164441933475544,3.797485396237549
17,2025-01-18,0.2524521512431639,0.844206633898792,0.19858926120858467,0.4715048346694366,0.3148583921961711,0.41127074179304546,0.14890516005114174,,3.929102322422788,2.682489762223114,2.0941060922493744,1.8848809613904838,3.0763539564204434,4.200194869053211
18,2025-01-19,0.2408409854005348,0.7011411045504112,0.15081861591080747,0.3014180738369021,0.23790673510342203,0.35654360796958556,0.09173899285081452,0.18054155463694532,3.3736687888954293,2.7318490133205433,2.6844366748011277,2.6197848235238004,3.5160913450606963,4.7075839160129345
19,2025-01-20,0.35096487081178507,0.680892567670787,0.2242124058488958,0.12775498922508774,0.16630999864198365,0.29380176124370594,0.1034728320213389,0.0,2.583920217589792,,2.63991968846846,2.9418530502586595,3.3382457236723693,
20,2025-01-21,0.28682352379854126,0.4922670439241115,0.18345274201517744,0.21062174410871282,0.16507986263646252,0.36404207534367605,0.09082405567972603,0.10794053335599994,2.6008073676256083,2.9863227105700347,,3.9161612698291672,3.3824617971499324,
21,2025-01-22,0.26092366311983856,0.4144524333298297,0.179434414127506,0.18264306047241857,,0.37313680695433094,0.0,0.25959870819396397,3.158401757930169,2.2563398761305447,3.045005831841022,4.329232807745714,1.9342455417726883,
22,2025-01-23,,0.4343350613710016,0.2990846835238158,0.22213606622684184,0.4568298250752555,,0.01671918973584384,0.061456960579748116,3.5786010469562743,2.0642598341600173,3.189200654624463,3.797574470717482,,
23,2025-01-24,,0.5800670702077115,0.39771923236672363,0.017456171317777713,0.33276425459392384,0.2651128724760504,0.04296486480172373,0.2285795961234904,,1.8909743142553042,3.4448785145218386,4.583168499301634,3.2905333527398346,
24,2025-01-25,,,0.5277241003905881,0.11804322991589616,0.4962207279528647,0.34716171249487965,0.0,0.16313165383749756,3.141729579021399,,3.7023044621456647,4.569194967213885,3.591411005281156,5.790203283408452
25,2025-01-26,,0.576479274592321,0.469269304427359,0.11009843297428694,,0.29602990890369085,0.08350269459657811,0.17323232913052014,2.956810241583124,2.2971090718694827,3.310059821119325,4.184309989732659,3.098734536912809,
26,2025-01-27,,0.6018577542063458,0.4058865075655721,0.05333028245499327,0.3918693474236992,0.31837967929015726,0.05168917585669891,0.34018573317265743,2.7208768740000027,1.4934779575956676,3.8400382879554273,,2.9108310194569,5.888257593319834
27,2025-01-28,,0.6358381606793532,0.310287669944995,0.282507403773155,0.42489014363595023,0.238211453426439,0.029975570258873256,0.36015424854451905,2.945619461161986,2.184854366565356,3.5518378995430204,2.620886549964795,3.1474472067341033,5.0205443043605396
28,2025-01-29,0.0,0.8215687596507986,0.30116947685497414,0.182397917884677,0.31082618873513307,,0.0,0.39090792423840665,2.5207147143064974,2.1541864397845774,3.3065690872490223,3.03032041150984,3.0695603786767793,5.089118763989036
29,2025-01-30,0.0,0.654645245576863,0.35361744145280966,0.2547357724734152,0.2600920607747638,0.24816292120769778,0.0,0.3136589073804158,3.0938168276059295,2.6368645626715153,2.8147178119853478,2.281875624854757,2.6629917215729093,6.051273648458761
30,2025-01-31,0.0,,,,,0.11473758464707767,0.0,,3.2885474753597657,,4.114703642717124,2.635189729478849,2.9315130888921836,
31,2025-02-01,0.02028593505355886,0.5923565261677571,0.6703212869057603,0.33332050378327727,,0.2803121171094961,0.0,0.36164075533142986,4.108450557610373,3.795145065859445,3.563701140957231,1.8995833910270536,3.503455989482656,5.134408772697936
32,2025-02-02,0.20416012429296398,0.6320973073271433,0.5801327065195124,0.22645792803461107,0.1341223437476956,0.3032039255343038,0.021708912368372527,0.12727602993485349,3.9398545357566497,3.5563671763401654,3.9485330818373363,2.311946332294902,,
33,2025-02-03,0.20507562947006786,0.7057549871999363,0.6943614664274634,0.2922345869188423,0.2632200449938757,0.3219410343137099,0.0,,3.711533705815405,4.459824596053299,3.7247085071867954,2.2203494250089797,3.1861708795602914,
34,2025-02-04,0.07471607791758714,0.6852751316979766,0.5874695465214673,0.35129922214033027,0.3131529863631726,0.387350405799468,0.016397326331704373,0.1918222158151108,3.6521398551434063,4.320056203063042,4.610819842179451,1.825918214098345,3.536286826784228,
35,2025-02-05,,0.684734818697059,0.5875963860538342,0.3684324777890517,0.2617974646513032,0.3973113291401286,0.0,0.10948628930958836,3.165331110024128,3.057294303627666,4.773366416372101,2.709754158220366,3.4736859063792807,
36,2025-02-06,0.24157468520844214,0.6423066779004805,0.5043919106059893,0.2955040538424514,0.18420400443290363,0.3809242968391625,0.0,,2.7717890971404358,2.482449221706211,3.731967040661449,2.410283357073576,,
37,2025-02-07,0.12103525763839623,,0.47163951443265334,0.31309566281655843,0.43985793393263795,,0.0,0.379338148952465,1.7577120175877616,3.2134182851541806,2.5942218797370193,1.9106616023088165,3.072412078927494,
38,2025-02-08,0.18257922618687794,0.4410643969237255,0.3853470269411389,0.329726543057521,0.39429736464148374,0.49453088284992436,0.07207851132447421,0.3931754248744417,1.6976543677486189,2.7384975417207205,2.226818814472929,2.414446029756765,,
39,2025-02-09,0.16940512898181515,0.48896539960812824,,0.3142117736269755,0.3125321833578143,0.46465084801579926,0.0,0.37557706618354886,1.695645051510891,1.616088751491477,3.28815952388747,2.6712750619114476,3.482466914413985,3.4733178255275856
40,2025-02-10,0.12558655632661325,0.378120034102257,0.4004498914167404,0.25527677564474327,0.3079037339027092,,0.0,0.2684888863866,2.0840379804654265,2.2561596118375515,3.0506699698776516,1.992548063816149,3.9056008820499764,
41,2025-02-11,0.24326513978417577,0.30321342879257523,0.27845273571987517,0.07302011390897362,0.19088862183703825,0.3560231438980093,0.0,0.21267883181057837,2.5123808097221447,2.5798117434572116,2.695079216951627,2.038301916476266,4.2501021972368465,3.351809271312214
42,2025-02-12,,0.41545986693624565,0.3818704318256728,0.07564608203199062,0.15728239330376556,0.4868964714474456,0.0,0.30619505185128587,2.6286465370712153,1.644631992236592,2.260457273355665,1.4889730113530337,,4.372789805461393
