code,role,label,ontology_id,conf,freq_hint
C01,CRITERION,Elevated resting muscle tension in shoulders and jaw,neck_muscle_tension_associated_with_tmjd,0.78,
C02,CRITERION,Low moment-to-moment awareness of bodily tension,reduced_level_of_awareness,0.63,
C03,CRITERION,Headaches triggered by muscular tension,mild_to_moderate_intensity,0.72,
C04,CRITERION,Persistent anticipatory threat expectation,fear_of_something_bad_may_happen,0.78,
C05,CRITERION,Difficulty relaxing on low-stress days,emotional,0.65,
C06,CRITERION,Habitual anticipatory muscle bracing in absence of immediate threat,posture,0.58,
P01,PREDICTOR,Progressive muscle relaxation (PMR) practice intensity since last prompt,progressive_muscle_relaxation_practice,0.95,
P02,PREDICTOR,Interoceptive awareness/body-scan practice (mindfulness) since last prompt,interoceptive_awareness_practice,0.72,
P03,PREDICTOR,Diaphragmatic/soothing breathing micro-practices since last prompt,diaphragmatic_breathing_practice,0.88,
P04,PREDICTOR,Sleep quality last night (morning diary),sleep_quality_rating,0.92,
P05,PREDICTOR,Ergonomic/posture adjustments and mindful posture checks since last prompt,mindful_posture_checkin,0.82,
P06,PREDICTOR,Passive jaw-clench/bruxism sensor event count (per EMA window),jaw_clench_bruxism_sensor,0.82,
P07,PREDICTOR,Hourly micro-breaks with movement since last prompt,micro_restoration_routines,0.72,
P08,PREDICTOR,Threat reappraisal / cognitive reframing practice since last prompt,threat_appraisal_reframe_practice,0.84,
