pseudoprofile_id,domain,n_runs,n_union_features_domain,topN_exported,mean_presence_frequency_topN,mean_mean_rank_topN,mean_mean_score_topN
pseudoprofile_FTC_ID021,ALL,5,306,100,1.0,56.074000064134594,0.23278233289718628
pseudoprofile_FTC_ID041,ALL,5,306,100,1.0,56.2159997844696,0.21991802439093588
pseudoprofile_FTC_ID045,ALL,5,323,100,1.0,58.67599983930588,0.22131766140460968
pseudoprofile_FTC_ID043,ALL,5,305,100,1.0,58.97400028347969,0.2126117815077305
pseudoprofile_FTC_ID013,ALL,5,303,100,1.0,59.23599992752075,0.2284875337779522
pseudoprofile_FTC_ID030,ALL,5,324,100,1.0,59.76200013875961,0.21161293238401413
pseudoprofile_FTC_ID044,ALL,5,323,100,1.0,59.91800003647804,0.22113267764449118
pseudoprofile_FTC_ID006,ALL,5,326,100,1.0,60.68800005912781,0.22107847213745116
pseudoprofile_FTC_ID042,ALL,5,306,100,1.0,61.03200002670288,0.24021330922842027
pseudoprofile_FTC_ID038,ALL,5,300,100,1.0,62.228000037670135,0.2311447174847126
pseudoprofile_FTC_ID036,ALL,5,332,100,1.0,62.81000000953674,0.22721469074487685
pseudoprofile_FTC_ID027,ALL,5,322,100,1.0,63.58600014925003,0.221271530687809
pseudoprofile_FTC_ID014,ALL,5,338,100,1.0,64.04199976921082,0.22411969542503357
pseudoprofile_FTC_ID012,ALL,5,346,100,1.0,64.17399983644485,0.20801114305853843
pseudoprofile_FTC_ID034,ALL,5,314,100,1.0,64.80400016784668,0.21854449450969696
pseudoprofile_FTC_ID004,ALL,5,323,100,1.0,65.69999987125397,0.2264850376546383
pseudoprofile_FTC_ID008,ALL,5,320,100,1.0,66.14000004649162,0.20867828905582428
pseudoprofile_FTC_ID018,ALL,5,339,100,1.0,66.92600011825562,0.20745867282152175
pseudoprofile_FTC_ID020,ALL,5,343,100,1.0,69.166000020504,0.22544300615787505
pseudoprofile_FTC_ID002,ALL,5,346,100,1.0,71.84599979400635,0.2100471830368042
pseudoprofile_FTC_ID003,ALL,5,316,100,0.998,72.17399975419045,0.2226669582724571
pseudoprofile_FTC_ID032,ALL,5,361,100,0.9899999999999999,63.59199975609779,0.2287316343188286
pseudoprofile_FTC_ID048,ALL,5,354,100,0.9899999999999999,66.16499994516373,0.21756028652191162
pseudoprofile_FTC_ID028,ALL,5,343,100,0.9879999999999999,64.90600002765656,0.21222304835915565
pseudoprofile_FTC_ID049,ALL,5,354,100,0.986,63.32049983024597,0.2222491279244423
pseudoprofile_FTC_ID024,ALL,5,358,100,0.9839999999999999,70.35300009012222,0.22050834000110625
pseudoprofile_FTC_ID007,ALL,5,345,100,0.98,67.40550018548966,0.22140577360987662
pseudoprofile_FTC_ID037,ALL,5,356,100,0.978,71.02200017929077,0.23077615693211556
pseudoprofile_FTC_ID047,ALL,5,364,100,0.976,62.571499960422514,0.21617457702755927
pseudoprofile_FTC_ID035,ALL,5,349,100,0.976,63.156000022888186,0.2208045719563961
pseudoprofile_FTC_ID022,ALL,5,344,100,0.9739999999999999,63.895499985218045,0.20195786535739899
pseudoprofile_FTC_ID040,ALL,5,350,100,0.968,64.38500011205673,0.22147883117198944
pseudoprofile_FTC_ID009,ALL,5,367,100,0.968,66.36599997758866,0.21417603820562361
pseudoprofile_FTC_ID023,ALL,5,368,100,0.968,67.10600031614304,0.21343713402748107
pseudoprofile_FTC_ID025,ALL,5,343,100,0.966,65.60050030469894,0.2257451032102108
pseudoprofile_FTC_ID029,ALL,5,336,100,0.9640000000000001,66.58049991369248,0.22195185393095015
pseudoprofile_FTC_ID039,ALL,5,361,100,0.9620000000000001,63.325000009536744,0.2126374565064907
pseudoprofile_FTC_ID050,ALL,5,376,100,0.9620000000000001,63.76549973845482,0.21904054507613183
pseudoprofile_FTC_ID033,ALL,5,360,100,0.9620000000000001,66.14250001430511,0.20487313330173493
pseudoprofile_FTC_ID019,ALL,5,349,100,0.96,65.27549989581108,0.22113945513963698
pseudoprofile_FTC_ID031,ALL,5,340,100,0.96,65.44549994468689,0.2318022471666336
pseudoprofile_FTC_ID026,ALL,5,397,100,0.9540000000000001,69.86900012016297,0.23289087727665903
pseudoprofile_FTC_ID011,ALL,5,392,100,0.9520000000000001,69.7060001695156,0.2195848898589611
pseudoprofile_FTC_ID015,ALL,5,362,100,0.95,66.47099989891052,0.20665890350937843
pseudoprofile_FTC_ID046,ALL,5,368,100,0.9440000000000001,64.58600013732911,0.21594571202993393
pseudoprofile_FTC_ID016,ALL,5,374,100,0.934,66.29900013446807,0.2232831571996212
pseudoprofile_FTC_ID017,ALL,5,426,100,0.9320000000000002,71.36099992156029,0.21027686417102814
pseudoprofile_FTC_ID010,ALL,5,373,100,0.9300000000000002,70.40350006580353,0.21831732109189034
pseudoprofile_FTC_ID005,ALL,5,395,100,0.9280000000000002,67.37549996852874,0.20857041522860528
pseudoprofile_FTC_ID001,ALL,5,423,100,0.8619999999999999,62.932999763488766,0.2010525418817997
pseudoprofile_FTC_ID002,BIO,5,1,1,1.0,65.4000015258789,0.20995628833770752
pseudoprofile_FTC_ID021,BIO,5,189,100,0.9899999999999999,75.26950011372566,0.22649338141083716
pseudoprofile_FTC_ID041,BIO,5,152,100,0.94,88.94449997425079,0.20851275458931923
pseudoprofile_FTC_ID006,BIO,5,148,100,0.9159999999999999,88.25366669654846,0.21203764915466308
pseudoprofile_FTC_ID044,BIO,5,1,1,0.8,106.25,0.203397735953331
pseudoprofile_FTC_ID034,BIO,5,34,34,0.7705882352941176,71.85784328685088,0.21902243486222098
pseudoprofile_FTC_ID012,BIO,5,62,62,0.7000000000000003,93.22392431766757,0.20455624187184918
pseudoprofile_FTC_ID029,BIO,5,9,9,0.6000000000000001,104.80555555555556,0.2116569479306539
pseudoprofile_FTC_ID050,BIO,5,1,1,0.6,117.33333587646484,0.20717547833919525
pseudoprofile_FTC_ID043,BIO,5,3,3,0.6,120.95555718739827,0.2004829446474711
pseudoprofile_FTC_ID001,BIO,5,185,100,0.5940000000000001,82.00400003433228,0.21772380888462067
pseudoprofile_FTC_ID033,BIO,5,95,95,0.5915789473684212,95.67245604364496,0.19748089674272035
pseudoprofile_FTC_ID013,BIO,5,16,16,0.5875,105.53854209184647,0.22206717915832996
pseudoprofile_FTC_ID040,BIO,5,32,32,0.5874999999999999,90.09739656746387,0.21615989226847887
pseudoprofile_FTC_ID030,BIO,5,13,13,0.5846153846153846,129.36923071054312,0.20000830407326037
pseudoprofile_FTC_ID046,BIO,5,5,5,0.56,116.2000015258789,0.20917569994926452
