feature_path_full,domain,n_present_runs,presence_frequency,mean_rank_present,std_rank_present,mean_score_present,std_score_present
PSYCHO / third_wave_and_contextual_therapies / mindfulness_based_interventions / applied_mindfulness_for_stress_and_reactivity / mindful_response_to_stress_practice,PSYCHO,5,1.0,1.6,0.8,0.25221533,0.012220865
PSYCHO / third_wave_and_contextual_therapies / mindfulness_based_interventions / applied_mindfulness_for_stress_and_reactivity / anchoring_in_breath_during_stress,PSYCHO,5,1.0,2.0,1.0954452,0.24847683,0.009997784
PSYCHO / core_psychological_skills_toolkits / stress_resilience_and_downregulation / physiological_downshift / breath_and_relaxation_skills / progressive_muscle_relaxation_practice,PSYCHO,5,1.0,2.8,0.7483314,0.24670787,0.010749829
PSYCHO / third_wave_and_contextual_therapies / mindfulness_based_interventions / applied_mindfulness_for_stress_and_reactivity / pre_event_centering_practice,PSYCHO,5,1.0,7.6,2.9393878,0.23121765,0.010596999
PSYCHO / third_wave_and_contextual_therapies / mindfulness_based_interventions / applied_mindfulness_for_stress_and_reactivity / stress_reactivity_cycle_noticing,PSYCHO,5,1.0,8.2,2.1354158,0.2300109,0.008748431
PSYCHO / cognitive_and_metacognitive_interventions / metacognitive_and_attention_based_interventions / reduce_threat_monitoring_practice,PSYCHO,5,1.0,9.8,6.1773777,0.22946605,0.01133788
PSYCHO / third_wave_and_contextual_therapies / mindfulness_based_interventions / applied_mindfulness_for_stress_and_reactivity / after_stress_recovery_mindfulness,PSYCHO,5,1.0,13.2,4.489989,0.22455597,0.007686608
PSYCHO / foundations_and_common_factors / psychoeducation_modules / stress_and_arousal / interoception_and_bodily_sensations / psychoeducation_temperature_tension_tremor_normalization,PSYCHO,5,1.0,15.2,11.196428,0.22517404,0.009115155
PSYCHO / cognitive_behavioral_therapies / cognitive_restructuring / emotion_linked_reappraisal / threat_and_anxiety / reattribute_threat_to_arousal_sensitivity,PSYCHO,5,1.0,16.0,17.20465,0.22826311,0.015611297
PSYCHO / third_wave_and_contextual_therapies / dbt_skills_based_therapy / emotion_regulation_skills / reduce_vulnerability_and_increase_resilience / vulnerability_reduction_frameworks / stress_load_awareness_practice,PSYCHO,5,1.0,18.8,9.703608,0.22222655,0.0077574286
PSYCHO / third_wave_and_contextual_therapies / dbt_skills_based_therapy / distress_tolerance_skills / breathing_to_downshift_arousal,PSYCHO,5,1.0,20.4,7.472617,0.2200309,0.009074952
PSYCHO / third_wave_and_contextual_therapies / mindfulness_based_interventions / applied_mindfulness_for_stress_and_reactivity / mindful_coping_choice_point,PSYCHO,5,1.0,20.4,9.221714,0.21939795,0.00870335
PSYCHO / third_wave_and_contextual_therapies / stress_inoculation_and_coping_skills / arousal_management_skills,PSYCHO,5,1.0,23.0,13.623509,0.21901993,0.0030157906
PSYCHO / foundations_and_common_factors / psychoeducation_modules / stress_and_arousal / interoception_and_bodily_sensations / psychoeducation_breathing_arousal_link,PSYCHO,5,1.0,26.0,3.847077,0.21687448,0.007747374
PSYCHO / third_wave_and_contextual_therapies / dbt_skills_based_therapy / mindfulness_skills / mindfulness_of_body_cues,PSYCHO,5,1.0,26.2,8.255907,0.21652456,0.009191429
PSYCHO / third_wave_and_contextual_therapies / mindfulness_based_interventions / body_based_mindfulness / body_scan_with_breath_integration,PSYCHO,5,1.0,26.4,7.1721683,0.21625033,0.0066847275
PSYCHO / core_psychological_skills_toolkits / stress_resilience_and_downregulation / mindfulness_for_stress / orient_and_ground / body_scan_grounding,PSYCHO,5,1.0,27.6,13.529227,0.21738514,0.0058780108
PSYCHO / third_wave_and_contextual_therapies / mindfulness_based_interventions / body_based_mindfulness / mindful_posture_checkin,PSYCHO,5,1.0,28.0,13.221195,0.21592966,0.009787934
PSYCHO / change_process_and_therapeutic_phases / behavioral_integration / lifestyle_performance_and_wellbeing_integration / stress_load_boundary_setting_practice,PSYCHO,5,1.0,29.2,11.356055,0.21562195,0.0039664744
PSYCHO / third_wave_and_contextual_therapies / mindfulness_based_interventions / applied_mindfulness_for_stress_and_reactivity / grounding_five_senses_practice,PSYCHO,5,1.0,30.4,19.032604,0.21649328,0.010606704
PSYCHO / core_psychological_skills_toolkits / stress_resilience_and_downregulation / mindfulness_for_stress / orient_and_ground / present_moment_orientation_practice,PSYCHO,5,1.0,31.4,14.150619,0.21588317,0.010769192
PSYCHO / core_psychological_skills_toolkits / stress_resilience_and_downregulation / physiological_downshift / breath_and_relaxation_skills / soothing_rhythm_breathing,PSYCHO,5,1.0,31.6,14.921126,0.2160701,0.009305397
PSYCHO / third_wave_and_contextual_therapies / act_contextual_behavioral_therapy / present_moment_awareness / mindfulness_of_body_scan,PSYCHO,5,1.0,32.2,18.214281,0.21623366,0.012847672
PSYCHO / change_process_and_therapeutic_phases / behavioral_integration / flexible_skill_selection_in_context / early_warning_signs_to_action_routine,PSYCHO,5,1.0,33.0,21.118711,0.21554108,0.00989142
PSYCHO / cognitive_and_metacognitive_interventions / metacognitive_and_attention_based_interventions / stop_threat_monitoring_and_checking,PSYCHO,5,1.0,33.4,24.054937,0.2148237,0.01090794
PSYCHO / third_wave_and_contextual_therapies / mindfulness_based_interventions / applied_mindfulness_for_stress_and_reactivity / post_event_decompression_mindfulness,PSYCHO,5,1.0,33.6,11.9766445,0.21469769,0.008719698
PSYCHO / third_wave_and_contextual_therapies / mindfulness_based_interventions / core_attentional_skills / posture_and_embodiment_setup,PSYCHO,5,1.0,35.2,12.056534,0.21361554,0.009188064
PSYCHO / foundations_and_common_factors / psychoeducation_modules / stress_and_arousal / stress_response_systems / psychoeducation_threat_safety_signals,PSYCHO,5,1.0,37.4,21.987268,0.2131922,0.0088197915
PSYCHO / core_psychological_skills_toolkits / stress_resilience_and_downregulation / physiological_downshift / breath_and_relaxation_skills / diaphragmatic_breathing_practice,PSYCHO,5,1.0,37.6,26.318054,0.21488746,0.011922432
PSYCHO / change_process_and_therapeutic_phases / readiness_and_engagement / wellbeing_optimization_entry_path / lifestyle_stability_check_sleep_stress_support,PSYCHO,5,1.0,41.8,24.243763,0.21356419,0.008712267
PSYCHO / cognitive_behavioral_therapies / exposure_and_inhibitory_learning / classical_conditioning_and_counterconditioning / systematic_desensitization / competing_response_skills / progressive_muscle_relaxation_skill,PSYCHO,5,1.0,43.0,13.813038,0.21086857,0.010133067
PSYCHO / third_wave_and_contextual_therapies / mindfulness_based_interventions / body_based_mindfulness / body_scan_practice,PSYCHO,5,1.0,43.0,18.110771,0.21223459,0.00895501
PSYCHO / core_psychological_skills_toolkits / stress_resilience_and_downregulation / physiological_downshift / breath_and_relaxation_skills / paced_breathing_practice,PSYCHO,5,1.0,43.2,23.978323,0.21314701,0.012468869
PSYCHO / third_wave_and_contextual_therapies / stress_inoculation_and_coping_skills / cognitive_preparation_for_stress,PSYCHO,5,1.0,44.8,35.380222,0.21261069,0.008509283
PSYCHO / core_psychological_skills_toolkits / stress_resilience_and_downregulation / mindfulness_for_stress / orient_and_ground / mindfulness_checkin_practice,PSYCHO,5,1.0,45.6,13.062924,0.21027032,0.008097504
PSYCHO / third_wave_and_contextual_therapies / mindfulness_based_interventions / body_based_mindfulness / segmented_body_scan_practice,PSYCHO,5,1.0,45.6,19.386595,0.21131551,0.00863374
PSYCHO / third_wave_and_contextual_therapies / mindfulness_based_interventions / body_based_mindfulness / interoceptive_awareness_practice,PSYCHO,5,1.0,46.6,28.813885,0.21123572,0.012892479
PSYCHO / third_wave_and_contextual_therapies / mindfulness_based_interventions / body_based_mindfulness / mindful_relaxation_release_practice,PSYCHO,5,1.0,46.8,29.640512,0.21169698,0.011677704
PSYCHO / integrative_creative_and_body_oriented_interventions / hypnosis_and_suggestion_based_interventions / hypnosis_for_arousal_reduction_skills,PSYCHO,5,1.0,52.4,20.597088,0.2086279,0.009292708
PSYCHO / core_psychological_skills_toolkits / stress_resilience_and_downregulation / physiological_downshift / breath_and_relaxation_skills / guided_imagery_relaxation,PSYCHO,5,1.0,53.2,16.104658,0.20865579,0.007980756
PSYCHO / change_process_and_therapeutic_phases / behavioral_integration / flexible_skill_selection_in_context / stop_rules_for_maladaptive_coping_practice,PSYCHO,5,1.0,54.6,25.381882,0.2066874,0.008111468
PSYCHO / foundations_and_common_factors / psychoeducation_modules / stress_and_arousal / self_regulation_cycles / psychoeducation_window_of_tolerance_concept,PSYCHO,5,1.0,56.0,13.885244,0.20732899,0.007858132
PSYCHO / third_wave_and_contextual_therapies / mindfulness_based_interventions / body_based_mindfulness / mindfulness_of_body_sensations_practice,PSYCHO,5,1.0,56.2,42.45657,0.210459,0.012912386
PSYCHO / core_psychological_skills_toolkits / stress_resilience_and_downregulation / physiological_downshift / breath_and_relaxation_skills / arousal_downshift_scripts,PSYCHO,5,1.0,60.6,13.893884,0.20525761,0.004471328
PSYCHO / foundations_and_common_factors / psychoeducation_modules / stress_and_arousal / interoception_and_bodily_sensations / psychoeducation_somatic_attention_amplification,PSYCHO,5,1.0,62.2,17.451647,0.20545013,0.0070788935
PSYCHO / third_wave_and_contextual_therapies / dbt_skills_based_therapy / emotion_regulation_skills / change_based_skills / opposite_action_and_action_shaping / behavioral_activation_for_low_mood,PSYCHO,5,1.0,64.6,23.745316,0.20494172,0.00836582
PSYCHO / third_wave_and_contextual_therapies / act_contextual_behavioral_therapy / present_moment_awareness / recenter_on_values_practice,PSYCHO,5,1.0,65.2,16.533602,0.20429564,0.008958991
PSYCHO / third_wave_and_contextual_therapies / mindfulness_based_interventions / mbct_mbsr_core_practices / turning_toward_difficulty_practice,PSYCHO,5,1.0,66.0,24.240461,0.20594361,0.0071704504
PSYCHO / third_wave_and_contextual_therapies / mindfulness_based_interventions / mbct_mbsr_core_practices / relating_differently_to_thoughts_practice,PSYCHO,5,1.0,67.6,33.458035,0.20547953,0.010635887
PSYCHO / third_wave_and_contextual_therapies / compassion_focused_interventions / threat_drive_soothe_balance_map,PSYCHO,5,1.0,68.0,21.042812,0.20362286,0.009107882
PSYCHO / substance_use_recovery_and_behavior_change / cbt_based_recovery_skills / coping_skills_training / coping_with_stress_without_use,PSYCHO,5,1.0,71.4,30.48672,0.20353183,0.005079517
PSYCHO / integrative_creative_and_body_oriented_interventions / somatic_and_body_oriented_psychotherapies / titration_of_activation_practice,PSYCHO,5,1.0,71.6,10.632027,0.2030534,0.006456295
PSYCHO / foundations_and_common_factors / psychoeducation_modules / mindfulness_and_acceptance / mechanisms_and_training / psychoeducation_attentional_training_in_mindfulness,PSYCHO,5,1.0,77.4,15.793669,0.20248167,0.009077569
PSYCHO / cognitive_behavioral_therapies / exposure_and_inhibitory_learning / classical_conditioning_and_counterconditioning / systematic_desensitization / competing_response_skills / mindful_body_relaxation_skill,PSYCHO,5,1.0,78.2,10.72194,0.20161882,0.007138804
PSYCHO / third_wave_and_contextual_therapies / mindfulness_based_interventions / interpersonal_mindfulness / pause_breathe_respond_practice,PSYCHO,5,1.0,78.4,33.302254,0.20367673,0.011530803
PSYCHO / cognitive_behavioral_therapies / cognitive_bias_and_attention_modification / attention_training / disengagement_and_shift / threat_signal_disengagement_practice,PSYCHO,5,1.0,79.6,33.326263,0.20160377,0.008880355
PSYCHO / cognitive_behavioral_therapies / cognitive_restructuring / emotion_linked_reappraisal / threat_and_anxiety / safety_probability_reframe,PSYCHO,5,1.0,82.0,55.52657,0.20363984,0.011920537
PSYCHO / cognitive_behavioral_therapies / sleep_related_cognitive_behavioral_interventions / cognitive_work / sleep_appraisals / cognitive_reframe_sleep_threat_appraisals,PSYCHO,5,1.0,83.2,51.92456,0.20204952,0.010038093
PSYCHO / third_wave_and_contextual_therapies / stress_inoculation_and_coping_skills / stress_exposure_simulation_practice,PSYCHO,5,1.0,83.8,37.263386,0.20196097,0.0038065687
PSYCHO / cognitive_behavioral_therapies / cognitive_restructuring / emotion_linked_reappraisal / threat_and_anxiety / threat_appraisal_reframe,PSYCHO,5,1.0,85.2,59.070805,0.20329563,0.013151408
PSYCHO / change_process_and_therapeutic_phases / behavioral_integration / lifestyle_performance_and_wellbeing_integration / strengths_in_new_context_experiment,PSYCHO,5,1.0,86.0,35.71554,0.20028143,0.0068832487
PSYCHO / integrative_creative_and_body_oriented_interventions / somatic_and_body_oriented_psychotherapies / interoceptive_awareness_training,PSYCHO,5,1.0,90.8,27.301281,0.19999133,0.010456802
PSYCHO / third_wave_and_contextual_therapies / mindfulness_based_interventions / mbct_mbsr_core_practices / brief_breathing_space_practice,PSYCHO,5,1.0,90.8,51.062313,0.20231083,0.011605464
PSYCHO / foundations_and_common_factors / psychoeducation_modules / stress_and_arousal / stress_response_systems / psychoeducation_sympathetic_parasympathetic_balance,PSYCHO,5,1.0,91.8,34.57976,0.20001563,0.004110675
PSYCHO / change_process_and_therapeutic_phases / behavioral_integration / lifestyle_performance_and_wellbeing_integration / sleep_protection_and_recovery_routine,PSYCHO,5,1.0,91.8,45.455032,0.20032367,0.00882833
PSYCHO / cognitive_behavioral_therapies / exposure_and_inhibitory_learning / classical_conditioning_and_counterconditioning / systematic_desensitization / core_procedure / pairing_relaxation_with_threat_cues,PSYCHO,5,1.0,92.2,59.831093,0.20122936,0.012106151
PSYCHO / third_wave_and_contextual_therapies / dbt_skills_based_therapy / emotion_regulation_skills / reality_based_appraisal_and_reappraisal / check_the_facts / threat_appraisal_reframe_practice,PSYCHO,5,1.0,93.8,41.10669,0.19963115,0.008886613
PSYCHO / third_wave_and_contextual_therapies / mindfulness_based_interventions / core_attentional_skills / balance_effort_and_ease_practice,PSYCHO,5,1.0,95.6,33.85026,0.19958471,0.008936601
PSYCHO / integrative_creative_and_body_oriented_interventions / somatic_and_body_oriented_psychotherapies / grounding_through_posture_practice,PSYCHO,5,1.0,97.2,37.801586,0.19994295,0.008301902
PSYCHO / third_wave_and_contextual_therapies / mindfulness_based_interventions / open_monitoring_and_meta_awareness / monitoring_of_mind_states,PSYCHO,5,1.0,99.4,43.037655,0.19981425,0.014133174
PSYCHO / third_wave_and_contextual_therapies / mindfulness_based_interventions / affective_mindfulness_and_urge_work / mindfulness_of_emotions_practice,PSYCHO,5,1.0,100.8,51.68133,0.20018749,0.011815308
PSYCHO / foundations_and_common_factors / psychoeducation_modules / stress_and_arousal / self_regulation_cycles / psychoeducation_self_regulation_model,PSYCHO,5,1.0,102.4,27.045147,0.19748148,0.0046771765
PSYCHO / third_wave_and_contextual_therapies / mindfulness_based_interventions / body_based_mindfulness / somatic_labeling_practice,PSYCHO,5,1.0,104.8,57.164326,0.1997673,0.009953756
PSYCHO / change_process_and_therapeutic_phases / behavioral_integration / flexible_skill_selection_in_context / self_soothe_vs_problem_solve_selection_practice,PSYCHO,5,1.0,105.0,30.705048,0.19719899,0.0063597276
PSYCHO / foundations_and_common_factors / psychoeducation_modules / stress_and_arousal / self_regulation_cycles / psychoeducation_decision_fatigue_and_self_control,PSYCHO,5,1.0,107.0,37.905144,0.19723067,0.0039281193
PSYCHO / cognitive_behavioral_therapies / exposure_and_inhibitory_learning / classical_conditioning_and_counterconditioning / desensitization_implementation_variants / brief_relaxation_pairing_protocol,PSYCHO,5,1.0,107.4,23.921537,0.19704652,0.007561673
PSYCHO / cognitive_and_metacognitive_interventions / metacognitive_and_attention_based_interventions / refocusing_strategy_training,PSYCHO,5,1.0,109.8,36.874924,0.19716859,0.008012913
PSYCHO / foundations_and_common_factors / psychoeducation_modules / stress_and_arousal / self_regulation_cycles / psychoeducation_recovery_and_depletion,PSYCHO,5,1.0,111.0,38.17329,0.1967676,0.004504784
PSYCHO / third_wave_and_contextual_therapies / mindfulness_based_interventions / cognitive_mindfulness_and_decentering / mindfulness_of_thoughts_practice,PSYCHO,5,1.0,112.6,43.03766,0.1972344,0.010209589
PSYCHO / third_wave_and_contextual_therapies / dbt_skills_based_therapy / emotion_regulation_skills / change_based_skills / opposite_action_and_action_shaping / anger_to_assertiveness_planning,PSYCHO,5,1.0,115.2,26.588718,0.19554928,0.006832502
PSYCHO / foundations_and_common_factors / psychoeducation_modules / stress_and_arousal / interoception_and_bodily_sensations / psychoeducation_interoception_and_arousal,PSYCHO,5,1.0,117.0,28.788887,0.19610782,0.008381914
PSYCHO / core_psychological_skills_toolkits / stress_resilience_and_downregulation / cognitive_stress_skills / appraisal_and_self_efficacy / stress_signals_awareness_training,PSYCHO,5,1.0,118.4,45.027103,0.19661552,0.00547343
PSYCHO / third_wave_and_contextual_therapies / radically_open_skills_based_therapy / soothe_threat_system_through_connection,PSYCHO,5,1.0,118.8,48.729458,0.19646363,0.008804072
PSYCHO / systemic_couple_family_parenting / parenting_and_caregiver_interventions / parent_stress_management_skills,PSYCHO,5,1.0,119.8,55.55322,0.19701122,0.0039398526
PSYCHO / third_wave_and_contextual_therapies / mindfulness_based_interventions / open_monitoring_and_meta_awareness / nonreactivity_training,PSYCHO,5,1.0,120.2,43.68249,0.19651647,0.012038053
PSYCHO / third_wave_and_contextual_therapies / mindfulness_based_interventions / open_monitoring_and_meta_awareness / decentering_practice,PSYCHO,5,1.0,121.4,33.464012,0.19569662,0.010701657
PSYCHO / cognitive_behavioral_therapies / sleep_related_cognitive_behavioral_interventions / conditioning_and_associations / relearning / reduce_time_checking_behavior,PSYCHO,5,1.0,121.4,41.321182,0.19560446,0.006301395
PSYCHO / third_wave_and_contextual_therapies / mindfulness_based_interventions / open_monitoring_and_meta_awareness / reactivity_noticing_practice,PSYCHO,5,1.0,121.4,46.228127,0.19658877,0.013094951
PSYCHO / third_wave_and_contextual_therapies / dbt_skills_based_therapy / emotion_regulation_skills / problem_solving_for_emotion_drivers / problem_definition_and_targeting / prioritize_change_targets_practice,PSYCHO,5,1.0,127.6,50.87082,0.19580488,0.009714204
PSYCHO / substance_use_recovery_and_behavior_change / affect_regulation_for_recovery / interpersonal_affect_triggers / boundary_setting_to_reduce_affect_drivers,PSYCHO,5,1.0,134.2,33.379032,0.19411787,0.0072701355
PSYCHO / substance_use_recovery_and_behavior_change / cue_and_context_management / stimulus_control_principles / reduce_exposure_to_triggering_contexts_strategy,PSYCHO,5,1.0,137.2,37.03188,0.19353187,0.007089034
PSYCHO / change_process_and_therapeutic_phases / behavioral_integration / flexible_skill_selection_in_context / coping_repertoire_expansion_practice,PSYCHO,5,1.0,140.6,39.822605,0.19317587,0.0063993777
PSYCHO / cognitive_behavioral_therapies / behavior_change_and_activation / assessment_and_functional_analysis / monitoring / avoidance_reduction_plan,PSYCHO,5,1.0,145.4,40.29194,0.19284044,0.005167833
PSYCHO / cognitive_behavioral_therapies / perseverative_cognition_interventions / worry_management / contain_and_reorient / worry_to_planning_discrimination,PSYCHO,5,1.0,145.8,31.713718,0.19235244,0.0057580383
PSYCHO / integrative_creative_and_body_oriented_interventions / hypnosis_and_suggestion_based_interventions / hypnotic_reframe_of_somatic_sensations,PSYCHO,5,1.0,150.6,45.411892,0.19278328,0.00862714
PSYCHO / foundations_and_common_factors / psychoeducation_modules / cognition_and_thinking / attention_and_control / psychoeducation_attentional_bias_to_threat,PSYCHO,5,1.0,152.2,46.713593,0.19302902,0.009518478
PSYCHO / cognitive_and_metacognitive_interventions / metacognitive_and_attention_based_interventions / detached_mindfulness_practice,PSYCHO,5,1.0,153.8,23.919867,0.19181101,0.008167213
PSYCHO / cognitive_and_metacognitive_interventions / cognitive_remediation_and_rehabilitation / reduce_multitasking_practice,PSYCHO,5,1.0,159.0,31.780497,0.19110894,0.0036999227
PSYCHO / change_process_and_therapeutic_phases / meaning_update / cognitive_belief_and_rule_updating / reattribute_threat_to_arousal_sensitivity_practice,PSYCHO,4,0.8,42.0,13.928389,0.21198049,0.008118521
PSYCHO / third_wave_and_contextual_therapies / act_contextual_behavioral_therapy / present_moment_awareness / mindfulness_of_breath,PSYCHO,4,0.8,58.0,45.80393,0.21107581,0.014055946
