feature_path_full,domain,n_present_runs,presence_frequency,mean_rank_present,std_rank_present,mean_score_present,std_score_present
SOCIAL / community_participation_and_social_prescribing / social_prescribing_and_community_linkage / assessment_and_plan / stepwise_engagement_plan,SOCIAL,5,1.0,40.0,14.014278,0.20393506,0.0072225626
SOCIAL / community_participation_and_social_prescribing / social_prescribing_and_community_linkage / assessment_and_plan / barriers_to_engagement_assessment,SOCIAL,5,1.0,40.6,11.7064085,0.20373993,0.0108871255
SOCIAL / romantic_intimacy_and_relationships / romantic_relationship_skills_and_support / communication_and_connection / stress_and_coregulation / sleep_fatigue_and_irritability_risk_mitigation_plan,SOCIAL,5,1.0,60.6,45.027103,0.20260298,0.013825795
SOCIAL / social_support_and_belonging / belonging_isolation_and_meaning / safety_and_trust_in_support / reduce_toxic_relationship_exposure_plan,SOCIAL,4,0.8,49.75,25.173151,0.20425422,0.01056252
SOCIAL / social_support_and_belonging / belonging_isolation_and_meaning / loneliness_reduction_planning / reengagement_after_isolation_plan,SOCIAL,4,0.8,51.25,20.510668,0.20379013,0.00975439
SOCIAL / social_support_and_belonging / belonging_isolation_and_meaning / loneliness_reduction_planning / meaningful_activity_with_others_planning,SOCIAL,4,0.8,86.5,42.57053,0.1981398,0.011519511
SOCIAL / community_participation_and_social_prescribing / social_prescribing_and_community_linkage / assessment_and_plan / social_prescribing_assessment,SOCIAL,4,0.8,94.25,36.044243,0.1967924,0.008510705
SOCIAL / romantic_intimacy_and_relationships / romantic_relationship_skills_and_support / relationship_maintenance_and_enrichment / emotional_intimacy_and_vulnerability / self_soothing_and_couple_soothing_balancing_plan,SOCIAL,4,0.8,108.0,7.9686885,0.1945067,0.010584589
SOCIAL / interpersonal_therapeutic_solutions / interpersonal_therapeutic_and_coaching_services / clinical_specialization_focus / social_anxiety_and_avoidance_profile_support / post_interaction_rumination_reduction_coaching,SOCIAL,4,0.8,114.75,31.259998,0.1943895,0.006861887
SOCIAL / social_support_and_belonging / belonging_isolation_and_meaning / loneliness_reduction_planning / loneliness_reduction_action_plan,SOCIAL,4,0.8,116.75,39.442204,0.19456324,0.007971249
SOCIAL / romantic_intimacy_and_relationships / romantic_relationship_skills_and_support / communication_and_connection / stress_and_coregulation / grounding_and_return_to_connection_steps,SOCIAL,4,0.8,165.0,28.835741,0.19016424,0.007827856
SOCIAL / digital_social_environment / digital_social_environment_solutions / boundaries_and_wellbeing / digital_overload_recovery_plan,SOCIAL,3,0.6,63.0,11.7756815,0.19678073,0.008231603
SOCIAL / romantic_intimacy_and_relationships / romantic_relationship_skills_and_support / communication_and_connection / stress_and_coregulation / stress_spillover_prevention_plan,SOCIAL,3,0.6,154.66667,39.37286,0.18766277,0.008861129
SOCIAL / interpersonal_therapeutic_solutions / interpersonal_therapeutic_and_coaching_services / social_skills_training_and_coaching / generalization_and_maintenance / social_setback_review_and_adjustment_session,SOCIAL,3,0.6,158.33333,13.888445,0.19272067,0.009428071
SOCIAL / community_participation_and_social_prescribing / social_prescribing_and_community_linkage / link_worker_and_followthrough_support / problem_solving_barriers_during_engagement,SOCIAL,2,0.4,113.5,10.5,0.19181146,0.011557043
SOCIAL / interpersonal_therapeutic_solutions / interpersonal_therapeutic_and_coaching_services / social_skills_training_and_coaching / generalization_and_maintenance / relapse_prevention_for_interpersonal_avoidance_patterns,SOCIAL,2,0.4,136.5,8.5,0.191364,0.011251226
SOCIAL / social_support_and_belonging / belonging_isolation_and_meaning / loneliness_reduction_planning / micro_connection_opportunities_plan,SOCIAL,2,0.4,171.0,9.0,0.18698601,0.009197265
SOCIAL / social_support_and_belonging / belonging_isolation_and_meaning / loneliness_reduction_planning / barrier_analysis_for_social_withdrawal,SOCIAL,1,0.2,110.0,0.0,0.18135738,0.0
SOCIAL / interpersonal_therapeutic_solutions / interpersonal_therapeutic_and_coaching_services / group_therapy_formats / skills_oriented / emotion_regulation_in_relationships_skills_group,SOCIAL,1,0.2,119.0,0.0,0.20152228,0.0
SOCIAL / romantic_intimacy_and_relationships / romantic_relationship_skills_and_support / relationship_maintenance_and_enrichment / care_roles_and_emotional_labor / burnout_prevention_in_couple_caregiving_plan,SOCIAL,1,0.2,120.0,0.0,0.20147826,0.0
SOCIAL / interpersonal_therapeutic_solutions / interpersonal_therapeutic_and_coaching_services / social_skills_training_and_coaching / generalization_and_maintenance / maintenance_plan_for_interpersonal_skills,SOCIAL,1,0.2,167.0,0.0,0.20133798,0.0
SOCIAL / interpersonal_therapeutic_solutions / interpersonal_therapeutic_and_coaching_services / core_interpersonal_skills / emotion_in_interaction / shame_and_embarrassment_tolerance_in_social_contexts_coaching,SOCIAL,1,0.2,174.0,0.0,0.19660693,0.0
SOCIAL / community_participation_and_social_prescribing / social_prescribing_and_community_linkage / link_worker_and_followthrough_support / warm_hand_introduction_to_community_program,SOCIAL,1,0.2,174.0,0.0,0.1770595,0.0
SOCIAL / interpersonal_therapeutic_solutions / interpersonal_therapeutic_and_coaching_services / assessment_and_formulation / intake_and_goals / shared_treatment_target_prioritization_session,SOCIAL,1,0.2,184.0,0.0,0.17671439,0.0
SOCIAL / social_support_and_belonging / belonging_isolation_and_meaning / safety_and_trust_in_support / conflict_deescalation_with_close_others,SOCIAL,1,0.2,186.0,0.0,0.19602114,0.0
SOCIAL / interpersonal_therapeutic_solutions / interpersonal_therapeutic_and_coaching_services / clinical_specialization_focus / social_learning_and_neurodevelopmental_profile_support / sensory_aware_interaction_planning_coaching,SOCIAL,1,0.2,191.0,0.0,0.17643829,0.0
SOCIAL / romantic_intimacy_and_relationships / sexual_health_access_and_support / clinical_access_and_care / function_and_pain_pathways / arousal_difficulty_clinical_assessment_access,SOCIAL,1,0.2,193.0,0.0,0.17641045,0.0
