predictor_path,anxiety disorders / social anxiety disorder / generalized / fear of negative evaluation / *excessive_rumination_about_others_judgments,depressive disorders / other specified depressive disorder / depressive episode with insufficient symptoms / *social_withdrawal_present,personality disorders / other personality disorders / self-defeating personality disorder / *interpersonal_withdrawal_from_close_relations
'[BIO] > Sleep_and_Circadian > Circadian_Entrainment',950.0,900.0,
'[BIO] > Pharmacology_and_Biomedical_Treatments > Substance_Use_Treatment_Pharmacotherapy_Classes',,900.0,
'[BIO] > Somatic_and_Interventional > Brain_Stimulation_Therapies',900.0,,
'[PSYCHO] > Cognitive_Behavioral_Therapies > Behavioral_Experiments_and_Learning',,,900.0
'[PSYCHO] > Foundations_and_Common_Factors > Therapeutic_Relationship_and_Context',,,900.0
'[PSYCHO] > Cognitive_Behavioral_Therapies > CBT_Skills_Training_Libraries',,,880.0
'[PSYCHO] > Skills_Libraries > Emotion_Regulation_and_Affect_Skills',,,880.0
'[PSYCHO] > Cognitive_Behavioral_Therapies > Cognitive_Bias_and_Attention_Modification',,,860.0
'[PSYCHO] > Skills_Libraries > Interpersonal_and_Communication_Skills',,,860.0
'[PSYCHO] > Skills_Libraries > Self_Compassion_and_Self_Relating',,,860.0
'[PSYCHO] > Third_Wave_and_Contextual_Therapies > Mindfulness_Based_Interventions',860.0,,
'[BIO] > Neuromodulation_and_Neurostimulation > Transcranial_Magnetic_Stimulation_Family',850.0,,
'[BIO] > Pharmacology_and_Biomedical_Treatments > Psychiatric_Pharmacotherapy_Classes',,850.0,
'[BIO] > Sleep_and_Circadian > Sleep_Supplements',,850.0,
'[PSYCHO] > Cognitive_Behavioral_Therapies > Behavior_Change_and_Activation',,780.0,920.0
'[PSYCHO] > Cognitive_Behavioral_Therapies > Exposure_and_Inhibitory_Learning',,,840.0
'[BIO] > Neuromodulation_and_Neurostimulation > Transcranial_Electrical_Stimulation_Montages',830.0,,
'[PSYCHO] > Cognitive_Behavioral_Therapies > Cognitive_Restructuring',780.0,,850.0
'[BIO] > Neuromodulation_and_Neurostimulation > Transcranial_Magnetic_Stimulation_Targets',800.0,,
'[BIO] > Pharmacology_and_Biomedical_Treatments > Medication_Safety_and_Personalization_Tools',,800.0,
'[BIO] > Sleep_and_Circadian > Sleep_Environment',800.0,,
'[BIO] > Sleep_and_Circadian > Sleep_Pharmacotherapy_Classes',,800.0,
'[BIO] > Sleep_and_Circadian > Sleep_Devices_and_Technologies',820.0,750.0,
'[BIO] > Sleep_and_Circadian > Sleep_Routines_and_Practices',780.0,,
'[BIO] > Pharmacology_and_Biomedical_Treatments > Sleep_Related_Pharmacotherapy_Classes',,760.0,
'[BIO] > Pharmacology_and_Biomedical_Treatments > Medication_Formulations_and_Routes',,750.0,
