predictor_path,bipolar and related disorders / bipolar ii disorder / course or remission / episodic course / *decreased_sleep_need_present,bipolar and related disorders / bipolar ii disorder / required episode types / hypomanic episode / *increased_spending_sprees,bipolar and related disorders / other specified bipolar and related disorder / recurrent brief hypomania / *increased_goal_directed_activities_or_excessive_projects,depressive disorders / major depressive disorder (unipolar depression) / recurrent episode / seasonal pattern / winter-onset / *social_withdrawal,neurodevelopmental disorders / attention-deficit or hyperactivity disorder (adhd) / predominantly hyperactive or impulsive presentation / *talks_excessively
'[PSYCHO] > Third_Wave_and_Contextual_Therapies > Mindfulness_Based_Interventions',,,,900.0,
'[BIO] > Sleep_and_Circadian > Circadian_Entrainment',950.0,820.0,880.0,,750.0
'[PSYCHO] > Cognitive_Behavioral_Therapies > Exposure_and_Inhibitory_Learning',,,,840.0,
'[BIO] > Movement_and_Bodywork > Balance_and_Coordination_Modalities',,,,,820.0
'[PSYCHO] > Third_Wave_and_Contextual_Therapies > Radically_Open_Skills_Based_Therapy',,,,820.0,
'[SOCIAL] > Social_Support_and_Belonging > Network_Building_And_Maintenance',,,,820.0,
'[BIO] > Movement_and_Bodywork > Bodywork_and_Physical_Therapies',,,,,800.0
'[SOCIAL] > Social_Support_and_Belonging > Support_Network_Development',,,,800.0,
'[BIO] > Sleep_and_Circadian > Sleep_Pharmacotherapy_Classes',780.0,800.0,,,
'[SOCIAL] > Interpersonal_Therapeutic_Solutions > Assessment_and_Goal_Setting',,,,790.0,
'[BIO] > Pharmacology_and_Biomedical_Treatments > Sleep_Related_Pharmacotherapy_Classes',780.0,,,,
'[SOCIAL] > Interpersonal_Therapeutic_Solutions > Contextual_and_Practical_Supports',,,,770.0,
'[BIO] > Pharmacology_and_Biomedical_Treatments > Substance_Use_Treatment_Pharmacotherapy_Classes',,,760.0,,
'[SOCIAL] > Interpersonal_Therapeutic_Solutions > Therapy_and_Support_Formats',,,,760.0,
'[BIO] > Sleep_and_Circadian > Sleep_Routines_and_Practices',820.0,760.0,700.0,,700.0
'[BIO] > Movement_and_Bodywork > Mobility_MindBody_and_Somatic_Modalities',,,,,740.0
'[BIO] > Sleep_and_Circadian > Sleep_Environment',800.0,680.0,,,
'[BIO] > Movement_and_Bodywork > Strength_and_Resistance_Modalities',,,,,700.0
'[BIO] > Pharmacology_and_Biomedical_Treatments > Psychiatric_Pharmacotherapy_Classes',600.0,,800.0,,
'[BIO] > Movement_and_Bodywork > Aerobic_Movement_Modalities',,,500.0,,880.0
'[PSYCHO] > Cognitive_Behavioral_Therapies > Behavioral_Experiments_and_Learning',520.0,,,860.0,
'[BIO] > Sleep_and_Circadian > Sleep_Supplements',700.0,670.0,,,
'[BIO] > Sleep_and_Circadian > Sleep_Devices_and_Technologies',820.0,700.0,520.0,,680.0
'[PSYCHO] > Cognitive_Behavioral_Therapies > Behavior_Change_and_Activation',500.0,,,880.0,640.0
'[BIO] > Personalization_and_Monitoring > Wearables_and_Home_Monitoring',,650.0,,,
'[BIO] > Neuromodulation_and_Neurostimulation > Biofeedback_and_Neurofeedback',,,650.0,,640.0
'[BIO] > Neuromodulation_and_Neurostimulation > Transcranial_Magnetic_Stimulation_Family',,,550.0,,
'[BIO] > Neuromodulation_and_Neurostimulation > Transcranial_Electrical_Stimulation_Family',,,520.0,,
'[BIO] > Neuromodulation_and_Neurostimulation > Transcranial_Magnetic_Stimulation_Targets',,,520.0,,
