criterion_leaf,criterion_path,predictor_path,_mapping_score
*craving_for_high_calorie_snacks_at_night,feeding and eating disorders / night eating syndrome / *craving_for_high_calorie_snacks_at_night,'[BIO] > Nutrition_and_Metabolism > Dietary_Patterns',720.0
*craving_for_high_calorie_snacks_at_night,feeding and eating disorders / night eating syndrome / *craving_for_high_calorie_snacks_at_night,'[BIO] > Nutrition_and_Metabolism > Meal_Planning_and_Structure',780.0
*craving_for_high_calorie_snacks_at_night,feeding and eating disorders / night eating syndrome / *craving_for_high_calorie_snacks_at_night,'[BIO] > Nutrition_and_Metabolism > Meal_Templates',700.0
*craving_for_high_calorie_snacks_at_night,feeding and eating disorders / night eating syndrome / *craving_for_high_calorie_snacks_at_night,'[BIO] > Pharmacology_and_Biomedical_Treatments > Endocrine_and_Metabolic_Pharmacotherapy_Classes',540.0
*craving_for_high_calorie_snacks_at_night,feeding and eating disorders / night eating syndrome / *craving_for_high_calorie_snacks_at_night,'[BIO] > Pharmacology_and_Biomedical_Treatments > Psychiatric_Pharmacotherapy_Classes',620.0
*craving_for_high_calorie_snacks_at_night,feeding and eating disorders / night eating syndrome / *craving_for_high_calorie_snacks_at_night,'[BIO] > Sleep_and_Circadian > Circadian_Entrainment',880.0
*craving_for_high_calorie_snacks_at_night,feeding and eating disorders / night eating syndrome / *craving_for_high_calorie_snacks_at_night,'[BIO] > Sleep_and_Circadian > Sleep_Devices_and_Technologies',480.0
*craving_for_high_calorie_snacks_at_night,feeding and eating disorders / night eating syndrome / *craving_for_high_calorie_snacks_at_night,'[BIO] > Sleep_and_Circadian > Sleep_Environment',520.0
*craving_for_high_calorie_snacks_at_night,feeding and eating disorders / night eating syndrome / *craving_for_high_calorie_snacks_at_night,'[BIO] > Sleep_and_Circadian > Sleep_Pharmacotherapy_Classes',560.0
*craving_for_high_calorie_snacks_at_night,feeding and eating disorders / night eating syndrome / *craving_for_high_calorie_snacks_at_night,'[BIO] > Sleep_and_Circadian > Sleep_Routines_and_Practices',820.0
*guilt_or_disgust_after_binge_eating,feeding and eating disorders / binge-eating disorder / with marked distress over binge eating / *guilt_or_disgust_after_binge_eating,'[BIO] > Pharmacology_and_Biomedical_Treatments > Psychiatric_Pharmacotherapy_Classes',880.0
*guilt_or_disgust_after_binge_eating,feeding and eating disorders / binge-eating disorder / with marked distress over binge eating / *guilt_or_disgust_after_binge_eating,'[BIO] > Sleep_and_Circadian > Circadian_Entrainment',700.0
*guilt_or_disgust_after_binge_eating,feeding and eating disorders / binge-eating disorder / with marked distress over binge eating / *guilt_or_disgust_after_binge_eating,'[BIO] > Sleep_and_Circadian > Sleep_Routines_and_Practices',750.0
*guilt_or_disgust_after_binge_eating,feeding and eating disorders / binge-eating disorder / with marked distress over binge eating / *guilt_or_disgust_after_binge_eating,'[PSYCHO] > Cognitive_Behavioral_Therapies > Behavior_Change_and_Activation',900.0
*guilt_or_disgust_after_binge_eating,feeding and eating disorders / binge-eating disorder / with marked distress over binge eating / *guilt_or_disgust_after_binge_eating,'[PSYCHO] > Foundations_and_Common_Factors > Case_Formulation_and_Treatment_Planning',700.0
*guilt_or_disgust_after_binge_eating,feeding and eating disorders / binge-eating disorder / with marked distress over binge eating / *guilt_or_disgust_after_binge_eating,'[PSYCHO] > Measurement_Based_Care_and_Feedback > Measurement_and_Feedback_Systems',650.0
*guilt_or_disgust_after_binge_eating,feeding and eating disorders / binge-eating disorder / with marked distress over binge eating / *guilt_or_disgust_after_binge_eating,'[PSYCHO] > Skills_Libraries > Emotion_Regulation_and_Affect_Skills',800.0
