pseudoprofile_id,predictor_path,predictor_path_canonical,criterion,criterion_leaf,criterion_path,mapping_score,hyde_score_scaled,fused_score
pseudoprofile_FTC_ID016,'[PSYCHO] > Cognitive_Behavioral_Therapies > Exposure_and_Inhibitory_Learning','[PSYCHO] / Cognitive_Behavioral_Therapies / Exposure_and_Inhibitory_Learning',anxiety disorders / agoraphobia / fear of open spaces / *limited_outdoor_movement_radius,*limited_outdoor_movement_radius,anxiety disorders / agoraphobia / fear of open spaces / *limited_outdoor_movement_radius,950.0,,950.0
pseudoprofile_FTC_ID016,'[BIO] > Pharmacology_and_Biomedical_Treatments > Endocrine_and_Metabolic_Pharmacotherapy_Classes','[BIO] / Pharmacology_and_Biomedical_Treatments / Endocrine_and_Metabolic_Pharmacotherapy_Classes',somatic symptom and related disorders / somatic symptom disorder / *distress_or_impairment_from_somatic_symptom,*distress_or_impairment_from_somatic_symptom,somatic symptom and related disorders / somatic symptom disorder / *distress_or_impairment_from_somatic_symptom,900.0,,900.0
pseudoprofile_FTC_ID016,'[PSYCHO] > Skills_Libraries > Emotion_Regulation_and_Affect_Skills','[PSYCHO] / Skills_Libraries / Emotion_Regulation_and_Affect_Skills',emotional / affective process / emotion process / *mistrust,*mistrust,emotional / affective process / emotion process / *mistrust,900.0,,900.0
pseudoprofile_FTC_ID016,'[PSYCHO] > Cognitive_Behavioral_Therapies > Behavioral_Experiments_and_Learning','[PSYCHO] / Cognitive_Behavioral_Therapies / Behavioral_Experiments_and_Learning',anxiety disorders / agoraphobia / fear of open spaces / *limited_outdoor_movement_radius,*limited_outdoor_movement_radius,anxiety disorders / agoraphobia / fear of open spaces / *limited_outdoor_movement_radius,820.0,,820.0
pseudoprofile_FTC_ID016,'[PSYCHO] > Cognitive_Behavioral_Therapies > Behavior_Change_and_Activation','[PSYCHO] / Cognitive_Behavioral_Therapies / Behavior_Change_and_Activation',emotional / affective process / emotion process / *mistrust,*mistrust,emotional / affective process / emotion process / *mistrust,800.0,,800.0
pseudoprofile_FTC_ID016,'[PSYCHO] > Cognitive_Behavioral_Therapies > Behavior_Change_and_Activation','[PSYCHO] / Cognitive_Behavioral_Therapies / Behavior_Change_and_Activation',anxiety disorders / agoraphobia / fear of open spaces / *limited_outdoor_movement_radius,*limited_outdoor_movement_radius,anxiety disorders / agoraphobia / fear of open spaces / *limited_outdoor_movement_radius,800.0,,800.0
pseudoprofile_FTC_ID016,'[BIO] > Pharmacology_and_Biomedical_Treatments > Psychiatric_Pharmacotherapy_Classes','[BIO] / Pharmacology_and_Biomedical_Treatments / Psychiatric_Pharmacotherapy_Classes',somatic symptom and related disorders / somatic symptom disorder / *distress_or_impairment_from_somatic_symptom,*distress_or_impairment_from_somatic_symptom,somatic symptom and related disorders / somatic symptom disorder / *distress_or_impairment_from_somatic_symptom,750.0,,750.0
pseudoprofile_FTC_ID016,'[PSYCHO] > Cognitive_Behavioral_Therapies > Behavioral_Experiments_and_Learning','[PSYCHO] / Cognitive_Behavioral_Therapies / Behavioral_Experiments_and_Learning',emotional / affective process / emotion process / *mistrust,*mistrust,emotional / affective process / emotion process / *mistrust,750.0,,750.0
pseudoprofile_FTC_ID016,'[SOCIAL] > Care_Navigation_Access_and_Coordination > Care_Navigation_and_Access','[SOCIAL] / Care_Navigation_Access_and_Coordination / Care_Navigation_and_Access',somatic symptom and related disorders / somatic symptom disorder / *distress_or_impairment_from_somatic_symptom,*distress_or_impairment_from_somatic_symptom,somatic symptom and related disorders / somatic symptom disorder / *distress_or_impairment_from_somatic_symptom,720.0,,720.0
pseudoprofile_FTC_ID016,'[PSYCHO] > Third_Wave_and_Contextual_Therapies > ACT_Contextual_Behavioral_Therapy','[PSYCHO] / Third_Wave_and_Contextual_Therapies / ACT_Contextual_Behavioral_Therapy',emotional / affective process / emotion process / *mistrust,*mistrust,emotional / affective process / emotion process / *mistrust,720.0,,720.0
pseudoprofile_FTC_ID016,'[PSYCHO] > Cognitive_Behavioral_Therapies > Behavior_Change_and_Activation','[PSYCHO] / Cognitive_Behavioral_Therapies / Behavior_Change_and_Activation',somatic symptom and related disorders / somatic symptom disorder / *distress_or_impairment_from_somatic_symptom,*distress_or_impairment_from_somatic_symptom,somatic symptom and related disorders / somatic symptom disorder / *distress_or_impairment_from_somatic_symptom,700.0,,700.0
pseudoprofile_FTC_ID016,'[SOCIAL] > Culture_Identity_and_Social_Inclusion > Community_Connection_and_Affirming_Spaces','[SOCIAL] / Culture_Identity_and_Social_Inclusion / Community_Connection_and_Affirming_Spaces',somatic symptom and related disorders / somatic symptom disorder / *distress_or_impairment_from_somatic_symptom,*distress_or_impairment_from_somatic_symptom,somatic symptom and related disorders / somatic symptom disorder / *distress_or_impairment_from_somatic_symptom,700.0,,700.0
pseudoprofile_FTC_ID016,'[SOCIAL] > Interpersonal_Therapeutic_Solutions > Assessment_and_Goal_Setting','[SOCIAL] / Interpersonal_Therapeutic_Solutions / Assessment_and_Goal_Setting',somatic symptom and related disorders / somatic symptom disorder / *distress_or_impairment_from_somatic_symptom,*distress_or_impairment_from_somatic_symptom,somatic symptom and related disorders / somatic symptom disorder / *distress_or_impairment_from_somatic_symptom,700.0,,700.0
pseudoprofile_FTC_ID016,'[PSYCHO] > Cognitive_Behavioral_Therapies > Cognitive_Restructuring','[PSYCHO] / Cognitive_Behavioral_Therapies / Cognitive_Restructuring',anxiety disorders / agoraphobia / fear of open spaces / *limited_outdoor_movement_radius,*limited_outdoor_movement_radius,anxiety disorders / agoraphobia / fear of open spaces / *limited_outdoor_movement_radius,700.0,,700.0
pseudoprofile_FTC_ID016,'[SOCIAL] > Romantic_Intimacy_and_Relationships > Relational_Therapeutic_Services','[SOCIAL] / Romantic_Intimacy_and_Relationships / Relational_Therapeutic_Services',somatic symptom and related disorders / somatic symptom disorder / *distress_or_impairment_from_somatic_symptom,*distress_or_impairment_from_somatic_symptom,somatic symptom and related disorders / somatic symptom disorder / *distress_or_impairment_from_somatic_symptom,700.0,,700.0
pseudoprofile_FTC_ID016,'[PSYCHO] > Third_Wave_and_Contextual_Therapies > Mindfulness_Based_Interventions','[PSYCHO] / Third_Wave_and_Contextual_Therapies / Mindfulness_Based_Interventions',emotional / affective process / emotion process / *mistrust,*mistrust,emotional / affective process / emotion process / *mistrust,700.0,,700.0
