predictor_path,diseases of the nervous system / other disorders of the nervous system / hydrocephalus / *headache_recurrent,headache disorders / primary headache disorders / tension-type headache / *pressing_tightening_quality,headache disorders / secondary headache disorders / low cerebrospinal fluid pressure headache / *mood_change_during_headache,trauma- and stressor-related disorders / adjustment disorders / with somatic symptoms / *avoidance_of_social_or_occupational_activities_due_to_symptoms
'[BIO] > Movement_and_Bodywork > Bodywork_and_Physical_Therapies',,900.0,,
'[BIO] > Neuromodulation_and_Neurostimulation > Transcranial_Magnetic_Stimulation_Family',900.0,,900.0,
'[PSYCHO] > Third_Wave_and_Contextual_Therapies > Mindfulness_Based_Interventions',,,,900.0
'[BIO] > Neuromodulation_and_Neurostimulation > Transcranial_Electrical_Stimulation_Family',880.0,,880.0,
'[PSYCHO] > Cognitive_Behavioral_Therapies > Behavior_Change_and_Activation',,,,880.0
'[BIO] > Pharmacology_and_Biomedical_Treatments > Pain_and_Somatic_Pharmacotherapy_Classes',860.0,,860.0,
'[BIO] > Somatic_and_Interventional > Brain_Stimulation_Therapies',860.0,,860.0,
'[PSYCHO] > Cognitive_Behavioral_Therapies > Behavioral_Experiments_and_Learning',,,,860.0
'[BIO] > Neuromodulation_and_Neurostimulation > Biofeedback_and_Neurofeedback',840.0,,840.0,
'[PSYCHO] > Cognitive_Behavioral_Therapies > Exposure_and_Inhibitory_Learning',,,,840.0
'[BIO] > Pharmacology_and_Biomedical_Treatments > Psychiatric_Pharmacotherapy_Classes',820.0,,820.0,
'[PSYCHO] > Third_Wave_and_Contextual_Therapies > Radically_Open_Skills_Based_Therapy',,,,820.0
'[SOCIAL] > Social_Support_and_Belonging > Network_Building_And_Maintenance',,,,820.0
'[SOCIAL] > Social_Support_and_Belonging > Support_Network_Development',,,,800.0
'[SOCIAL] > Interpersonal_Therapeutic_Solutions > Assessment_and_Goal_Setting',,,,790.0
'[BIO] > Movement_and_Bodywork > Aerobic_Movement_Modalities',780.0,780.0,780.0,
'[SOCIAL] > Interpersonal_Therapeutic_Solutions > Contextual_and_Practical_Supports',,,,770.0
'[BIO] > Movement_and_Bodywork > Mobility_MindBody_and_Somatic_Modalities',,760.0,,
'[BIO] > Sleep_and_Circadian > Circadian_Entrainment',880.0,520.0,880.0,
'[SOCIAL] > Interpersonal_Therapeutic_Solutions > Therapy_and_Support_Formats',,,,760.0
'[BIO] > Movement_and_Bodywork > Strength_and_Resistance_Modalities',,750.0,,
'[BIO] > Sleep_and_Circadian > Sleep_Routines_and_Practices',860.0,520.0,860.0,
'[BIO] > Movement_and_Bodywork > Ergonomics_and_Posture_Tools',,720.0,,
'[BIO] > Movement_and_Bodywork > Balance_and_Coordination_Modalities',,700.0,,
'[BIO] > Sleep_and_Circadian > Sleep_Supplements',820.0,420.0,820.0,
