predictor_path,feeding and eating disorders / avoidant or restrictive food intake disorder (arfid) / apparent lack of interest or low appetite subtype / *apparent_lack_of_interest_in_eating,feeding and eating disorders / binge-eating disorder / night eating variant (binge-focused) / *evening_hyperphagia,feeding and eating disorders / night eating syndrome / *craving_for_high_calorie_snacks_at_night
'[PSYCHO] > Cognitive_Behavioral_Therapies > Exposure_and_Inhibitory_Learning',900.0,,
'[BIO] > Sleep_and_Circadian > Circadian_Entrainment',,900.0,880.0
'[BIO] > Sleep_and_Circadian > Sleep_Routines_and_Practices',,860.0,820.0
'[PSYCHO] > Cognitive_Behavioral_Therapies > Behavior_Change_and_Activation',820.0,,
'[PSYCHO] > Third_Wave_and_Contextual_Therapies > Mindfulness_Based_Interventions',790.0,,
'[BIO] > Nutrition_and_Metabolism > Meal_Planning_and_Structure',780.0,680.0,780.0
'[BIO] > Somatic_and_Interventional > Care_Pathway_and_Safety_Infrastructure',720.0,,
'[BIO] > Nutrition_and_Metabolism > Dietary_Patterns',720.0,700.0,720.0
'[PSYCHO] > Third_Wave_and_Contextual_Therapies > ACT_Contextual_Behavioral_Therapy',700.0,,
'[SOCIAL] > Care_Navigation_Access_and_Coordination > Care_Navigation_and_Access',700.0,,
'[BIO] > Nutrition_and_Metabolism > Medical_Nutrition_Therapy_Tools',780.0,600.0,
'[BIO] > Sleep_and_Circadian > Sleep_Environment',,840.0,520.0
'[BIO] > Nutrition_and_Metabolism > Meal_Templates',680.0,650.0,700.0
'[BIO] > Sleep_and_Circadian > Sleep_Pharmacotherapy_Classes',,770.0,560.0
'[BIO] > Pharmacology_and_Biomedical_Treatments > Psychiatric_Pharmacotherapy_Classes',,,620.0
'[BIO] > Sleep_and_Circadian > Sleep_Devices_and_Technologies',,700.0,480.0
'[BIO] > Personalization_and_Monitoring > Wearables_and_Home_Monitoring',,580.0,
'[BIO] > Pharmacology_and_Biomedical_Treatments > Endocrine_and_Metabolic_Pharmacotherapy_Classes',,,540.0
