predictor_path,psychological / environmental mastery / ability to manage environment / organizational skills / *task organization,psychological / temporal perspective / time management / meeting deadlines / *ensuring promptness,psychological / temporal perspective / time management / scheduling / *allocating time efficiently
'[PSYCHO] > Measurement_Based_Care_and_Feedback > Measurement_and_Feedback_Systems',,900.0,900.0
'[PSYCHO] > Digital_and_Tech_Enabled_Solutions > Care_Delivery_Formats',,860.0,860.0
'[PSYCHO] > Foundations_and_Common_Factors > Goals_Values_and_Maintenance_Planning',860.0,850.0,850.0
'[PSYCHO] > Cognitive_Behavioral_Therapies > Problem_Solving_Training',,820.0,820.0
'[PSYCHO] > Digital_and_Tech_Enabled_Solutions > Digital_Tools_and_Supports',700.0,880.0,880.0
'[PSYCHO] > Foundations_and_Common_Factors > Psychoeducation_Modules',,800.0,800.0
'[PSYCHO] > Cognitive_Behavioral_Therapies > Behavioral_Experiments_and_Learning',520.0,900.0,900.0
'[BIO] > Personalization_and_Monitoring > Wearables_and_Home_Monitoring',640.0,820.0,820.0
'[BIO] > Personalization_and_Monitoring > Genetics_and_Pharmacogenomics_Tests',700.0,,
'[PSYCHO] > Foundations_and_Common_Factors > Case_Formulation_and_Treatment_Planning',700.0,,
'[BIO] > Personalization_and_Monitoring > Self_Assessment_Instruments',610.0,700.0,700.0
'[PSYCHO] > Cognitive_Behavioral_Therapies > CBT_Skills_Training_Libraries',510.0,750.0,750.0
'[BIO] > Nutrition_and_Metabolism > Meal_Planning_and_Structure',540.0,,
'[PSYCHO] > Cognitive_and_Metacognitive_Interventions > Cognitive_Remediation_and_Rehabilitation',500.0,,
