predictor_path,anxiety disorders / specific phobia / other type / nosophobia / *social_withdrawal_due_to_health_anxiety,headache disorders / primary headache disorders / cluster headache / *attack_circadian_rhythmicity,headache disorders / secondary headache disorders / headache attributed to psychiatric disorder / *ha_pain_worsened_by_anxiety,pain disorders / post-surgical and post-trauma pain syndromes / post-mastectomy pain syndrome / *functional_impairment_in_daily_activities_due_to_pain,unspecified_stage / emotional_development / stress_management / *coping_strategies
'[PSYCHO] > Third_Wave_and_Contextual_Therapies > Mindfulness_Based_Interventions',900.0,,,,920.0
'[BIO] > Movement_and_Bodywork > Balance_and_Coordination_Modalities',,,,880.0,
'[PSYCHO] > Skills_Libraries > Emotion_Regulation_and_Affect_Skills',,,,,880.0
'[PSYCHO] > Third_Wave_and_Contextual_Therapies > ACT_Contextual_Behavioral_Therapy',,,,,880.0
'[BIO] > Movement_and_Bodywork > Bodywork_and_Physical_Therapies',,,,860.0,
'[BIO] > Somatic_and_Interventional > Brain_Stimulation_Therapies',,,860.0,,
'[PSYCHO] > Cognitive_Behavioral_Therapies > Exposure_and_Inhibitory_Learning',840.0,,,,
'[BIO] > Movement_and_Bodywork > Ergonomics_and_Posture_Tools',,,,830.0,
'[BIO] > Sleep_and_Circadian > Sleep_Routines_and_Practices',,,860.0,800.0,
'[BIO] > Sleep_and_Circadian > Sleep_Supplements',,,820.0,,
'[SOCIAL] > Social_Support_and_Belonging > Network_Building_And_Maintenance',820.0,,,,
'[PSYCHO] > Cognitive_Behavioral_Therapies > Behavior_Change_and_Activation',880.0,,,860.0,700.0
'[BIO] > Sleep_and_Circadian > Circadian_Entrainment',,730.0,880.0,,
'[BIO] > Movement_and_Bodywork > Strength_and_Resistance_Modalities',,,,800.0,
'[SOCIAL] > Social_Support_and_Belonging > Support_Network_Development',800.0,,,,
'[SOCIAL] > Interpersonal_Therapeutic_Solutions > Assessment_and_Goal_Setting',790.0,,,,
'[BIO] > Neuromodulation_and_Neurostimulation > Transcranial_Electrical_Stimulation_Family',,690.0,880.0,780.0,
'[BIO] > Neuromodulation_and_Neurostimulation > Transcranial_Magnetic_Stimulation_Family',,660.0,900.0,,
'[PSYCHO] > Cognitive_Behavioral_Therapies > Behavioral_Experiments_and_Learning',860.0,,,820.0,650.0
'[SOCIAL] > Interpersonal_Therapeutic_Solutions > Contextual_and_Practical_Supports',770.0,,,,
'[SOCIAL] > Interpersonal_Therapeutic_Solutions > Therapy_and_Support_Formats',760.0,,,,
'[BIO] > Movement_and_Bodywork > Aerobic_Movement_Modalities',,,780.0,900.0,510.0
'[BIO] > Neuromodulation_and_Neurostimulation > Biofeedback_and_Neurofeedback',,620.0,840.0,,
'[BIO] > Pharmacology_and_Biomedical_Treatments > Pain_and_Somatic_Pharmacotherapy_Classes',,560.0,860.0,,
'[BIO] > Neuromodulation_and_Neurostimulation > Digital_and_Immersive_Neuromodulation',,700.0,,,
'[BIO] > Pharmacology_and_Biomedical_Treatments > Psychiatric_Pharmacotherapy_Classes',,550.0,820.0,,
'[BIO] > Neuromodulation_and_Neurostimulation > Transcranial_Electrical_Stimulation_Montages',,680.0,,,
'[PSYCHO] > Third_Wave_and_Contextual_Therapies > Radically_Open_Skills_Based_Therapy',820.0,,,,540.0
'[BIO] > Movement_and_Bodywork > Mobility_MindBody_and_Somatic_Modalities',,,,820.0,480.0
'[BIO] > Neuromodulation_and_Neurostimulation > Convulsive_and_Seizure_Based_Therapies',,540.0,,,
'[BIO] > Somatic_and_Interventional > Adjunctive_Medical_and_Physiologic_Interventions',,540.0,,,
'[PSYCHO] > Third_Wave_and_Contextual_Therapies > Stress_Inoculation_and_Coping_Skills',,,,,520.0
'[BIO] > Movement_and_Bodywork > Digital_and_Remote_Therapy_Formats',,,,,500.0
