predictor_path,SOCIAL / positive relationships / intimacy / emotional closeness / *deep emotional sharing,SOCIAL / social integration / social connectedness / network of friends / maintaining friendships / regular communication / communication channels / *in-person,SOCIAL / social skills / networking / professional connections / *workplace relationships
'[PSYCHO] > Skills_Libraries > Emotion_Regulation_and_Affect_Skills',950.0,,
'[PSYCHO] > Digital_and_Tech_Enabled_Solutions > Digital_Tools_and_Supports',,900.0,
'[PSYCHO] > Skills_Libraries > Stress_Management_and_Relaxation',,,895.0
'[PSYCHO] > Third_Wave_and_Contextual_Therapies > ACT_Contextual_Behavioral_Therapy',880.0,,
'[PSYCHO] > Cognitive_Behavioral_Therapies > Behavioral_Experiments_and_Learning',,,860.0
'[PSYCHO] > Third_Wave_and_Contextual_Therapies > Radically_Open_Skills_Based_Therapy',860.0,,
'[PSYCHO] > Skills_Libraries > Interpersonal_and_Communication_Skills',880.0,,820.0
'[PSYCHO] > Third_Wave_and_Contextual_Therapies > Mindfulness_Based_Interventions',900.0,,800.0
'[PSYCHO] > Insight_Oriented_Therapies > Mentalization_Based_Interventions',830.0,,
'[PSYCHO] > Interpersonal_and_Attachment_Therapies > Attachment_Informed_Interventions',820.0,,
'[SOCIAL] > Romantic_Intimacy_and_Relationships > Romantic_Relationship_Skills_and_Support',820.0,,
'[PSYCHO] > Third_Wave_and_Contextual_Therapies > Compassion_Focused_Interventions',800.0,,
'[SOCIAL] > Romantic_Intimacy_and_Relationships > Relational_Therapeutic_Services',800.0,,
'[PSYCHO] > Digital_and_Tech_Enabled_Solutions > Care_Delivery_Formats',,780.0,
'[SOCIAL] > Social_Support_and_Belonging > Network_Building_And_Maintenance',,,770.0
'[PSYCHO] > Brief_and_Motivational_Approaches > Coaching_and_Behavior_Change_Support',,,760.0
'[PSYCHO] > Brief_and_Motivational_Approaches > Motivational_Interviewing_Approach',,,740.0
'[SOCIAL] > Interpersonal_Therapeutic_Solutions > Contextual_and_Practical_Supports',,,720.0
'[SOCIAL] > Work_Education_and_Role_Functioning > Education_and_Training_Context_Solutions',,,720.0
'[SOCIAL] > Digital_Social_Environment > Digital_Life_Assessment_and_Guardrails',,700.0,
'[SOCIAL] > Socioeconomic_and_Material_Resource_Solutions > Financial_and_Benefits_Support',,,700.0
'[SOCIAL] > Care_Navigation_Access_and_Coordination > Access_Barrier_Reduction_Solutions',,650.0,
'[BIO] > Personalization_and_Monitoring > Wearables_and_Home_Monitoring',,600.0,
'[BIO] > Movement_and_Bodywork > Digital_and_Remote_Therapy_Formats',,520.0,
