predictor_path,anxiety disorders / generalized anxiety disorder / with cognitive rumination / *difficulty_disengaging_from_ruminative_thoughts
'[BIO] > Sleep_and_Circadian > Circadian_Entrainment',950.0
'[BIO] > Somatic_and_Interventional > Brain_Stimulation_Therapies',900.0
'[PSYCHO] > Third_Wave_and_Contextual_Therapies > Mindfulness_Based_Interventions',860.0
'[BIO] > Neuromodulation_and_Neurostimulation > Transcranial_Magnetic_Stimulation_Family',850.0
'[BIO] > Neuromodulation_and_Neurostimulation > Transcranial_Electrical_Stimulation_Montages',830.0
'[BIO] > Sleep_and_Circadian > Sleep_Devices_and_Technologies',820.0
'[BIO] > Neuromodulation_and_Neurostimulation > Transcranial_Magnetic_Stimulation_Targets',800.0
'[BIO] > Sleep_and_Circadian > Sleep_Environment',800.0
'[BIO] > Sleep_and_Circadian > Sleep_Routines_and_Practices',780.0
'[PSYCHO] > Cognitive_Behavioral_Therapies > Cognitive_Restructuring',780.0
