predictor_path,"disruptive, impulse-control, and conduct disorders / anger or aggression outburst disorders / intermittent explosive disorder / outburst pattern / infrequent high-intensity outbursts / *outburst_disproportionate_to_stressor",neurodevelopmental disorders / other neurodevelopmental disorders / sensory processing disorder / *tactile_hypersensitivity,obsessive-compulsive and related disorders / other specified obsessive-compulsive and related disorder / misophonia (sound-triggered rage or distress) / *anger_rage_response_to_trigger_sounds,obsessive-compulsive and related disorders / other specified obsessive-compulsive and related disorder / misophonia (sound-triggered rage or distress) / *intrusive_cognition_about_trigger_sounds
'[BIO] > Somatic_and_Interventional > Brain_Stimulation_Therapies',,960.0,,
'[BIO] > Neuromodulation_and_Neurostimulation > Transcranial_Electrical_Stimulation_Family',,930.0,,
'[BIO] > Neuromodulation_and_Neurostimulation > Sensory_and_Network_Modulation',,980.0,860.0,
'[BIO] > Neuromodulation_and_Neurostimulation > Transcranial_Magnetic_Stimulation_Family',,920.0,,
'[BIO] > Neuromodulation_and_Neurostimulation > Transcranial_Electrical_Stimulation_Montages',,910.0,,
'[BIO] > Neuromodulation_and_Neurostimulation > Digital_and_Immersive_Neuromodulation',,900.0,,
'[BIO] > Environment_and_Exposure > Sensory_Environment',,,880.0,
'[BIO] > Neuromodulation_and_Neurostimulation > Convulsive_and_Seizure_Based_Therapies',,880.0,,
'[BIO] > Neuromodulation_and_Neurostimulation > Implantable_Central_Neuromodulation',,880.0,,
'[BIO] > Sleep_and_Circadian > Circadian_Entrainment',880.0,900.0,850.0,
'[PSYCHO] > Cognitive_Behavioral_Therapies > Exposure_and_Inhibitory_Learning',800.0,,900.0,920.0
'[BIO] > Sleep_and_Circadian > Sleep_Routines_and_Practices',820.0,880.0,800.0,
'[PSYCHO] > Cognitive_Behavioral_Therapies > Behavioral_Experiments_and_Learning',880.0,,860.0,750.0
'[BIO] > Sleep_and_Circadian > Sleep_Environment',,,820.0,
'[PSYCHO] > Cognitive_Behavioral_Therapies > Behavior_Change_and_Activation',940.0,,,700.0
'[PSYCHO] > Skills_Libraries > Stress_Management_and_Relaxation',820.0,,,
'[SOCIAL] > Interpersonal_Therapeutic_Solutions > Assessment_and_Goal_Setting',820.0,,,
'[SOCIAL] > Interpersonal_Therapeutic_Solutions > Conflict_and_Relationship_Repair',800.0,,,
'[PSYCHO] > Cognitive_Behavioral_Therapies > CBT_Skills_Training_Libraries',860.0,,,720.0
'[PSYCHO] > Skills_Libraries > Emotion_Regulation_and_Affect_Skills',,,790.0,
'[BIO] > Neuromodulation_and_Neurostimulation > Biofeedback_and_Neurofeedback',,,780.0,
'[PSYCHO] > Cognitive_Behavioral_Therapies > Cognitive_Restructuring',830.0,,800.0,650.0
'[PSYCHO] > Cognitive_Behavioral_Therapies > Cognitive_Bias_and_Attention_Modification',,,,630.0
'[PSYCHO] > Cognitive_Behavioral_Therapies > Perseverative_Cognition_Interventions',,,,610.0
'[PSYCHO] > Third_Wave_and_Contextual_Therapies > DBT_Skills_Based_Therapy',,,,600.0
'[PSYCHO] > Third_Wave_and_Contextual_Therapies > ACT_Contextual_Behavioral_Therapy',,,,560.0
'[PSYCHO] > Third_Wave_and_Contextual_Therapies > Mindfulness_Based_Interventions',,,,520.0
