predictor_path,anxiety disorders / panic disorder / situationally predisposed panic attacks / *cue_triggered_panic_attack_occurrence,anxiety disorders / specific phobia / other type / nosophobia / *reassurance_seeking_for_health,pain disorders / neuropathic pain disorders / peripheral neuropathy / *paresthesias
'[BIO] > Sleep_and_Circadian > Circadian_Entrainment',,,930.0
'[BIO] > Sleep_and_Circadian > Sleep_Routines_and_Practices',,,900.0
'[PSYCHO] > Cognitive_Behavioral_Therapies > Exposure_and_Inhibitory_Learning',,900.0,
'[PSYCHO] > Third_Wave_and_Contextual_Therapies > ACT_Contextual_Behavioral_Therapy',,820.0,920.0
'[PSYCHO] > Cognitive_Behavioral_Therapies > Behavior_Change_and_Activation',,780.0,950.0
'[PSYCHO] > Third_Wave_and_Contextual_Therapies > Mindfulness_Based_Interventions',,760.0,940.0
'[PSYCHO] > Cognitive_Behavioral_Therapies > Behavioral_Experiments_and_Learning',,740.0,900.0
'[PSYCHO] > Third_Wave_and_Contextual_Therapies > Radically_Open_Skills_Based_Therapy',,730.0,900.0
'[BIO] > Neuromodulation_and_Neurostimulation > Biofeedback_and_Neurofeedback',650.0,,940.0
'[PSYCHO] > Cognitive_Behavioral_Therapies > Cognitive_Restructuring',,760.0,
'[BIO] > Neuromodulation_and_Neurostimulation > Transcranial_Electrical_Stimulation_Family',550.0,,920.0
'[BIO] > Neuromodulation_and_Neurostimulation > Transcranial_Magnetic_Stimulation_Family',570.0,,900.0
'[PSYCHO] > Cognitive_Behavioral_Therapies > CBT_Skills_Training_Libraries',,720.0,
'[PSYCHO] > Cognitive_Behavioral_Therapies > Transdiagnostic_CBT_Frameworks',,720.0,
'[BIO] > Pharmacology_and_Biomedical_Treatments > Psychiatric_Pharmacotherapy_Classes',700.0,,
'[PSYCHO] > Cognitive_Behavioral_Therapies > Cognitive_Bias_and_Attention_Modification',,700.0,
'[BIO] > Pharmacology_and_Biomedical_Treatments > Sleep_Related_Pharmacotherapy_Classes',650.0,,
'[BIO] > Pharmacology_and_Biomedical_Treatments > Substance_Use_Treatment_Pharmacotherapy_Classes',620.0,,
'[BIO] > Neuromodulation_and_Neurostimulation > Implantable_Central_Neuromodulation',600.0,,
'[BIO] > Neuromodulation_and_Neurostimulation > Transcranial_Magnetic_Stimulation_Targets',540.0,,
'[BIO] > Pharmacology_and_Biomedical_Treatments > AntiInflammatory_and_Immunomodulatory_Pharmacotherapy_Classes',540.0,,
'[BIO] > Neuromodulation_and_Neurostimulation > Digital_and_Immersive_Neuromodulation',520.0,,
