code,role,label,ontology_id,conf,freq_hint
C01,CRITERION,Nightmare-triggered awakenings (occurrence),nocturnal_awakenings_due_to_nightmares,0.85,
C02,CRITERION,Nightmare vividness/intensity,nightmares_or_vivid_dreams,0.62,
C03,CRITERION,Anticipatory fear of sleep / reluctance to go to bed,pre_sleep_anxiety_and_rumination,0.72,
C04,CRITERION,Acute autonomic arousal on awakening,awakening_due_to_nightmare,0.74,
C05,CRITERION,Prolonged post-awakening physiological/psychological activation,morning_hyperarousal_signs_post_awakening,0.87,
C06,CRITERION,Difficulty resuming sleep after nightmare awakenings,sleep_maintenance_difficulty,0.78,
P01,PREDICTOR,Imagery Rehearsal Therapy (IRT) practice adherence,nightmare_imagery_rehearsal,0.92,
P02,PREDICTOR,Presleep wind-down / detachment routine adherence,wind_down_routine,0.92,
P03,PREDICTOR,Paced breathing / grounding practice (post-awakening),paced_breathing_practice,0.84,
P04,PREDICTOR,"Sleep environment quality (comfort, light, temperature, noise)",sleep_quality_rating,0.62,
P05,PREDICTOR,Nightly wearable HR/HRV arousal index (passive),photoplethysmography_hrv_wearable,0.78,
P06,PREDICTOR,Nonengagement with clock-checking (nighttime checking behavior),nonengagement_with_clock_checking,0.75,
P07,PREDICTOR,Mindfulness/acceptance practice (in-bed or pre-sleep),body_scan_practice,0.72,
P08,PREDICTOR,Bedtime/return-to-bed settling routine adherence (settling routine),return_to_bed_settling_routine,0.92,
