feature_path_full,domain,n_present_runs,presence_frequency,mean_rank_present,std_rank_present,mean_score_present,std_score_present
BIO / somatic_and_interventional_care_pathways / somatic_and_interventional_therapies / pain_medicine_and_somatic_distress / interventional_pain_options_and_coordination / medication_optimization_coordination_for_pain,BIO,5,1.0,6.8,3.0594118,0.22024164,0.009104735
BIO / somatic_and_interventional_care_pathways / somatic_and_interventional_therapies / pain_medicine_and_somatic_distress / interventional_pain_options_and_coordination / pain_function_goal_setting_and_tracking_pathway,BIO,5,1.0,15.8,3.4871192,0.2128921,0.010367492
BIO / somatic_and_interventional_care_pathways / somatic_and_interventional_therapies / pain_medicine_and_somatic_distress / interventional_pain_options_and_coordination / pain_crisis_triage_and_safety_planning_pathway,BIO,5,1.0,17.2,2.9257479,0.21186516,0.009139723
BIO / sleep_circadian_and_restoration / circadian_entrainment / context_shift_plans / weekend_social_shift_mitigation,BIO,5,1.0,37.0,31.33688,0.2062166,0.0050387825
BIO / somatic_and_interventional_care_pathways / somatic_and_interventional_therapies / pain_medicine_and_somatic_distress / referral_and_evaluation / pain_related_sleep_disruption_assessment_pathway,BIO,5,1.0,63.8,26.75369,0.19877626,0.008653934
BIO / somatic_and_interventional_care_pathways / somatic_and_interventional_therapies / pain_medicine_and_somatic_distress / referral_and_evaluation / chronic_pain_multimodal_assessment_pathway,BIO,5,1.0,102.8,24.935114,0.19364056,0.008565952
BIO / somatic_and_interventional_care_pathways / somatic_and_interventional_therapies / pain_medicine_and_somatic_distress / interventional_pain_options_and_coordination / neuromuscular_rehabilitation_coordination_for_pain,BIO,5,1.0,110.8,51.370808,0.19391955,0.0072674267
BIO / somatic_and_interventional_care_pathways / somatic_and_interventional_therapies / pain_medicine_and_somatic_distress / interventional_pain_options_and_coordination / interventional_pain_procedure_eligibility_evaluation,BIO,5,1.0,140.8,41.88269,0.19036089,0.006897297
BIO / movement_physical_function_and_somatic_care / rehabilitation_and_functional_restoration / rehab_exercise_families / isometric_pain_modulation_framework,BIO,3,0.6,73.666664,32.252476,0.19528998,0.005270401
BIO / personalization_monitoring_and_data_feedback / self_assessment_and_logs / daily_and_retrospective_logs / pain_intensity_and_interference_log,BIO,3,0.6,82.666664,51.22716,0.19587326,0.01344905
BIO / somatic_and_interventional_care_pathways / somatic_and_interventional_therapies / sleep_medicine_and_circadian_care / therapy_and_device_pathways / sleep_wake_stabilization_care_plan_coordination,BIO,3,0.6,117.0,22.090721,0.18502216,0.0046640607
BIO / somatic_and_interventional_care_pathways / somatic_and_interventional_therapies / pain_medicine_and_somatic_distress / referral_and_evaluation / central_sensitization_evaluation_pathway,BIO,3,0.6,130.0,30.210373,0.18815367,0.006623378
BIO / personalization_monitoring_and_data_feedback / self_assessment_and_logs / affect_mood_and_stress_selfreports / mood_diary,BIO,2,0.4,25.0,11.0,0.21159917,0.0110814655
BIO / somatic_and_interventional_care_pathways / somatic_and_interventional_therapies / pain_medicine_and_somatic_distress / referral_and_evaluation / headache_and_migraine_specialty_referral,BIO,2,0.4,36.5,2.5,0.20707698,0.0074769855
BIO / personalization_monitoring_and_data_feedback / self_assessment_and_logs / somatic_and_interoceptive_selfreports / headache_migraine_log,BIO,2,0.4,55.5,7.5,0.20283717,0.0052978396
BIO / nutrition_hydration_and_metabolic_health / alcohol_and_other_intake_modulation / alcohol_free_social_plan,BIO,2,0.4,95.0,22.0,0.18667728,0.0008205846
BIO / personalization_monitoring_and_data_feedback / self_assessment_and_logs / ecological_momentary_assessment_ema / momentary_affect_and_stress / ema_mood_checkin,BIO,2,0.4,99.0,40.0,0.19724184,0.011326022
BIO / medical_assessment_and_physiology_testing / physiology_and_somatic_optimization_tools / pain_and_physical_function_pathways / pain_rehabilitation_pathway,BIO,2,0.4,119.5,44.5,0.18334527,0.0056475997
BIO / personalization_monitoring_and_data_feedback / self_assessment_and_logs / ecological_momentary_assessment_ema / momentary_coping_and_response / ema_coping_strategy_used,BIO,1,0.2,54.0,0.0,0.21000956,0.0
BIO / personalization_monitoring_and_data_feedback / self_assessment_and_logs / ecological_momentary_assessment_ema / momentary_coping_and_response / ema_perceived_coping_effectiveness,BIO,1,0.2,76.0,0.0,0.20629518,0.0
BIO / personalization_monitoring_and_data_feedback / self_assessment_and_logs / ecological_momentary_assessment_ema / momentary_coping_and_response / ema_urge_intensity,BIO,1,0.2,79.0,0.0,0.20592953,0.0
BIO / personalization_monitoring_and_data_feedback / self_assessment_and_logs / ecological_momentary_assessment_ema / momentary_somatic_and_physiological_perception / ema_pain_level,BIO,1,0.2,123.0,0.0,0.20126939,0.0
