predictor_path,anxiety disorders / panic disorder / situationally predisposed panic attacks / *chest_discomfort_or_pain_during_attack,anxiety disorders / panic disorder / situationally predisposed panic attacks / *cue_triggered_panic_attack_occurrence,anxiety disorders / social anxiety disorder / generalized / fear of negative evaluation / *anticipatory_anxiety_in_social_evaluative_contexts,anxiety disorders / specific phobia / blood-injection-injury type / hemophobia / *syncope_on_blood_exposure,physical / physical self-care / listening to body signals / body awareness / *self-monitoring
'[BIO] > Medical_Physiology_and_Testing > Laboratory_Tests',920.0,,,,
'[PSYCHO] > Third_Wave_and_Contextual_Therapies > Radically_Open_Skills_Based_Therapy',,,,,920.0
'[PSYCHO] > Cognitive_Behavioral_Therapies > Behavior_Change_and_Activation',,,,900.0,
'[PSYCHO] > Cognitive_Behavioral_Therapies > Exposure_and_Inhibitory_Learning',,,900.0,880.0,
'[BIO] > Medical_Physiology_and_Testing > Physiology_and_Somatic_Optimization_Tools',880.0,,,,
'[BIO] > Pharmacology_and_Biomedical_Treatments > Endocrine_and_Metabolic_Pharmacotherapy_Classes',850.0,,,,
'[PSYCHO] > Cognitive_Behavioral_Therapies > CBT_Skills_Training_Libraries',,,850.0,,
'[BIO] > Sleep_and_Circadian > Circadian_Entrainment',820.0,,,,
'[BIO] > Personalization_and_Monitoring > Wearables_and_Home_Monitoring',,,,,800.0
'[BIO] > Pharmacology_and_Biomedical_Treatments > Psychiatric_Pharmacotherapy_Classes',900.0,700.0,,,
'[PSYCHO] > Third_Wave_and_Contextual_Therapies > DBT_Skills_Based_Therapy',,,800.0,,
'[BIO] > Sleep_and_Circadian > Sleep_Pharmacotherapy_Classes',790.0,,,,
'[BIO] > Personalization_and_Monitoring > Self_Assessment_Instruments',,,,,780.0
'[BIO] > Pharmacology_and_Biomedical_Treatments > Medication_Safety_and_Personalization_Tools',780.0,,,,
'[PSYCHO] > Third_Wave_and_Contextual_Therapies > Mindfulness_Based_Interventions',,,860.0,700.0,
'[BIO] > Sleep_and_Circadian > Sleep_Devices_and_Technologies',770.0,,,,
'[PSYCHO] > Skills_Libraries > Emotion_Regulation_and_Affect_Skills',,,840.0,,700.0
'[PSYCHO] > Third_Wave_and_Contextual_Therapies > ACT_Contextual_Behavioral_Therapy',,,820.0,720.0,
'[BIO] > Neuromodulation_and_Neurostimulation > Biofeedback_and_Neurofeedback',,650.0,,,880.0
'[PSYCHO] > Cognitive_Behavioral_Therapies > Transdiagnostic_CBT_Frameworks',,,,750.0,
'[BIO] > Pharmacology_and_Biomedical_Treatments > Sleep_Related_Pharmacotherapy_Classes',800.0,650.0,,,
'[BIO] > Pharmacology_and_Biomedical_Treatments > AntiInflammatory_and_Immunomodulatory_Pharmacotherapy_Classes',900.0,540.0,,,
'[PSYCHO] > Cognitive_Behavioral_Therapies > Behavioral_Experiments_and_Learning',,,,790.0,650.0
'[BIO] > Movement_and_Bodywork > Digital_and_Remote_Therapy_Formats',,,700.0,,
'[BIO] > Somatic_and_Interventional > Brain_Stimulation_Therapies',,,,700.0,
'[PSYCHO] > Digital_and_Tech_Enabled_Solutions > Digital_Tools_and_Supports',,,670.0,,720.0
'[BIO] > Sleep_and_Circadian > Sleep_Routines_and_Practices',,,650.0,,
'[PSYCHO] > Cognitive_Behavioral_Therapies > Perseverative_Cognition_Interventions',,,,650.0,
'[PSYCHO] > Cognitive_Behavioral_Therapies > Problem_Solving_Training',,,,640.0,
'[PSYCHO] > Digital_and_Tech_Enabled_Solutions > Care_Delivery_Formats',,,680.0,,600.0
'[BIO] > Pharmacology_and_Biomedical_Treatments > Substance_Use_Treatment_Pharmacotherapy_Classes',,620.0,,,
'[BIO] > Neuromodulation_and_Neurostimulation > Implantable_Central_Neuromodulation',,600.0,,,
'[BIO] > Neuromodulation_and_Neurostimulation > Transcranial_Electrical_Stimulation_Family',,550.0,,650.0,
'[BIO] > Neuromodulation_and_Neurostimulation > Transcranial_Magnetic_Stimulation_Family',,570.0,,,
'[BIO] > Neuromodulation_and_Neurostimulation > Transcranial_Magnetic_Stimulation_Targets',,540.0,,,
'[BIO] > Neuromodulation_and_Neurostimulation > Digital_and_Immersive_Neuromodulation',,520.0,,,
