predictor_path,"disruptive, impulse-control, and conduct disorders / anger or aggression outburst disorders / disruptive mood dysregulation disorder / with severe temper outbursts / *outburst_trigger_by_minimal_provocation",toddlerhood / emotional_development / stress_response / behavioral_responses / *withdrawing,trauma- and stressor-related disorders / adjustment disorders / with depressed mood / *tearfulness
'[PSYCHO] > Cognitive_Behavioral_Therapies > Behavior_Change_and_Activation',940.0,,800.0
'[PSYCHO] > Cognitive_Behavioral_Therapies > CBT_Skills_Training_Libraries',860.0,,
'[BIO] > Sleep_and_Circadian > Circadian_Entrainment',880.0,820.0,
'[PSYCHO] > Cognitive_Behavioral_Therapies > Behavioral_Experiments_and_Learning',880.0,,780.0
'[SOCIAL] > Interpersonal_Therapeutic_Solutions > Assessment_and_Goal_Setting',820.0,,
'[PSYCHO] > Cognitive_Behavioral_Therapies > Cognitive_Restructuring',830.0,,800.0
'[PSYCHO] > Cognitive_Behavioral_Therapies > Exposure_and_Inhibitory_Learning',800.0,,
'[SOCIAL] > Interpersonal_Therapeutic_Solutions > Conflict_and_Relationship_Repair',800.0,,
'[PSYCHO] > Skills_Libraries > Stress_Management_and_Relaxation',820.0,,750.0
'[BIO] > Sleep_and_Circadian > Sleep_Routines_and_Practices',820.0,700.0,
'[PSYCHO] > Third_Wave_and_Contextual_Therapies > Mindfulness_Based_Interventions',,,760.0
'[PSYCHO] > Skills_Libraries > Emotion_Regulation_and_Affect_Skills',,,750.0
'[BIO] > Neuromodulation_and_Neurostimulation > Biofeedback_and_Neurofeedback',,780.0,710.0
'[PSYCHO] > Cognitive_Behavioral_Therapies > Problem_Solving_Training',,,720.0
'[PSYCHO] > Cognitive_Behavioral_Therapies > Transdiagnostic_CBT_Frameworks',,,710.0
'[PSYCHO] > Third_Wave_and_Contextual_Therapies > Stress_Inoculation_and_Coping_Skills',,,700.0
'[BIO] > Movement_and_Bodywork > Mobility_MindBody_and_Somatic_Modalities',,520.0,
'[BIO] > Sleep_and_Circadian > Sleep_Supplements',,520.0,
'[BIO] > Movement_and_Bodywork > Aerobic_Movement_Modalities',,500.0,
'[BIO] > Movement_and_Bodywork > Balance_and_Coordination_Modalities',,480.0,
'[BIO] > Movement_and_Bodywork > Strength_and_Resistance_Modalities',,460.0,
'[BIO] > Sleep_and_Circadian > Sleep_Environment',,450.0,
'[BIO] > Sleep_and_Circadian > Sleep_Pharmacotherapy_Classes',,420.0,
