predictor_path,depressive disorders / substance or medication-induced depressive disorder / other medication-induced depressive disorder / *worthlessness_feelings,obsessive-compulsive and related disorders / other specified obsessive-compulsive and related disorder / misophonia (sound-triggered rage or distress) / *distress_anxiety_response_to_trigger_sounds,schizophrenia spectrum and other psychotic disorders / acute and brief psychotic disorders / acute and transient psychotic disorder / acute polymorphic psychosis / *affective_lability,trauma- and stressor-related disorders / grief-related disorders / persistent complex bereavement disorder / *emotional_numbing_or_detachment,trauma- and stressor-related disorders / grief-related disorders / prolonged grief disorder / *emotional_numbness,trauma- and stressor-related disorders / other specified trauma- and stressor-related disorders / adjustment-like disorder with delayed onset / *impaired_work_or_school_functioning
'[BIO] > Pharmacology_and_Biomedical_Treatments > Endocrine_and_Metabolic_Pharmacotherapy_Classes',,,940.0,,,
'[PSYCHO] > Cognitive_Behavioral_Therapies > Exposure_and_Inhibitory_Learning',,920.0,,,,
'[PSYCHO] > Trauma_Memory_Imagery_and_Narrative_Work > EMDR_Informed_Interventions',,,,900.0,850.0,
'[BIO] > Sleep_and_Circadian > Circadian_Entrainment',,,820.0,900.0,,
'[PSYCHO] > Trauma_Memory_Imagery_and_Narrative_Work > Cognitive_Trauma_Processing',,,,920.0,860.0,790.0
'[BIO] > Sleep_and_Circadian > Sleep_Devices_and_Technologies',,,,850.0,,
'[PSYCHO] > Cognitive_Behavioral_Therapies > Behavioral_Experiments_and_Learning',900.0,750.0,,,,880.0
'[PSYCHO] > Trauma_Memory_Imagery_and_Narrative_Work > Stabilization_and_Resourcing',,,,840.0,,
'[PSYCHO] > Trauma_Memory_Imagery_and_Narrative_Work > Trauma_Focused_CBT_Components',,,,910.0,800.0,800.0
'[BIO] > Sleep_and_Circadian > Sleep_Environment',,,,820.0,,
'[PSYCHO] > Trauma_Memory_Imagery_and_Narrative_Work > Exposure_Based_Trauma_Processing',,,,880.0,780.0,780.0
'[PSYCHO] > Cognitive_Behavioral_Therapies > Behavior_Change_and_Activation',920.0,700.0,,,690.0,900.0
'[BIO] > Pharmacology_and_Biomedical_Treatments > Psychiatric_Pharmacotherapy_Classes',800.0,,,,,
'[PSYCHO] > Cognitive_Behavioral_Therapies > Transdiagnostic_CBT_Frameworks',770.0,,,,,820.0
'[BIO] > Sleep_and_Circadian > Sleep_Routines_and_Practices',,,780.0,,,
'[PSYCHO] > Trauma_Memory_Imagery_and_Narrative_Work > Imagery_and_Rescripting_Interventions',,,,860.0,700.0,
'[PSYCHO] > Trauma_Memory_Imagery_and_Narrative_Work > Narrative_and_Writing_Based_Interventions',,,,820.0,720.0,
'[BIO] > Pharmacology_and_Biomedical_Treatments > Sleep_Related_Pharmacotherapy_Classes',,,760.0,,,
'[PSYCHO] > Third_Wave_and_Contextual_Therapies > ACT_Contextual_Behavioral_Therapy',760.0,,,,,
'[PSYCHO] > Cognitive_Behavioral_Therapies > Cognitive_Restructuring',880.0,680.0,,,700.0,
'[BIO] > Neuromodulation_and_Neurostimulation > Transcranial_Electrical_Stimulation_Family',750.0,,,,,
'[SOCIAL] > Interpersonal_Therapeutic_Solutions > Conflict_and_Relationship_Repair',,,,,,750.0
'[PSYCHO] > Third_Wave_and_Contextual_Therapies > Mindfulness_Based_Interventions',780.0,600.0,,,,860.0
'[BIO] > Neuromodulation_and_Neurostimulation > Transcranial_Electrical_Stimulation_Montages',730.0,,,,,
'[PSYCHO] > Skills_Libraries > Emotion_Regulation_and_Affect_Skills',,700.0,,,750.0,
'[PSYCHO] > Cognitive_Behavioral_Therapies > CBT_Skills_Training_Libraries',,720.0,,,,
'[SOCIAL] > Interpersonal_Therapeutic_Solutions > Contextual_and_Practical_Supports',,,,,,720.0
'[PSYCHO] > Skills_Libraries > Stress_Management_and_Relaxation',,,,,710.0,
'[BIO] > Neuromodulation_and_Neurostimulation > Transcranial_Magnetic_Stimulation_Family',700.0,,,,,
'[BIO] > Sleep_and_Circadian > Sleep_Supplements',,,700.0,,,
'[SOCIAL] > Interpersonal_Therapeutic_Solutions > Assessment_and_Goal_Setting',,,,,,700.0
'[BIO] > Nutrition_and_Metabolism > Dietary_Patterns',,,650.0,,,
'[BIO] > Neuromodulation_and_Neurostimulation > Biofeedback_and_Neurofeedback',,600.0,680.0,,,
'[PSYCHO] > Skills_Libraries > Interpersonal_and_Communication_Skills',,640.0,,,,
'[BIO] > Nutrition_and_Metabolism > Medical_Nutrition_Therapy_Tools',,,620.0,,,
'[BIO] > Nutrition_and_Metabolism > Micronutrient_Supplement_Forms',,,610.0,,,
'[PSYCHO] > Cognitive_Behavioral_Therapies > Perseverative_Cognition_Interventions',,600.0,,,,
'[BIO] > Nutrition_and_Metabolism > Supplement_and_Nutraceutical_Library',,,590.0,,,
