predictor_path,anxiety disorders / panic disorder / situationally predisposed panic attacks / *cue_triggered_panic_attack_occurrence,emotional / positive emotions / playfulness / leisure engagement / relaxation techniques / *engaging in relaxing activities,neurodevelopmental disorders / attention-deficit or hyperactivity disorder (adhd) / other specified adhd / *easily_distracted_by_external_stimuli
'[PSYCHO] > Third_Wave_and_Contextual_Therapies > Mindfulness_Based_Interventions',,880.0,
'[BIO] > Neuromodulation_and_Neurostimulation > Biofeedback_and_Neurofeedback',650.0,,800.0
'[BIO] > Pharmacology_and_Biomedical_Treatments > Psychiatric_Pharmacotherapy_Classes',700.0,,720.0
'[BIO] > Movement_and_Bodywork > Aerobic_Movement_Modalities',,700.0,
'[BIO] > Sleep_and_Circadian > Circadian_Entrainment',,,700.0
'[PSYCHO] > Cognitive_Behavioral_Therapies > Transdiagnostic_CBT_Frameworks',,,700.0
'[SOCIAL] > Care_Navigation_Access_and_Coordination > Care_Navigation_and_Access',,700.0,
'[SOCIAL] > Community_Participation_and_Social_Prescribing > Social_Prescribing_and_Community_Linkage',,690.0,
'[BIO] > Neuromodulation_and_Neurostimulation > Transcranial_Magnetic_Stimulation_Family',570.0,,790.0
'[BIO] > Sleep_and_Circadian > Sleep_Routines_and_Practices',,680.0,680.0
'[SOCIAL] > Community_Participation_and_Social_Prescribing > Community_Participation_Library',,680.0,
'[BIO] > Pharmacology_and_Biomedical_Treatments > Sleep_Related_Pharmacotherapy_Classes',650.0,,700.0
'[BIO] > Neuromodulation_and_Neurostimulation > Transcranial_Magnetic_Stimulation_Targets',540.0,,780.0
'[BIO] > Pharmacology_and_Biomedical_Treatments > Substance_Use_Treatment_Pharmacotherapy_Classes',620.0,,700.0
'[BIO] > Movement_and_Bodywork > Balance_and_Coordination_Modalities',,650.0,
'[SOCIAL] > Social_Support_and_Belonging > Network_Building_And_Maintenance',,650.0,
'[BIO] > Movement_and_Bodywork > Strength_and_Resistance_Modalities',,640.0,
'[BIO] > Neuromodulation_and_Neurostimulation > Digital_and_Immersive_Neuromodulation',520.0,,750.0
'[BIO] > Movement_and_Bodywork > Bodywork_and_Physical_Therapies',,600.0,
'[BIO] > Neuromodulation_and_Neurostimulation > Implantable_Central_Neuromodulation',600.0,,
'[BIO] > Neuromodulation_and_Neurostimulation > Transcranial_Electrical_Stimulation_Family',550.0,,
'[BIO] > Pharmacology_and_Biomedical_Treatments > AntiInflammatory_and_Immunomodulatory_Pharmacotherapy_Classes',540.0,,
