predictor_path,headache disorders / primary headache disorders / tension-type headache / *pericranial_mmuscle_tenderness_present
'[BIO] > Sleep_and_Circadian > Circadian_Entrainment',730.0
'[BIO] > Neuromodulation_and_Neurostimulation > Digital_and_Immersive_Neuromodulation',700.0
'[BIO] > Neuromodulation_and_Neurostimulation > Transcranial_Electrical_Stimulation_Family',690.0
'[BIO] > Neuromodulation_and_Neurostimulation > Transcranial_Electrical_Stimulation_Montages',680.0
'[BIO] > Neuromodulation_and_Neurostimulation > Transcranial_Magnetic_Stimulation_Family',660.0
'[BIO] > Neuromodulation_and_Neurostimulation > Biofeedback_and_Neurofeedback',620.0
'[BIO] > Pharmacology_and_Biomedical_Treatments > Pain_and_Somatic_Pharmacotherapy_Classes',560.0
'[BIO] > Pharmacology_and_Biomedical_Treatments > Psychiatric_Pharmacotherapy_Classes',550.0
'[BIO] > Neuromodulation_and_Neurostimulation > Convulsive_and_Seizure_Based_Therapies',540.0
'[BIO] > Somatic_and_Interventional > Adjunctive_Medical_and_Physiologic_Interventions',540.0
