predictor_path,bipolar and related disorders / bipolar ii disorder / course or remission / in full remission / *functional_status_adequate,financial / financialsecurity / financialplanning / budgeting / *personalbudgeting tools,neurodevelopmental disorders / attention-deficit or hyperactivity disorder (adhd) / combined presentation / *poor_task_organization,neurodevelopmental disorders / attention-deficit or hyperactivity disorder (adhd) / predominantly inattentive presentation / *avoidance_of_tasks_requiring_sustained_effort,personality disorders / other personality disorders / self-defeating personality disorder / *pervasive_inadequacy_belief,physical / physical self-care / medical check-ups / preventive health maintenance / *routine medical visits,psychological / environmental mastery / ability to manage environment / time management / *prioritizing tasks,unspecified_stage / social_development / peer_relationships / friendships / *maintaining_friendships
'[BIO] > Neuromodulation_and_Neurostimulation > Biofeedback_and_Neurofeedback',,,900.0,,,,,
'[BIO] > Neuromodulation_and_Neurostimulation > Transcranial_Electrical_Stimulation_Family',,,900.0,,,,,
'[BIO] > Sleep_and_Circadian > Circadian_Entrainment',900.0,,,,,,,
'[PSYCHO] > Foundations_and_Common_Factors > Therapeutic_Relationship_and_Context',,,,,900.0,,,
'[SOCIAL] > Interpersonal_Therapeutic_Solutions > Assessment_and_Goal_Setting',,,,,,,,900.0
'[BIO] > Neuromodulation_and_Neurostimulation > Transcranial_Electrical_Stimulation_Montages',,,880.0,,,,,
'[SOCIAL] > Interpersonal_Therapeutic_Solutions > Conflict_and_Relationship_Repair',,,,,,,,880.0
'[BIO] > Neuromodulation_and_Neurostimulation > Light_and_Photo_Neuromodulation',,,860.0,,,,,
'[BIO] > Neuromodulation_and_Neurostimulation > Transcranial_Magnetic_Stimulation_Family',,,860.0,,,,,
'[PSYCHO] > Cognitive_Behavioral_Therapies > Cognitive_Bias_and_Attention_Modification',,,,,860.0,,,
'[PSYCHO] > Skills_Libraries > Self_Compassion_and_Self_Relating',,,,,860.0,,,
'[SOCIAL] > Interpersonal_Therapeutic_Solutions > Contextual_and_Practical_Supports',,,,,,,,860.0
'[BIO] > Neuromodulation_and_Neurostimulation > Transcranial_Magnetic_Stimulation_Targets',,,850.0,,,,,
'[BIO] > Sleep_and_Circadian > Sleep_Devices_and_Technologies',850.0,,,,,,,
'[PSYCHO] > Cognitive_Behavioral_Therapies > CBT_Skills_Training_Libraries',,,,,880.0,,820.0,
'[PSYCHO] > Digital_and_Tech_Enabled_Solutions > Digital_Tools_and_Supports',,850.0,,,,800.0,,
'[PSYCHO] > Measurement_Based_Care_and_Feedback > Measurement_and_Feedback_Systems',,,,,,900.0,750.0,
'[BIO] > Neuromodulation_and_Neurostimulation > Ultrasound_and_Mechanical_Neuromodulation',,,820.0,,,,,
'[PSYCHO] > Skills_Libraries > Emotion_Regulation_and_Affect_Skills',880.0,,,,880.0,,700.0,
'[SOCIAL] > Interpersonal_Therapeutic_Solutions > Therapy_and_Support_Formats',,,,,,,,820.0
'[BIO] > Sleep_and_Circadian > Sleep_Environment',800.0,,,,,,,
'[PSYCHO] > Cognitive_Behavioral_Therapies > Behavior_Change_and_Activation',780.0,900.0,700.0,700.0,920.0,,,
'[PSYCHO] > Third_Wave_and_Contextual_Therapies > Radically_Open_Skills_Based_Therapy',,800.0,,,,,,
'[PSYCHO] > Cognitive_Behavioral_Therapies > Behavioral_Experiments_and_Learning',750.0,880.0,,650.0,900.0,,,
'[PSYCHO] > Third_Wave_and_Contextual_Therapies > ACT_Contextual_Behavioral_Therapy',,820.0,,,,,760.0,
'[PSYCHO] > Skills_Libraries > Interpersonal_and_Communication_Skills',840.0,,,,860.0,,650.0,
'[BIO] > Personalization_and_Monitoring > Wearables_and_Home_Monitoring',,860.0,,,,700.0,,
'[PSYCHO] > Cognitive_Behavioral_Therapies > Problem_Solving_Training',,860.0,,600.0,,,880.0,
'[PSYCHO] > Foundations_and_Common_Factors > Goals_Values_and_Maintenance_Planning',,,,,,,780.0,
'[PSYCHO] > Digital_and_Tech_Enabled_Solutions > Care_Delivery_Formats',,830.0,,,,850.0,640.0,
'[PSYCHO] > Third_Wave_and_Contextual_Therapies > Mindfulness_Based_Interventions',720.0,820.0,,,,,,
'[SOCIAL] > Interpersonal_Therapeutic_Solutions > Skill_Building_and_Psychoeducation',700.0,,,,,,,840.0
'[PSYCHO] > Cognitive_Behavioral_Therapies > Exposure_and_Inhibitory_Learning',,,,680.0,840.0,,,
'[SOCIAL] > Care_Navigation_Access_and_Coordination > Care_Navigation_and_Access',,,,,,750.0,,
'[SOCIAL] > Social_Support_and_Belonging > Support_Network_Development',,,,,,,,750.0
'[PSYCHO] > Cognitive_and_Metacognitive_Interventions > Cognitive_Remediation_and_Rehabilitation',,,740.0,,,,,
'[PSYCHO] > Cognitive_Behavioral_Therapies > Cognitive_Restructuring',,,,620.0,850.0,,,
'[BIO] > Sleep_and_Circadian > Sleep_Routines_and_Practices',720.0,,,,,,,
'[BIO] > Somatic_and_Interventional > Care_Pathway_and_Safety_Infrastructure',,,,,,720.0,,
'[PSYCHO] > Cognitive_Behavioral_Therapies > Perseverative_Cognition_Interventions',,850.0,,590.0,,,,
'[SOCIAL] > Family_Parenting_and_Household_Systems > Caregiving_and_Respite_Solutions',,,,,,,,700.0
'[SOCIAL] > Social_Support_and_Belonging > Network_Building_And_Maintenance',,,,600.0,,,,770.0
'[PSYCHO] > Cognitive_and_Metacognitive_Interventions > Metacognitive_and_Attention_Based_Interventions',,,720.0,640.0,,,,
'[SOCIAL] > Family_Parenting_and_Household_Systems > Family_and_Household_Services',,,,,,,,680.0
'[PSYCHO] > Foundations_and_Common_Factors > Psychoeducation_Modules',,,,,,600.0,740.0,
'[BIO] > Personalization_and_Monitoring > Self_Assessment_Instruments',,,,,,650.0,680.0,
'[SOCIAL] > Family_Parenting_and_Household_Systems > Parenting_and_Caregiver_Support',,,,,,,,660.0
'[PSYCHO] > Cognitive_Behavioral_Therapies > Transdiagnostic_CBT_Frameworks',,,,610.0,,,,
'[PSYCHO] > Interpersonal_and_Attachment_Therapies > Attachment_Informed_Interventions',,,,600.0,,,,
