pseudoprofile_id,predictor_path,predictor_path_canonical,criterion,criterion_leaf,criterion_path,mapping_score,hyde_score_scaled,fused_score
pseudoprofile_FTC_ID023,'[BIO] > Sleep_and_Circadian > Circadian_Entrainment','[BIO] / Sleep_and_Circadian / Circadian_Entrainment',anxiety disorders / generalized anxiety disorder / with cognitive rumination / *intrusive_ruminative_thoughts_present,*intrusive_ruminative_thoughts_present,anxiety disorders / generalized anxiety disorder / with cognitive rumination / *intrusive_ruminative_thoughts_present,950.0,,950.0
pseudoprofile_FTC_ID023,'[SOCIAL] > Socioeconomic_and_Material_Resource_Solutions > Financial_and_Benefits_Support','[SOCIAL] / Socioeconomic_and_Material_Resource_Solutions / Financial_and_Benefits_Support',financial / financialwellbeing / abilitytomeetneeds / affordingnecessities / *basic living expenses,*basic living expenses,financial / financialwellbeing / abilitytomeetneeds / affordingnecessities / *basic living expenses,930.0,,930.0
pseudoprofile_FTC_ID023,'[BIO] > Neuromodulation_and_Neurostimulation > Transcranial_Electrical_Stimulation_Family','[BIO] / Neuromodulation_and_Neurostimulation / Transcranial_Electrical_Stimulation_Family',anxiety disorders / generalized anxiety disorder / with predominant somatic symptoms / *fatigue,*fatigue,anxiety disorders / generalized anxiety disorder / with predominant somatic symptoms / *fatigue,900.0,,900.0
pseudoprofile_FTC_ID023,'[PSYCHO] > Cognitive_Behavioral_Therapies > Behavior_Change_and_Activation','[PSYCHO] / Cognitive_Behavioral_Therapies / Behavior_Change_and_Activation',anxiety disorders / generalized anxiety disorder / with predominant somatic symptoms / *fatigue,*fatigue,anxiety disorders / generalized anxiety disorder / with predominant somatic symptoms / *fatigue,900.0,,900.0
pseudoprofile_FTC_ID023,'[BIO] > Somatic_and_Interventional > Brain_Stimulation_Therapies','[BIO] / Somatic_and_Interventional / Brain_Stimulation_Therapies',anxiety disorders / generalized anxiety disorder / with cognitive rumination / *intrusive_ruminative_thoughts_present,*intrusive_ruminative_thoughts_present,anxiety disorders / generalized anxiety disorder / with cognitive rumination / *intrusive_ruminative_thoughts_present,900.0,,900.0
pseudoprofile_FTC_ID023,'[BIO] > Sleep_and_Circadian > Circadian_Entrainment','[BIO] / Sleep_and_Circadian / Circadian_Entrainment',anxiety disorders / generalized anxiety disorder / with predominant somatic symptoms / *fatigue,*fatigue,anxiety disorders / generalized anxiety disorder / with predominant somatic symptoms / *fatigue,900.0,,900.0
pseudoprofile_FTC_ID023,'[PSYCHO] > Cognitive_Behavioral_Therapies > Behavioral_Experiments_and_Learning','[PSYCHO] / Cognitive_Behavioral_Therapies / Behavioral_Experiments_and_Learning',anxiety disorders / generalized anxiety disorder / with predominant somatic symptoms / *fatigue,*fatigue,anxiety disorders / generalized anxiety disorder / with predominant somatic symptoms / *fatigue,880.0,,880.0
pseudoprofile_FTC_ID023,'[BIO] > Sleep_and_Circadian > Sleep_Routines_and_Practices','[BIO] / Sleep_and_Circadian / Sleep_Routines_and_Practices',anxiety disorders / generalized anxiety disorder / with predominant somatic symptoms / *fatigue,*fatigue,anxiety disorders / generalized anxiety disorder / with predominant somatic symptoms / *fatigue,880.0,,880.0
pseudoprofile_FTC_ID023,'[SOCIAL] > Socioeconomic_and_Material_Resource_Solutions > Housing_and_Neighborhood_Solutions','[SOCIAL] / Socioeconomic_and_Material_Resource_Solutions / Housing_and_Neighborhood_Solutions',financial / financialwellbeing / abilitytomeetneeds / affordingnecessities / *basic living expenses,*basic living expenses,financial / financialwellbeing / abilitytomeetneeds / affordingnecessities / *basic living expenses,880.0,,880.0
pseudoprofile_FTC_ID023,'[BIO] > Sleep_and_Circadian > Sleep_Supplements','[BIO] / Sleep_and_Circadian / Sleep_Supplements',anxiety disorders / generalized anxiety disorder / with predominant somatic symptoms / *fatigue,*fatigue,anxiety disorders / generalized anxiety disorder / with predominant somatic symptoms / *fatigue,860.0,,860.0
