predictor_path,anxiety disorders / generalized anxiety disorder / with cognitive rumination / *repetitive_negative_rumination_cycles,early_adulthood / emotional_development / resilience_architecture / disappointment_processing / *promotion_overlook_coping,emotional / affective process / emotion process / *jealousy,personality disorders / other personality disorders / depressive personality disorder / *low_self_esteem,psychological / self-acceptance / self-respect / refusing harmful behaviors / *preventing destructive habits
'[BIO] > Sleep_and_Circadian > Circadian_Entrainment',950.0,,,930.0,
'[BIO] > Neuromodulation_and_Neurostimulation > Transcranial_Electrical_Stimulation_Family',,,920.0,,
'[BIO] > Neuromodulation_and_Neurostimulation > Biofeedback_and_Neurofeedback',,,900.0,,
'[BIO] > Somatic_and_Interventional > Brain_Stimulation_Therapies',900.0,,900.0,,
'[BIO] > Neuromodulation_and_Neurostimulation > Implantable_Central_Neuromodulation',,,880.0,,
'[PSYCHO] > Skills_Libraries > Emotion_Regulation_and_Affect_Skills',,,900.0,,860.0
'[BIO] > Neuromodulation_and_Neurostimulation > Transcranial_Electrical_Stimulation_Montages',830.0,,880.0,,
'[BIO] > Sleep_and_Circadian > Sleep_Devices_and_Technologies',820.0,,,890.0,
'[PSYCHO] > Third_Wave_and_Contextual_Therapies > Mindfulness_Based_Interventions',860.0,1000.0,,780.0,780.0
'[BIO] > Neuromodulation_and_Neurostimulation > Digital_and_Immersive_Neuromodulation',,,850.0,,
'[BIO] > Neuromodulation_and_Neurostimulation > Transcranial_Magnetic_Stimulation_Family',850.0,,830.0,,
'[BIO] > Sleep_and_Circadian > Sleep_Environment',800.0,,,860.0,
'[PSYCHO] > Skills_Libraries > Interpersonal_and_Communication_Skills',,,,,820.0
'[BIO] > Neuromodulation_and_Neurostimulation > Transcranial_Magnetic_Stimulation_Targets',800.0,,820.0,,
'[BIO] > Pharmacology_and_Biomedical_Treatments > Psychiatric_Pharmacotherapy_Classes',,,,800.0,
'[PSYCHO] > Systemic_Couple_Family_Parenting > Parenting_And_Caregiver_Interventions',,800.0,,,
'[PSYCHO] > Third_Wave_and_Contextual_Therapies > ACT_Contextual_Behavioral_Therapy',,900.0,,750.0,720.0
'[BIO] > Sleep_and_Circadian > Sleep_Routines_and_Practices',780.0,,,,
'[PSYCHO] > Interpersonal_and_Attachment_Therapies > Interpersonal_Therapy_Family',,780.0,,,
'[BIO] > Pharmacology_and_Biomedical_Treatments > Sleep_Related_Pharmacotherapy_Classes',,,,770.0,
'[PSYCHO] > Third_Wave_and_Contextual_Therapies > DBT_Skills_Based_Therapy',,800.0,,740.0,
'[PSYCHO] > Third_Wave_and_Contextual_Therapies > Functional_Analytic_Behavior_Therapy',,700.0,840.0,,
'[SOCIAL] > Romantic_Intimacy_and_Relationships > Relationship_Safety_and_Protection',,760.0,,,
'[BIO] > Pharmacology_and_Biomedical_Treatments > Substance_Use_Treatment_Pharmacotherapy_Classes',,,,750.0,
'[BIO] > Sleep_and_Circadian > Sleep_Pharmacotherapy_Classes',,,,750.0,
'[PSYCHO] > Cognitive_Behavioral_Therapies > Cognitive_Restructuring',780.0,,,,700.0
'[PSYCHO] > Third_Wave_and_Contextual_Therapies > Radically_Open_Skills_Based_Therapy',,,,,720.0
'[PSYCHO] > Cognitive_Behavioral_Therapies > Behavior_Change_and_Activation',,,,,700.0
'[SOCIAL] > Family_Parenting_and_Household_Systems > Caregiving_and_Respite_Solutions',,700.0,,,
'[SOCIAL] > Work_Education_and_Role_Functioning > Education_and_Training_Context_Solutions',,700.0,,,
'[PSYCHO] > Third_Wave_and_Contextual_Therapies > Stress_Inoculation_and_Coping_Skills',,650.0,,,
'[SOCIAL] > Interpersonal_Therapeutic_Solutions > Assessment_and_Goal_Setting',,,,,650.0
'[SOCIAL] > Interpersonal_Therapeutic_Solutions > Conflict_and_Relationship_Repair',,,,,600.0
'[SOCIAL] > Social_Support_and_Belonging > Network_Building_And_Maintenance',,,,,600.0
