predictor_path,"disruptive, impulse-control, and conduct disorders / anger or aggression outburst disorders / disruptive mood dysregulation disorder / with predominant irritability / *reduced_frustration_tolerance",neurocognitive disorders / major neurocognitive disorder / substance or medication-induced / opioid-related / *functional_impairment_in_iadls,neurocognitive disorders / mild neurocognitive disorder / due to traumatic brain injury / repetitive mild tbi / *post_concussive_headache,neurodevelopmental disorders / other neurodevelopmental disorders / sensory processing disorder / *visual_hypersensitivity
'[BIO] > Somatic_and_Interventional > Brain_Stimulation_Therapies',,,860.0,910.0
'[BIO] > Neuromodulation_and_Neurostimulation > Digital_and_Immersive_Neuromodulation',,,,880.0
'[BIO] > Neuromodulation_and_Neurostimulation > Implantable_Central_Neuromodulation',,,,860.0
'[BIO] > Pharmacology_and_Biomedical_Treatments > Pain_and_Somatic_Pharmacotherapy_Classes',,,860.0,
'[BIO] > Neuromodulation_and_Neurostimulation > Convulsive_and_Seizure_Based_Therapies',,,,850.0
'[BIO] > Neuromodulation_and_Neurostimulation > Transcranial_Electrical_Stimulation_Family',,,880.0,800.0
'[BIO] > Neuromodulation_and_Neurostimulation > Transcranial_Magnetic_Stimulation_Family',,,900.0,750.0
'[BIO] > Sleep_and_Circadian > Sleep_Supplements',,,820.0,
'[SOCIAL] > Community_Participation_and_Social_Prescribing > Community_Participation_Library',,800.0,,
'[SOCIAL] > Romantic_Intimacy_and_Relationships > Relational_Therapeutic_Services',,800.0,,
'[SOCIAL] > Work_Education_and_Role_Functioning > Education_and_Training_Context_Solutions',,800.0,,
'[SOCIAL] > Interpersonal_Therapeutic_Solutions > Conflict_and_Relationship_Repair',,790.0,,
'[SOCIAL] > Social_Support_and_Belonging > Network_Building_And_Maintenance',,790.0,,
'[SOCIAL] > Socioeconomic_and_Material_Resource_Solutions > Financial_and_Benefits_Support',,790.0,,
'[SOCIAL] > Work_Education_and_Role_Functioning > Role_Transitions_and_Life_Changes',,790.0,,
'[BIO] > Neuromodulation_and_Neurostimulation > Sensory_and_Network_Modulation',,,,780.0
'[SOCIAL] > Romantic_Intimacy_and_Relationships > Relationship_Safety_and_Protection',,780.0,,
'[SOCIAL] > Romantic_Intimacy_and_Relationships > Romantic_Relationship_Skills_and_Support',,780.0,,
'[BIO] > Neuromodulation_and_Neurostimulation > Transcranial_Electrical_Stimulation_Montages',,,,770.0
'[BIO] > Neuromodulation_and_Neurostimulation > Light_and_Photo_Neuromodulation',,,,740.0
'[BIO] > Neuromodulation_and_Neurostimulation > Biofeedback_and_Neurofeedback',120.0,,840.0,900.0
'[BIO] > Pharmacology_and_Biomedical_Treatments > Psychiatric_Pharmacotherapy_Classes',150.0,820.0,820.0,
'[BIO] > Sleep_and_Circadian > Circadian_Entrainment',110.0,,880.0,
'[BIO] > Sleep_and_Circadian > Sleep_Routines_and_Practices',90.0,,860.0,
'[BIO] > Movement_and_Bodywork > Aerobic_Movement_Modalities',70.0,,780.0,
'[BIO] > Pharmacology_and_Biomedical_Treatments > Medication_Safety_and_Personalization_Tools',130.0,,,
'[BIO] > Sleep_and_Circadian > Sleep_Environment',100.0,,,
'[PSYCHO] > Third_Wave_and_Contextual_Therapies > Mindfulness_Based_Interventions',95.0,,,
'[PSYCHO] > Cognitive_Behavioral_Therapies > CBT_Skills_Training_Libraries',75.0,,,
'[PSYCHO] > Third_Wave_and_Contextual_Therapies > ACT_Contextual_Behavioral_Therapy',66.0,,,
