leaf_path,leaf_path_canonical,hyde_score_raw,hyde_score_scaled
PSYCHO / brief_and_motivational_approaches / coaching_and_behavior_change_support / cognitive_reframe_for_performance_pressure,PSYCHO / brief_and_motivational_approaches / coaching_and_behavior_change_support / cognitive_reframe_for_performance_pressure,0.2229592055082321,222.9592055082321
PSYCHO / brief_and_motivational_approaches / solution_focused_brief_therapy / identify_preferred_signs_of_change,PSYCHO / brief_and_motivational_approaches / solution_focused_brief_therapy / identify_preferred_signs_of_change,0.2263913750648498,226.3913750648498
PSYCHO / change_process_and_therapeutic_phases / behavior_change_theories_and_modern_protocol_arcs / protection_motivation_theory_solutions / pmt_fear_to_action_channeling_plan,PSYCHO / change_process_and_therapeutic_phases / behavior_change_theories_and_modern_protocol_arcs / protection_motivation_theory_solutions / pmt_fear_to_action_channeling_plan,0.2274197190999984,227.4197190999984
PSYCHO / change_process_and_therapeutic_phases / behavior_change_theories_and_modern_protocol_arcs / social_cognitive_theory_solutions / sct_barrier_solving_and_skills_build,PSYCHO / change_process_and_therapeutic_phases / behavior_change_theories_and_modern_protocol_arcs / social_cognitive_theory_solutions / sct_barrier_solving_and_skills_build,0.2298047840595245,229.8047840595245
PSYCHO / change_process_and_therapeutic_phases / behavioral_integration / environmental_and_social_system_design / boundary_with_external_stressors_plan,PSYCHO / change_process_and_therapeutic_phases / behavioral_integration / environmental_and_social_system_design / boundary_with_external_stressors_plan,0.2475422471761703,247.5422471761703
PSYCHO / change_process_and_therapeutic_phases / behavioral_integration / environmental_and_social_system_design / support_seeking_and_receiving_plan,PSYCHO / change_process_and_therapeutic_phases / behavioral_integration / environmental_and_social_system_design / support_seeking_and_receiving_plan,0.2216671258211136,221.6671258211136
PSYCHO / change_process_and_therapeutic_phases / behavioral_integration / flexible_skill_selection_in_context / early_warning_signs_to_action_routine,PSYCHO / change_process_and_therapeutic_phases / behavioral_integration / flexible_skill_selection_in_context / early_warning_signs_to_action_routine,0.2269621640443802,226.9621640443802
PSYCHO / change_process_and_therapeutic_phases / behavioral_integration / flexible_skill_selection_in_context / stop_rules_for_maladaptive_coping_practice,PSYCHO / change_process_and_therapeutic_phases / behavioral_integration / flexible_skill_selection_in_context / stop_rules_for_maladaptive_coping_practice,0.2279579043388366,227.95790433883658
PSYCHO / change_process_and_therapeutic_phases / behavioral_integration / lifestyle_performance_and_wellbeing_integration / self_compassion_after_failure_practice,PSYCHO / change_process_and_therapeutic_phases / behavioral_integration / lifestyle_performance_and_wellbeing_integration / self_compassion_after_failure_practice,0.2242579162120819,224.2579162120819
PSYCHO / change_process_and_therapeutic_phases / experiential_disconfirmation / emotion_processing_and_transformational_experiences / transform_anger_with_boundaries_practice,PSYCHO / change_process_and_therapeutic_phases / experiential_disconfirmation / emotion_processing_and_transformational_experiences / transform_anger_with_boundaries_practice,0.2260469645261764,226.0469645261764
PSYCHO / change_process_and_therapeutic_phases / experiential_disconfirmation / interoceptive_and_somatic_experiential_work / body_map_of_emotion_practice,PSYCHO / change_process_and_therapeutic_phases / experiential_disconfirmation / interoceptive_and_somatic_experiential_work / body_map_of_emotion_practice,0.2259962260723114,225.9962260723114
PSYCHO / change_process_and_therapeutic_phases / experiential_disconfirmation / relational_and_insession_experiential_work / boundary_enactment_practice,PSYCHO / change_process_and_therapeutic_phases / experiential_disconfirmation / relational_and_insession_experiential_work / boundary_enactment_practice,0.2209086269140243,220.9086269140243
PSYCHO / change_process_and_therapeutic_phases / experiential_disconfirmation / relational_and_insession_experiential_work / relational_exposure_to_conflict_or_intimacy_when_indicated,PSYCHO / change_process_and_therapeutic_phases / experiential_disconfirmation / relational_and_insession_experiential_work / relational_exposure_to_conflict_or_intimacy_when_indicated,0.2579738199710846,257.9738199710846
PSYCHO / change_process_and_therapeutic_phases / meaning_update / relational_meaning_and_attachment_updating / ask_for_needs_with_self_respect_practice,PSYCHO / change_process_and_therapeutic_phases / meaning_update / relational_meaning_and_attachment_updating / ask_for_needs_with_self_respect_practice,0.230412557721138,230.412557721138
PSYCHO / change_process_and_therapeutic_phases / skill_acquisition / behavioral_planning_and_execution_skills / coping_planning_for_barriers_practice,PSYCHO / change_process_and_therapeutic_phases / skill_acquisition / behavioral_planning_and_execution_skills / coping_planning_for_barriers_practice,0.236792966723442,236.792966723442
PSYCHO / change_process_and_therapeutic_phases / skill_acquisition / emotion_regulation_skill_building / aftercare_for_intense_emotion_plan,PSYCHO / change_process_and_therapeutic_phases / skill_acquisition / emotion_regulation_skill_building / aftercare_for_intense_emotion_plan,0.244035318493843,244.035318493843
PSYCHO / change_process_and_therapeutic_phases / skill_acquisition / emotion_regulation_skill_building / compassionate_self_talk_training,PSYCHO / change_process_and_therapeutic_phases / skill_acquisition / emotion_regulation_skill_building / compassionate_self_talk_training,0.2274381518363952,227.4381518363952
PSYCHO / change_process_and_therapeutic_phases / skill_acquisition / emotion_regulation_skill_building / distress_tolerance_core_skills_training,PSYCHO / change_process_and_therapeutic_phases / skill_acquisition / emotion_regulation_skill_building / distress_tolerance_core_skills_training,0.2226258963346481,222.6258963346481
PSYCHO / change_process_and_therapeutic_phases / skill_acquisition / emotion_regulation_skill_building / reappraisal_and_reframing_practice,PSYCHO / change_process_and_therapeutic_phases / skill_acquisition / emotion_regulation_skill_building / reappraisal_and_reframing_practice,0.2219602465629577,221.9602465629577
PSYCHO / change_process_and_therapeutic_phases / skill_acquisition / emotion_regulation_skill_building / repair_after_dysregulation_plan,PSYCHO / change_process_and_therapeutic_phases / skill_acquisition / emotion_regulation_skill_building / repair_after_dysregulation_plan,0.2329597473144531,232.9597473144531
PSYCHO / change_process_and_therapeutic_phases / skill_acquisition / foundational_self_regulation_skills / coping_plan_structure_noncrisis,PSYCHO / change_process_and_therapeutic_phases / skill_acquisition / foundational_self_regulation_skills / coping_plan_structure_noncrisis,0.2420769780874252,242.0769780874252
PSYCHO / change_process_and_therapeutic_phases / skill_acquisition / foundational_self_regulation_skills / self_compassion_first_aid_practice,PSYCHO / change_process_and_therapeutic_phases / skill_acquisition / foundational_self_regulation_skills / self_compassion_first_aid_practice,0.2231567203998565,223.1567203998565
PSYCHO / change_process_and_therapeutic_phases / skill_acquisition / interpersonal_and_communication_skill_building / conflict_deescalation_scripts_practice,PSYCHO / change_process_and_therapeutic_phases / skill_acquisition / interpersonal_and_communication_skill_building / conflict_deescalation_scripts_practice,0.2247304171323776,224.7304171323776
PSYCHO / change_process_and_therapeutic_phases / skill_acquisition / interpersonal_and_communication_skill_building / refusal_and_boundary_setting_training,PSYCHO / change_process_and_therapeutic_phases / skill_acquisition / interpersonal_and_communication_skill_building / refusal_and_boundary_setting_training,0.2525851130485534,252.5851130485534
PSYCHO / cognitive_behavioral_therapies / cbt_skills_training_libraries / assertiveness_and_boundaries / core_skills / boundary_assertion_with_warmth,PSYCHO / cognitive_behavioral_therapies / cbt_skills_training_libraries / assertiveness_and_boundaries / core_skills / boundary_assertion_with_warmth,0.2273531556129455,227.3531556129455
PSYCHO / cognitive_behavioral_therapies / cbt_skills_training_libraries / assertiveness_and_boundaries / core_skills / boundary_setting_scripts,PSYCHO / cognitive_behavioral_therapies / cbt_skills_training_libraries / assertiveness_and_boundaries / core_skills / boundary_setting_scripts,0.2377567887306213,237.7567887306213
PSYCHO / cognitive_behavioral_therapies / cbt_skills_training_libraries / assertiveness_and_boundaries / core_skills / refusal_skills,PSYCHO / cognitive_behavioral_therapies / cbt_skills_training_libraries / assertiveness_and_boundaries / core_skills / refusal_skills,0.2258501648902893,225.8501648902893
PSYCHO / cognitive_behavioral_therapies / cbt_skills_training_libraries / communication_and_repair / conversation_skills / communication_skills_i_statements,PSYCHO / cognitive_behavioral_therapies / cbt_skills_training_libraries / communication_and_repair / conversation_skills / communication_skills_i_statements,0.2255255579948425,225.5255579948425
PSYCHO / cognitive_behavioral_therapies / cognitive_restructuring / elicit_and_capture / clarify_meaning / specify_behavior_urge_link_to_thought,PSYCHO / cognitive_behavioral_therapies / cognitive_restructuring / elicit_and_capture / clarify_meaning / specify_behavior_urge_link_to_thought,0.2238861173391342,223.8861173391342
PSYCHO / cognitive_behavioral_therapies / cognitive_restructuring / elicit_and_capture / clarify_meaning / specify_emotion_link_to_thought,PSYCHO / cognitive_behavioral_therapies / cognitive_restructuring / elicit_and_capture / clarify_meaning / specify_emotion_link_to_thought,0.2381673157215118,238.1673157215118
PSYCHO / cognitive_behavioral_therapies / cognitive_restructuring / emotion_linked_reappraisal / anger_and_moral_appraisal / responsibility_boundary_reframe,PSYCHO / cognitive_behavioral_therapies / cognitive_restructuring / emotion_linked_reappraisal / anger_and_moral_appraisal / responsibility_boundary_reframe,0.2388171851634979,238.8171851634979
PSYCHO / cognitive_behavioral_therapies / cognitive_restructuring / emotion_linked_reappraisal / threat_and_anxiety / reattribute_threat_to_arousal_sensitivity,PSYCHO / cognitive_behavioral_therapies / cognitive_restructuring / emotion_linked_reappraisal / threat_and_anxiety / reattribute_threat_to_arousal_sensitivity,0.2332953661680221,233.2953661680221
PSYCHO / cognitive_behavioral_therapies / cognitive_restructuring / evaluate / socratic_and_guided_discovery / self_distancing_reappraisal,PSYCHO / cognitive_behavioral_therapies / cognitive_restructuring / evaluate / socratic_and_guided_discovery / self_distancing_reappraisal,0.2226398289203643,222.6398289203643
PSYCHO / cognitive_behavioral_therapies / cognitive_restructuring / restructure_and_install / belief_strength_modulation / cognitive_reframing_of_intentionality,PSYCHO / cognitive_behavioral_therapies / cognitive_restructuring / restructure_and_install / belief_strength_modulation / cognitive_reframing_of_intentionality,0.2216381728649139,221.6381728649139
PSYCHO / cognitive_behavioral_therapies / problem_solving_training / implement_and_learn / action_and_review / problem_solving_with_compassion,PSYCHO / cognitive_behavioral_therapies / problem_solving_training / implement_and_learn / action_and_review / problem_solving_with_compassion,0.2240431010723114,224.0431010723114
PSYCHO / cognitive_behavioral_therapies / schema_focused_cbt_derivatives / change_techniques / behavioral_pattern_change / practice_and_planning / boundary_setting_with_inner_critic,PSYCHO / cognitive_behavioral_therapies / schema_focused_cbt_derivatives / change_techniques / behavioral_pattern_change / practice_and_planning / boundary_setting_with_inner_critic,0.2339954078197479,233.9954078197479
PSYCHO / core_psychological_skills_toolkits / compassionate_self_relating_and_inner_support / compassionate_cognition / reframes_and_voice / self_criticism_to_care_reframe,PSYCHO / core_psychological_skills_toolkits / compassionate_self_relating_and_inner_support / compassionate_cognition / reframes_and_voice / self_criticism_to_care_reframe,0.2212957739830017,221.2957739830017
PSYCHO / core_psychological_skills_toolkits / emotion_regulation_and_affective_mastery / change_strategies / emotion_modulation / emotion_exposure_planning,PSYCHO / core_psychological_skills_toolkits / emotion_regulation_and_affective_mastery / change_strategies / emotion_modulation / emotion_exposure_planning,0.2345045208930969,234.5045208930969
PSYCHO / core_psychological_skills_toolkits / emotion_regulation_and_affective_mastery / change_strategies / emotion_modulation / emotional_approach_coping,PSYCHO / core_psychological_skills_toolkits / emotion_regulation_and_affective_mastery / change_strategies / emotion_modulation / emotional_approach_coping,0.2308119982481002,230.8119982481002
PSYCHO / core_psychological_skills_toolkits / emotion_regulation_and_affective_mastery / change_strategies / emotion_modulation / opposite_action_emotion,PSYCHO / core_psychological_skills_toolkits / emotion_regulation_and_affective_mastery / change_strategies / emotion_modulation / opposite_action_emotion,0.2263731956481933,226.3731956481933
PSYCHO / core_psychological_skills_toolkits / emotion_regulation_and_affective_mastery / repair_and_aftercare / post_dysregulation_repair / aftercare_for_intense_emotion,PSYCHO / core_psychological_skills_toolkits / emotion_regulation_and_affective_mastery / repair_and_aftercare / post_dysregulation_repair / aftercare_for_intense_emotion,0.2326988875865936,232.6988875865936
PSYCHO / core_psychological_skills_toolkits / emotion_regulation_and_affective_mastery / repair_and_aftercare / post_dysregulation_repair / repair_after_dysregulation_plan,PSYCHO / core_psychological_skills_toolkits / emotion_regulation_and_affective_mastery / repair_and_aftercare / post_dysregulation_repair / repair_after_dysregulation_plan,0.2411796748638153,241.1796748638153
PSYCHO / core_psychological_skills_toolkits / emotion_regulation_and_affective_mastery / repair_and_aftercare / post_dysregulation_repair / repair_after_emotional_outburst,PSYCHO / core_psychological_skills_toolkits / emotion_regulation_and_affective_mastery / repair_and_aftercare / post_dysregulation_repair / repair_after_emotional_outburst,0.2289367467164993,228.9367467164993
PSYCHO / core_psychological_skills_toolkits / interpersonal_effectiveness_and_relational_repair / assertiveness_and_boundaries / ask_say_no_negotiate / assertive_no_for_overcommitment,PSYCHO / core_psychological_skills_toolkits / interpersonal_effectiveness_and_relational_repair / assertiveness_and_boundaries / ask_say_no_negotiate / assertive_no_for_overcommitment,0.2388110756874084,238.8110756874084
PSYCHO / core_psychological_skills_toolkits / interpersonal_effectiveness_and_relational_repair / assertiveness_and_boundaries / ask_say_no_negotiate / assertiveness_scripts,PSYCHO / core_psychological_skills_toolkits / interpersonal_effectiveness_and_relational_repair / assertiveness_and_boundaries / ask_say_no_negotiate / assertiveness_scripts,0.2243652641773224,224.3652641773224
