predictor_path,depressive disorders / persistent depressive disorder (dysthymia) / with pure dysthymic syndrome / *hopelessness,emotional / subjective affective feeling / *feeling in control,pain disorders / cancer-related pain / bone pain due to metastases / *pain_intensity_0to10,pain disorders / functional pain disorders / pain disorder associated with psychological factors / *pain_fluctuation_with_psychological_stress,pain disorders / musculoskeletal pain disorders / ankylosing spondylitis pain / *catastrophizing_pain_thoughts_present,pain disorders / neuropathic pain disorders / post-stroke pain / *paroxysmal_pain_attacks
'[BIO] > Neuromodulation_and_Neurostimulation > Biofeedback_and_Neurofeedback',,,,,,940.0
'[BIO] > Neuromodulation_and_Neurostimulation > Transcranial_Electrical_Stimulation_Family',,,,,,920.0
'[PSYCHO] > Third_Wave_and_Contextual_Therapies > ACT_Contextual_Behavioral_Therapy',,,,,,920.0
'[BIO] > Neuromodulation_and_Neurostimulation > Transcranial_Magnetic_Stimulation_Family',,,,,,900.0
'[BIO] > Pharmacology_and_Biomedical_Treatments > Pain_and_Somatic_Pharmacotherapy_Classes',,,900.0,,,
'[PSYCHO] > Third_Wave_and_Contextual_Therapies > Radically_Open_Skills_Based_Therapy',,,,,,900.0
'[PSYCHO] > Cognitive_Behavioral_Therapies > CBT_Skills_Training_Libraries',,,,890.0,,
'[BIO] > Sleep_and_Circadian > Circadian_Entrainment',900.0,880.0,780.0,,900.0,930.0
'[PSYCHO] > Cognitive_Behavioral_Therapies > Behavior_Change_and_Activation',900.0,,,880.0,680.0,950.0
'[BIO] > Pharmacology_and_Biomedical_Treatments > AntiInflammatory_and_Immunomodulatory_Pharmacotherapy_Classes',,,850.0,,,
'[BIO] > Sleep_and_Circadian > Sleep_Routines_and_Practices',880.0,,760.0,,860.0,900.0
'[PSYCHO] > Third_Wave_and_Contextual_Therapies > Mindfulness_Based_Interventions',,,,760.0,,940.0
'[PSYCHO] > Cognitive_and_Metacognitive_Interventions > Cognitive_Remediation_and_Rehabilitation',,,,840.0,,
'[BIO] > Sleep_and_Circadian > Sleep_Environment',820.0,860.0,,,820.0,
'[PSYCHO] > Cognitive_Behavioral_Therapies > Exposure_and_Inhibitory_Learning',,,,830.0,,
'[SOCIAL] > Social_Support_and_Belonging > Network_Building_And_Maintenance',820.0,,,,,
'[PSYCHO] > Cognitive_Behavioral_Therapies > Behavioral_Experiments_and_Learning',860.0,,,860.0,650.0,900.0
'[BIO] > Pharmacology_and_Biomedical_Treatments > Psychiatric_Pharmacotherapy_Classes',800.0,,,,,
'[PSYCHO] > Foundations_and_Common_Factors > Psychoeducation_Modules',,,,800.0,,
'[SOCIAL] > Social_Support_and_Belonging > Support_Network_Development',800.0,,,,,
'[PSYCHO] > Cognitive_Behavioral_Therapies > Transdiagnostic_CBT_Frameworks',820.0,,,770.0,,
'[PSYCHO] > Cognitive_Behavioral_Therapies > Cognitive_Restructuring',880.0,,,820.0,660.0,
'[BIO] > Sleep_and_Circadian > Sleep_Pharmacotherapy_Classes',,,,,780.0,
'[BIO] > Movement_and_Bodywork > Bodywork_and_Physical_Therapies',,,760.0,,,
'[BIO] > Personalization_and_Monitoring > Wearables_and_Home_Monitoring',,,750.0,,,
'[BIO] > Sleep_and_Circadian > Sleep_Supplements',,,730.0,,770.0,
'[BIO] > Neuromodulation_and_Neurostimulation > Digital_and_Immersive_Neuromodulation',,,720.0,,,
'[PSYCHO] > Cognitive_Behavioral_Therapies > Problem_Solving_Training',,,,800.0,620.0,
'[PSYCHO] > Cognitive_Behavioral_Therapies > Perseverative_Cognition_Interventions',,,,,630.0,
'[BIO] > Movement_and_Bodywork > Aerobic_Movement_Modalities',,420.0,820.0,,,
'[BIO] > Movement_and_Bodywork > Balance_and_Coordination_Modalities',,380.0,800.0,,,
'[BIO] > Nutrition_and_Metabolism > Hydration_and_Beverage_Tools',,550.0,,,,
'[BIO] > Nutrition_and_Metabolism > Meal_Planning_and_Structure',,550.0,,,,
'[BIO] > Nutrition_and_Metabolism > Dietary_Patterns',,520.0,,,,
'[BIO] > Personalization_and_Monitoring > Self_Assessment_Instruments',,520.0,,,,
'[BIO] > Movement_and_Bodywork > Mobility_MindBody_and_Somatic_Modalities',,400.0,,,,
'[BIO] > Movement_and_Bodywork > Strength_and_Resistance_Modalities',,390.0,,,,
