predictor_path,anxiety disorders / panic disorder / situationally predisposed panic attacks / *cue_triggered_panic_attack_occurrence,anxiety disorders / panic disorder / without agoraphobia / *fear_of_losing_control_present,obsessive-compulsive and related disorders / other specified obsessive-compulsive and related disorder / reassurance-seeking or checking dominant without full ocd / *repeated_questioning_of_safety_or_risk_to_self_or_others,somatic symptom and related disorders / cyberchondria / *compulsive_internet_health_searching,somatic symptom and related disorders / illness anxiety disorder (hypochondriasis) / *excessive_health_anxiety,somatic symptom and related disorders / somatic symptom disorder / *hypervigilance_to_body_sensations
'[PSYCHO] > Trauma_Memory_Imagery_and_Narrative_Work > Cognitive_Trauma_Processing',,,,,,900.0
'[PSYCHO] > Trauma_Memory_Imagery_and_Narrative_Work > Trauma_Focused_CBT_Components',,,,,,900.0
'[PSYCHO] > Trauma_Memory_Imagery_and_Narrative_Work > Exposure_Based_Trauma_Processing',,,,,,880.0
'[PSYCHO] > Cognitive_Behavioral_Therapies > Behavior_Change_and_Activation',,900.0,930.0,780.0,900.0,
'[PSYCHO] > Cognitive_Behavioral_Therapies > CBT_Skills_Training_Libraries',,,,,860.0,
'[PSYCHO] > Cognitive_Behavioral_Therapies > Exposure_and_Inhibitory_Learning',,950.0,900.0,750.0,820.0,
'[PSYCHO] > Trauma_Memory_Imagery_and_Narrative_Work > EMDR_Informed_Interventions',,,,,,850.0
'[PSYCHO] > Cognitive_Behavioral_Therapies > Behavioral_Experiments_and_Learning',,880.0,880.0,750.0,880.0,
'[PSYCHO] > Third_Wave_and_Contextual_Therapies > Mindfulness_Based_Interventions',,900.0,,800.0,800.0,
'[PSYCHO] > Third_Wave_and_Contextual_Therapies > ACT_Contextual_Behavioral_Therapy',,920.0,,720.0,,
'[PSYCHO] > Third_Wave_and_Contextual_Therapies > Radically_Open_Skills_Based_Therapy',,880.0,,750.0,,
'[PSYCHO] > Cognitive_Behavioral_Therapies > Cognitive_Restructuring',,860.0,750.0,,800.0,
'[BIO] > Sleep_and_Circadian > Sleep_Environment',,,,,800.0,
'[PSYCHO] > Foundations_and_Common_Factors > Psychoeducation_Modules',,800.0,,800.0,,
'[BIO] > Sleep_and_Circadian > Sleep_Pharmacotherapy_Classes',,,,,780.0,
'[PSYCHO] > Foundations_and_Common_Factors > Case_Formulation_and_Treatment_Planning',,780.0,,,,
'[PSYCHO] > Third_Wave_and_Contextual_Therapies > Stress_Inoculation_and_Coping_Skills',,860.0,,680.0,,
'[BIO] > Sleep_and_Circadian > Circadian_Entrainment',,,600.0,,900.0,780.0
'[BIO] > Sleep_and_Circadian > Sleep_Routines_and_Practices',,,650.0,,880.0,750.0
'[BIO] > Sleep_and_Circadian > Sleep_Supplements',,,,,,700.0
'[PSYCHO] > Cognitive_Behavioral_Therapies > Perseverative_Cognition_Interventions',,,,700.0,,
'[PSYCHO] > Trauma_Memory_Imagery_and_Narrative_Work > Stabilization_and_Resourcing',,,,,,700.0
'[PSYCHO] > Measurement_Based_Care_and_Feedback > Measurement_and_Feedback_Systems',,,,690.0,,
'[BIO] > Neuromodulation_and_Neurostimulation > Biofeedback_and_Neurofeedback',650.0,,,,,
'[BIO] > Pharmacology_and_Biomedical_Treatments > Sleep_Related_Pharmacotherapy_Classes',650.0,,,,,
'[BIO] > Pharmacology_and_Biomedical_Treatments > Psychiatric_Pharmacotherapy_Classes',700.0,,560.0,,,
'[BIO] > Pharmacology_and_Biomedical_Treatments > Substance_Use_Treatment_Pharmacotherapy_Classes',620.0,,,,,
'[BIO] > Neuromodulation_and_Neurostimulation > Transcranial_Electrical_Stimulation_Montages',,,520.0,,,700.0
'[BIO] > Neuromodulation_and_Neurostimulation > Implantable_Central_Neuromodulation',600.0,,,,,
'[BIO] > Neuromodulation_and_Neurostimulation > Transcranial_Electrical_Stimulation_Family',550.0,,550.0,,,690.0
'[BIO] > Neuromodulation_and_Neurostimulation > Transcranial_Magnetic_Stimulation_Family',570.0,,540.0,,,
'[BIO] > Neuromodulation_and_Neurostimulation > Transcranial_Magnetic_Stimulation_Targets',540.0,,,,,
'[BIO] > Pharmacology_and_Biomedical_Treatments > AntiInflammatory_and_Immunomodulatory_Pharmacotherapy_Classes',540.0,,,,,
'[BIO] > Neuromodulation_and_Neurostimulation > Digital_and_Immersive_Neuromodulation',520.0,,,,,
