criterion_leaf,criterion_path,predictor_path,_mapping_score
*attack_circadian_rhythmicity,headache disorders / primary headache disorders / cluster headache / *attack_circadian_rhythmicity,'[BIO] > Neuromodulation_and_Neurostimulation > Biofeedback_and_Neurofeedback',620.0
*attack_circadian_rhythmicity,headache disorders / primary headache disorders / cluster headache / *attack_circadian_rhythmicity,'[BIO] > Neuromodulation_and_Neurostimulation > Convulsive_and_Seizure_Based_Therapies',540.0
*attack_circadian_rhythmicity,headache disorders / primary headache disorders / cluster headache / *attack_circadian_rhythmicity,'[BIO] > Neuromodulation_and_Neurostimulation > Digital_and_Immersive_Neuromodulation',700.0
*attack_circadian_rhythmicity,headache disorders / primary headache disorders / cluster headache / *attack_circadian_rhythmicity,'[BIO] > Neuromodulation_and_Neurostimulation > Transcranial_Electrical_Stimulation_Family',690.0
*attack_circadian_rhythmicity,headache disorders / primary headache disorders / cluster headache / *attack_circadian_rhythmicity,'[BIO] > Neuromodulation_and_Neurostimulation > Transcranial_Electrical_Stimulation_Montages',680.0
*attack_circadian_rhythmicity,headache disorders / primary headache disorders / cluster headache / *attack_circadian_rhythmicity,'[BIO] > Neuromodulation_and_Neurostimulation > Transcranial_Magnetic_Stimulation_Family',660.0
*attack_circadian_rhythmicity,headache disorders / primary headache disorders / cluster headache / *attack_circadian_rhythmicity,'[BIO] > Pharmacology_and_Biomedical_Treatments > Pain_and_Somatic_Pharmacotherapy_Classes',560.0
*attack_circadian_rhythmicity,headache disorders / primary headache disorders / cluster headache / *attack_circadian_rhythmicity,'[BIO] > Pharmacology_and_Biomedical_Treatments > Psychiatric_Pharmacotherapy_Classes',550.0
*attack_circadian_rhythmicity,headache disorders / primary headache disorders / cluster headache / *attack_circadian_rhythmicity,'[BIO] > Sleep_and_Circadian > Circadian_Entrainment',730.0
*attack_circadian_rhythmicity,headache disorders / primary headache disorders / cluster headache / *attack_circadian_rhythmicity,'[BIO] > Somatic_and_Interventional > Adjunctive_Medical_and_Physiologic_Interventions',540.0
*coping_strategies,unspecified_stage / emotional_development / stress_management / *coping_strategies,'[BIO] > Movement_and_Bodywork > Aerobic_Movement_Modalities',510.0
*coping_strategies,unspecified_stage / emotional_development / stress_management / *coping_strategies,'[BIO] > Movement_and_Bodywork > Digital_and_Remote_Therapy_Formats',500.0
*coping_strategies,unspecified_stage / emotional_development / stress_management / *coping_strategies,'[BIO] > Movement_and_Bodywork > Mobility_MindBody_and_Somatic_Modalities',480.0
*coping_strategies,unspecified_stage / emotional_development / stress_management / *coping_strategies,'[PSYCHO] > Cognitive_Behavioral_Therapies > Behavior_Change_and_Activation',700.0
*coping_strategies,unspecified_stage / emotional_development / stress_management / *coping_strategies,'[PSYCHO] > Cognitive_Behavioral_Therapies > Behavioral_Experiments_and_Learning',650.0
*coping_strategies,unspecified_stage / emotional_development / stress_management / *coping_strategies,'[PSYCHO] > Skills_Libraries > Emotion_Regulation_and_Affect_Skills',880.0
*coping_strategies,unspecified_stage / emotional_development / stress_management / *coping_strategies,'[PSYCHO] > Third_Wave_and_Contextual_Therapies > ACT_Contextual_Behavioral_Therapy',880.0
*coping_strategies,unspecified_stage / emotional_development / stress_management / *coping_strategies,'[PSYCHO] > Third_Wave_and_Contextual_Therapies > Mindfulness_Based_Interventions',920.0
*coping_strategies,unspecified_stage / emotional_development / stress_management / *coping_strategies,'[PSYCHO] > Third_Wave_and_Contextual_Therapies > Radically_Open_Skills_Based_Therapy',540.0
*coping_strategies,unspecified_stage / emotional_development / stress_management / *coping_strategies,'[PSYCHO] > Third_Wave_and_Contextual_Therapies > Stress_Inoculation_and_Coping_Skills',520.0
*functional_impairment_in_daily_activities_due_to_pain,pain disorders / post-surgical and post-trauma pain syndromes / post-mastectomy pain syndrome / *functional_impairment_in_daily_activities_due_to_pain,'[BIO] > Movement_and_Bodywork > Aerobic_Movement_Modalities',900.0
*functional_impairment_in_daily_activities_due_to_pain,pain disorders / post-surgical and post-trauma pain syndromes / post-mastectomy pain syndrome / *functional_impairment_in_daily_activities_due_to_pain,'[BIO] > Movement_and_Bodywork > Balance_and_Coordination_Modalities',880.0
*functional_impairment_in_daily_activities_due_to_pain,pain disorders / post-surgical and post-trauma pain syndromes / post-mastectomy pain syndrome / *functional_impairment_in_daily_activities_due_to_pain,'[BIO] > Movement_and_Bodywork > Bodywork_and_Physical_Therapies',860.0
*functional_impairment_in_daily_activities_due_to_pain,pain disorders / post-surgical and post-trauma pain syndromes / post-mastectomy pain syndrome / *functional_impairment_in_daily_activities_due_to_pain,'[BIO] > Movement_and_Bodywork > Ergonomics_and_Posture_Tools',830.0
*functional_impairment_in_daily_activities_due_to_pain,pain disorders / post-surgical and post-trauma pain syndromes / post-mastectomy pain syndrome / *functional_impairment_in_daily_activities_due_to_pain,'[BIO] > Movement_and_Bodywork > Mobility_MindBody_and_Somatic_Modalities',820.0
*functional_impairment_in_daily_activities_due_to_pain,pain disorders / post-surgical and post-trauma pain syndromes / post-mastectomy pain syndrome / *functional_impairment_in_daily_activities_due_to_pain,'[BIO] > Movement_and_Bodywork > Strength_and_Resistance_Modalities',800.0
*functional_impairment_in_daily_activities_due_to_pain,pain disorders / post-surgical and post-trauma pain syndromes / post-mastectomy pain syndrome / *functional_impairment_in_daily_activities_due_to_pain,'[BIO] > Neuromodulation_and_Neurostimulation > Transcranial_Electrical_Stimulation_Family',780.0
*functional_impairment_in_daily_activities_due_to_pain,pain disorders / post-surgical and post-trauma pain syndromes / post-mastectomy pain syndrome / *functional_impairment_in_daily_activities_due_to_pain,'[BIO] > Sleep_and_Circadian > Sleep_Routines_and_Practices',800.0
*functional_impairment_in_daily_activities_due_to_pain,pain disorders / post-surgical and post-trauma pain syndromes / post-mastectomy pain syndrome / *functional_impairment_in_daily_activities_due_to_pain,'[PSYCHO] > Cognitive_Behavioral_Therapies > Behavior_Change_and_Activation',860.0
*functional_impairment_in_daily_activities_due_to_pain,pain disorders / post-surgical and post-trauma pain syndromes / post-mastectomy pain syndrome / *functional_impairment_in_daily_activities_due_to_pain,'[PSYCHO] > Cognitive_Behavioral_Therapies > Behavioral_Experiments_and_Learning',820.0
*ha_pain_worsened_by_anxiety,headache disorders / secondary headache disorders / headache attributed to psychiatric disorder / *ha_pain_worsened_by_anxiety,'[BIO] > Movement_and_Bodywork > Aerobic_Movement_Modalities',780.0
*ha_pain_worsened_by_anxiety,headache disorders / secondary headache disorders / headache attributed to psychiatric disorder / *ha_pain_worsened_by_anxiety,'[BIO] > Neuromodulation_and_Neurostimulation > Biofeedback_and_Neurofeedback',840.0
*ha_pain_worsened_by_anxiety,headache disorders / secondary headache disorders / headache attributed to psychiatric disorder / *ha_pain_worsened_by_anxiety,'[BIO] > Neuromodulation_and_Neurostimulation > Transcranial_Electrical_Stimulation_Family',880.0
*ha_pain_worsened_by_anxiety,headache disorders / secondary headache disorders / headache attributed to psychiatric disorder / *ha_pain_worsened_by_anxiety,'[BIO] > Neuromodulation_and_Neurostimulation > Transcranial_Magnetic_Stimulation_Family',900.0
*ha_pain_worsened_by_anxiety,headache disorders / secondary headache disorders / headache attributed to psychiatric disorder / *ha_pain_worsened_by_anxiety,'[BIO] > Pharmacology_and_Biomedical_Treatments > Pain_and_Somatic_Pharmacotherapy_Classes',860.0
*ha_pain_worsened_by_anxiety,headache disorders / secondary headache disorders / headache attributed to psychiatric disorder / *ha_pain_worsened_by_anxiety,'[BIO] > Pharmacology_and_Biomedical_Treatments > Psychiatric_Pharmacotherapy_Classes',820.0
*ha_pain_worsened_by_anxiety,headache disorders / secondary headache disorders / headache attributed to psychiatric disorder / *ha_pain_worsened_by_anxiety,'[BIO] > Sleep_and_Circadian > Circadian_Entrainment',880.0
