predictor_path,sleep-wake disorders / central disorders of hypersomnolence / idiopathic hypersomnia / without long sleep time / *working_memory_impairment_during_tasks,sleep-wake disorders / central disorders of hypersomnolence / insufficient sleep syndrome (behaviorally induced) / *fatigue_exhaustion_daytime,substance-related and addictive disorders / non-substance-related (behavioral) addictive disorders / work addiction (workaholism) / *excessive_work_hours_persisting_outside_expectations
'[BIO] > Sleep_and_Circadian > Circadian_Entrainment',960.0,960.0,
'[BIO] > Sleep_and_Circadian > Sleep_Pharmacotherapy_Classes',950.0,950.0,
'[BIO] > Sleep_and_Circadian > Sleep_Devices_and_Technologies',940.0,940.0,
'[BIO] > Sleep_and_Circadian > Sleep_Environment',930.0,930.0,
'[BIO] > Sleep_and_Circadian > Sleep_Supplements',900.0,900.0,
'[SOCIAL] > Work_Education_and_Role_Functioning > Work_and_Occupational_Solutions',,,880.0
'[BIO] > Sleep_and_Circadian > Sleep_Routines_and_Practices',940.0,940.0,520.0
'[BIO] > Personalization_and_Monitoring > Wearables_and_Home_Monitoring',750.0,750.0,
'[PSYCHO] > Digital_and_Tech_Enabled_Solutions > Digital_Tools_and_Supports',700.0,700.0,
'[PSYCHO] > Cognitive_Behavioral_Therapies > Behavior_Change_and_Activation',650.0,650.0,700.0
'[PSYCHO] > Brief_and_Motivational_Approaches > Motivational_Interviewing_Approach',,,650.0
'[PSYCHO] > Third_Wave_and_Contextual_Therapies > Mindfulness_Based_Interventions',,,620.0
'[PSYCHO] > Digital_and_Tech_Enabled_Solutions > Care_Delivery_Formats',650.0,650.0,390.0
'[PSYCHO] > Skills_Libraries > Emotion_Regulation_and_Affect_Skills',,,480.0
