predictor_path,SOCIAL / social integration / sense of belonging / acceptance by peers / *being included,depressive disorders / other specified depressive disorder / depressive episode with insufficient symptoms / *social_withdrawal_present,emotional / subjective affective feeling / *feeling exhausted,obsessive-compulsive and related disorders / body dysmorphic disorder / behavior patterns / camouflaging or comparing or seeking reassurance / *camouflaging_public_appearance,personality disorders / other personality disorders / general personality disorder / *identity_disturbance
'[BIO] > Pharmacology_and_Biomedical_Treatments > Substance_Use_Treatment_Pharmacotherapy_Classes',,900.0,,,
'[BIO] > Pharmacology_and_Biomedical_Treatments > Psychiatric_Pharmacotherapy_Classes',,850.0,,,
'[BIO] > Sleep_and_Circadian > Sleep_Supplements',,850.0,,,
'[BIO] > Pharmacology_and_Biomedical_Treatments > Medication_Safety_and_Personalization_Tools',,800.0,,,
'[BIO] > Sleep_and_Circadian > Sleep_Pharmacotherapy_Classes',,800.0,,,
'[BIO] > Movement_and_Bodywork > Aerobic_Movement_Modalities',,,780.0,,
'[PSYCHO] > Cognitive_Behavioral_Therapies > Behavior_Change_and_Activation',,780.0,,700.0,820.0
'[BIO] > Pharmacology_and_Biomedical_Treatments > Sleep_Related_Pharmacotherapy_Classes',,760.0,,,
'[BIO] > Neuromodulation_and_Neurostimulation > Biofeedback_and_Neurofeedback',,,750.0,,
'[BIO] > Pharmacology_and_Biomedical_Treatments > Medication_Formulations_and_Routes',,750.0,,,
'[BIO] > Sleep_and_Circadian > Sleep_Devices_and_Technologies',,750.0,,,
'[PSYCHO] > Cognitive_Behavioral_Therapies > Exposure_and_Inhibitory_Learning',,,,720.0,760.0
'[PSYCHO] > Cognitive_Behavioral_Therapies > Cognitive_Restructuring',,,,650.0,780.0
'[BIO] > Movement_and_Bodywork > Mobility_MindBody_and_Somatic_Modalities',,,700.0,,
'[BIO] > Sleep_and_Circadian > Sleep_Environment',,,700.0,,
'[PSYCHO] > Interpersonal_and_Attachment_Therapies > Interpersonal_Therapy_Family',,,,,700.0
'[BIO] > Movement_and_Bodywork > Strength_and_Resistance_Modalities',,,690.0,,
'[PSYCHO] > Cognitive_Behavioral_Therapies > Behavioral_Experiments_and_Learning',,,,680.0,
'[PSYCHO] > Third_Wave_and_Contextual_Therapies > Mindfulness_Based_Interventions',,,,,680.0
'[PSYCHO] > Cognitive_Behavioral_Therapies > Transdiagnostic_CBT_Frameworks',,,,640.0,700.0
'[PSYCHO] > Cognitive_Behavioral_Therapies > Problem_Solving_Training',,,,580.0,740.0
'[SOCIAL] > Interpersonal_Therapeutic_Solutions > Contextual_and_Practical_Supports',,,,,660.0
'[BIO] > Movement_and_Bodywork > Balance_and_Coordination_Modalities',,,650.0,,
'[BIO] > Neuromodulation_and_Neurostimulation > Light_and_Photo_Neuromodulation',,,650.0,,
'[PSYCHO] > Cognitive_Behavioral_Therapies > Perseverative_Cognition_Interventions',,,,600.0,
'[BIO] > Sleep_and_Circadian > Circadian_Entrainment',70.0,900.0,850.0,500.0,650.0
'[BIO] > Personalization_and_Monitoring > Wearables_and_Home_Monitoring',,,650.0,500.0,
'[BIO] > Sleep_and_Circadian > Sleep_Routines_and_Practices',70.0,,800.0,520.0,700.0
'[BIO] > Movement_and_Bodywork > Digital_and_Remote_Therapy_Formats',70.0,,,,
'[BIO] > Personalization_and_Monitoring > Self_Assessment_Instruments',70.0,,,,
'[PSYCHO] > Digital_and_Tech_Enabled_Solutions > Care_Delivery_Formats',70.0,,,,
'[PSYCHO] > Digital_and_Tech_Enabled_Solutions > Digital_Tools_and_Supports',70.0,,,,
'[SOCIAL] > Care_Navigation_Access_and_Coordination > Care_Navigation_and_Access',70.0,,,,
'[SOCIAL] > Social_Support_and_Belonging > Network_Building_And_Maintenance',70.0,,,,
'[SOCIAL] > Social_Support_and_Belonging > Support_Network_Development',70.0,,,,
'[SOCIAL] > Interpersonal_Therapeutic_Solutions > Skill_Building_and_Psychoeducation',60.0,,,,
