predictor_path,anxiety disorders / selective mutism / with severe speech avoidance / *speech_avoidance_across_social_settings,anxiety disorders / social anxiety disorder / generalized / fear of public speaking / *anticipatory_anxiety_public_speaking
'[PSYCHO] > Cognitive_Behavioral_Therapies > Behavior_Change_and_Activation',860.0,
'[PSYCHO] > Cognitive_Behavioral_Therapies > Exposure_and_Inhibitory_Learning',900.0,700.0
'[PSYCHO] > Skills_Libraries > Interpersonal_and_Communication_Skills',780.0,
'[BIO] > Neuromodulation_and_Neurostimulation > Biofeedback_and_Neurofeedback',,750.0
'[PSYCHO] > Cognitive_Behavioral_Therapies > Behavioral_Experiments_and_Learning',820.0,650.0
'[BIO] > Neuromodulation_and_Neurostimulation > Transcranial_Electrical_Stimulation_Family',,720.0
'[BIO] > Neuromodulation_and_Neurostimulation > Transcranial_Magnetic_Stimulation_Family',,710.0
'[BIO] > Neuromodulation_and_Neurostimulation > Transcranial_Electrical_Stimulation_Montages',,700.0
'[PSYCHO] > Cognitive_Behavioral_Therapies > Cognitive_Restructuring',700.0,
'[BIO] > Neuromodulation_and_Neurostimulation > Digital_and_Immersive_Neuromodulation',,680.0
'[BIO] > Neuromodulation_and_Neurostimulation > Transcranial_Magnetic_Stimulation_Targets',,680.0
'[PSYCHO] > Cognitive_Behavioral_Therapies > Problem_Solving_Training',,680.0
'[BIO] > Neuromodulation_and_Neurostimulation > Ultrasound_and_Mechanical_Neuromodulation',,650.0
'[SOCIAL] > Interpersonal_Therapeutic_Solutions > Conflict_and_Relationship_Repair',650.0,
'[SOCIAL] > Interpersonal_Therapeutic_Solutions > Assessment_and_Goal_Setting',600.0,
'[SOCIAL] > Interpersonal_Therapeutic_Solutions > Skill_Building_and_Psychoeducation',600.0,
'[SOCIAL] > Digital_Social_Environment > Digital_Life_Assessment_and_Guardrails',540.0,
'[SOCIAL] > Interpersonal_Therapeutic_Solutions > Contextual_and_Practical_Supports',520.0,
