method,profile,profile_type,spearman_rho,kendall_tau,top1_correct,top3_overlap
stationary-gVAR,0,dynamic,0.6071428571428572,0.5238095238095238,1,0.6666666666666666
tv-gVAR,0,dynamic,0.7857142857142859,0.7142857142857143,1,1.0
stationary-gVAR,1,static,0.8928571428571429,0.8095238095238096,1,1.0
tv-gVAR,1,static,0.9642857142857145,0.9047619047619049,1,1.0
stationary-gVAR,2,dynamic,0.7857142857142859,0.7142857142857143,1,0.6666666666666666
tv-gVAR,2,dynamic,0.8214285714285715,0.7142857142857143,1,0.6666666666666666
stationary-gVAR,3,static,0.7500000000000002,0.5238095238095238,1,0.6666666666666666
tv-gVAR,3,static,0.8571428571428573,0.7142857142857143,1,1.0
stationary-gVAR,4,dynamic,0.9642857142857145,0.9047619047619049,1,1.0
tv-gVAR,4,dynamic,0.9285714285714288,0.8095238095238096,1,1.0
stationary-gVAR,5,static,0.8214285714285715,0.7142857142857143,0,0.6666666666666666
tv-gVAR,5,static,0.7857142857142859,0.6190476190476191,0,0.6666666666666666
stationary-gVAR,6,dynamic,0.7500000000000002,0.6190476190476191,1,0.6666666666666666
tv-gVAR,6,dynamic,0.8214285714285715,0.7142857142857143,1,0.6666666666666666
stationary-gVAR,7,static,0.7500000000000002,0.6190476190476191,1,1.0
tv-gVAR,7,static,0.9642857142857145,0.9047619047619049,1,1.0
stationary-gVAR,8,dynamic,0.8571428571428573,0.7142857142857143,1,0.6666666666666666
tv-gVAR,8,dynamic,0.8928571428571429,0.8095238095238096,1,0.6666666666666666
stationary-gVAR,9,static,0.8571428571428573,0.7142857142857143,1,1.0
tv-gVAR,9,static,0.9642857142857145,0.9047619047619049,1,1.0
stationary-gVAR,10,dynamic,0.5357142857142858,0.33333333333333337,1,0.6666666666666666
tv-gVAR,10,dynamic,0.7500000000000002,0.5238095238095238,1,0.6666666666666666
stationary-gVAR,11,static,0.8214285714285715,0.6190476190476191,1,0.6666666666666666
tv-gVAR,11,static,0.8214285714285715,0.6190476190476191,1,0.6666666666666666
stationary-gVAR,12,dynamic,1.0,1.0,1,1.0
tv-gVAR,12,dynamic,0.9642857142857145,0.9047619047619049,1,1.0
stationary-gVAR,13,static,0.7142857142857144,0.6190476190476191,1,0.6666666666666666
tv-gVAR,13,static,0.8214285714285715,0.6190476190476191,1,0.6666666666666666
stationary-gVAR,14,dynamic,0.8928571428571429,0.8095238095238096,1,1.0
tv-gVAR,14,dynamic,0.9642857142857145,0.9047619047619049,1,1.0
stationary-gVAR,15,static,0.8571428571428573,0.7142857142857143,1,1.0
tv-gVAR,15,static,0.8571428571428573,0.7142857142857143,1,1.0
stationary-gVAR,16,dynamic,0.7857142857142859,0.6190476190476191,1,0.6666666666666666
tv-gVAR,16,dynamic,0.8928571428571429,0.8095238095238096,1,0.6666666666666666
stationary-gVAR,17,static,0.8571428571428573,0.7142857142857143,1,0.6666666666666666
tv-gVAR,17,static,0.9285714285714288,0.8095238095238096,1,0.6666666666666666
stationary-gVAR,18,dynamic,0.642857142857143,0.5238095238095238,0,0.6666666666666666
tv-gVAR,18,dynamic,0.7142857142857144,0.6190476190476191,0,0.6666666666666666
stationary-gVAR,19,static,0.8571428571428573,0.7142857142857143,0,1.0
tv-gVAR,19,static,0.9285714285714288,0.8095238095238096,0,1.0
stationary-gVAR,20,dynamic,0.8571428571428573,0.7142857142857143,1,1.0
tv-gVAR,20,dynamic,0.8571428571428573,0.7142857142857143,1,1.0
stationary-gVAR,21,static,0.5714285714285715,0.4285714285714286,0,0.6666666666666666
tv-gVAR,21,static,0.8571428571428573,0.7142857142857143,0,0.6666666666666666
stationary-gVAR,22,dynamic,0.8214285714285715,0.6190476190476191,0,0.6666666666666666
tv-gVAR,22,dynamic,0.8214285714285715,0.6190476190476191,0,0.6666666666666666
stationary-gVAR,23,static,0.8829187134416479,0.7807200583588265,1,0.6666666666666666
tv-gVAR,23,static,0.7857142857142859,0.7142857142857143,0,0.6666666666666666
stationary-gVAR,24,dynamic,0.9642857142857145,0.9047619047619049,1,1.0
tv-gVAR,24,dynamic,1.0,1.0,1,1.0
stationary-gVAR,25,static,0.7857142857142859,0.6190476190476191,0,1.0
tv-gVAR,25,static,0.8928571428571429,0.7142857142857143,0,1.0
stationary-gVAR,26,dynamic,0.6071428571428572,0.4285714285714286,0,0.6666666666666666
tv-gVAR,26,dynamic,0.6785714285714287,0.5238095238095238,0,0.6666666666666666
stationary-gVAR,27,static,0.7142857142857144,0.6190476190476191,1,0.6666666666666666
tv-gVAR,27,static,0.8571428571428573,0.7142857142857143,1,0.6666666666666666
stationary-gVAR,28,dynamic,0.7142857142857144,0.6190476190476191,1,0.6666666666666666
tv-gVAR,28,dynamic,0.8214285714285715,0.7142857142857143,1,0.6666666666666666
stationary-gVAR,29,static,0.7857142857142859,0.6190476190476191,0,0.6666666666666666
tv-gVAR,29,static,0.7857142857142859,0.6190476190476191,0,0.6666666666666666
