backend,operation,predictor_id,predictor_full_path,repeat,latency_ms,result_size
SQL,top10_criteria_for_predictor,123,[SOCIAL] > Family_Parenting_and_Household_Systems > Family_and_Household_Services,0,0.091917,10
SQL,top10_criteria_for_predictor,123,[SOCIAL] > Family_Parenting_and_Household_Systems > Family_and_Household_Services,1,0.040041,10
SQL,top10_criteria_for_predictor,123,[SOCIAL] > Family_Parenting_and_Household_Systems > Family_and_Household_Services,2,0.036417,10
SQL,top10_criteria_for_predictor,123,[SOCIAL] > Family_Parenting_and_Household_Systems > Family_and_Household_Services,3,0.03475,10
SQL,top10_criteria_for_predictor,123,[SOCIAL] > Family_Parenting_and_Household_Systems > Family_and_Household_Services,4,0.0335,10
SQL,top10_criteria_for_predictor,123,[SOCIAL] > Family_Parenting_and_Household_Systems > Family_and_Household_Services,5,0.032666,10
SQL,criterion_degree_for_predictor,123,[SOCIAL] > Family_Parenting_and_Household_Systems > Family_and_Household_Services,0,0.036333,1
SQL,criterion_degree_for_predictor,123,[SOCIAL] > Family_Parenting_and_Household_Systems > Family_and_Household_Services,1,0.035209,1
SQL,criterion_degree_for_predictor,123,[SOCIAL] > Family_Parenting_and_Household_Systems > Family_and_Household_Services,2,0.034417,1
SQL,criterion_degree_for_predictor,123,[SOCIAL] > Family_Parenting_and_Household_Systems > Family_and_Household_Services,3,0.03425,1
SQL,criterion_degree_for_predictor,123,[SOCIAL] > Family_Parenting_and_Household_Systems > Family_and_Household_Services,4,0.033834,1
SQL,criterion_degree_for_predictor,123,[SOCIAL] > Family_Parenting_and_Household_Systems > Family_and_Household_Services,5,0.033834,1
SQL,top10_criteria_for_predictor,103,[PSYCHO] > Trauma_Memory_Imagery_and_Narrative_Work > Cognitive_Trauma_Processing,0,0.071916,10
SQL,top10_criteria_for_predictor,103,[PSYCHO] > Trauma_Memory_Imagery_and_Narrative_Work > Cognitive_Trauma_Processing,1,0.034125,10
SQL,top10_criteria_for_predictor,103,[PSYCHO] > Trauma_Memory_Imagery_and_Narrative_Work > Cognitive_Trauma_Processing,2,0.032375,10
SQL,top10_criteria_for_predictor,103,[PSYCHO] > Trauma_Memory_Imagery_and_Narrative_Work > Cognitive_Trauma_Processing,3,0.031458,10
SQL,top10_criteria_for_predictor,103,[PSYCHO] > Trauma_Memory_Imagery_and_Narrative_Work > Cognitive_Trauma_Processing,4,0.030708,10
SQL,top10_criteria_for_predictor,103,[PSYCHO] > Trauma_Memory_Imagery_and_Narrative_Work > Cognitive_Trauma_Processing,5,0.030084,10
SQL,criterion_degree_for_predictor,103,[PSYCHO] > Trauma_Memory_Imagery_and_Narrative_Work > Cognitive_Trauma_Processing,0,0.031583,1
SQL,criterion_degree_for_predictor,103,[PSYCHO] > Trauma_Memory_Imagery_and_Narrative_Work > Cognitive_Trauma_Processing,1,0.030666,1
SQL,criterion_degree_for_predictor,103,[PSYCHO] > Trauma_Memory_Imagery_and_Narrative_Work > Cognitive_Trauma_Processing,2,0.030375,1
SQL,criterion_degree_for_predictor,103,[PSYCHO] > Trauma_Memory_Imagery_and_Narrative_Work > Cognitive_Trauma_Processing,3,0.029958,1
SQL,criterion_degree_for_predictor,103,[PSYCHO] > Trauma_Memory_Imagery_and_Narrative_Work > Cognitive_Trauma_Processing,4,0.029708,1
SQL,criterion_degree_for_predictor,103,[PSYCHO] > Trauma_Memory_Imagery_and_Narrative_Work > Cognitive_Trauma_Processing,5,0.029667,1
SQL,top10_criteria_for_predictor,32,[BIO] > Nutrition_and_Metabolism > Microbiome_Interventions,0,0.340208,10
SQL,top10_criteria_for_predictor,32,[BIO] > Nutrition_and_Metabolism > Microbiome_Interventions,1,0.264042,10
SQL,top10_criteria_for_predictor,32,[BIO] > Nutrition_and_Metabolism > Microbiome_Interventions,2,0.223709,10
SQL,top10_criteria_for_predictor,32,[BIO] > Nutrition_and_Metabolism > Microbiome_Interventions,3,0.173042,10
SQL,top10_criteria_for_predictor,32,[BIO] > Nutrition_and_Metabolism > Microbiome_Interventions,4,0.17275,10
SQL,top10_criteria_for_predictor,32,[BIO] > Nutrition_and_Metabolism > Microbiome_Interventions,5,0.140084,10
SQL,criterion_degree_for_predictor,32,[BIO] > Nutrition_and_Metabolism > Microbiome_Interventions,0,0.212916,1
SQL,criterion_degree_for_predictor,32,[BIO] > Nutrition_and_Metabolism > Microbiome_Interventions,1,0.20625,1
SQL,criterion_degree_for_predictor,32,[BIO] > Nutrition_and_Metabolism > Microbiome_Interventions,2,0.208917,1
SQL,criterion_degree_for_predictor,32,[BIO] > Nutrition_and_Metabolism > Microbiome_Interventions,3,0.203542,1
SQL,criterion_degree_for_predictor,32,[BIO] > Nutrition_and_Metabolism > Microbiome_Interventions,4,0.205333,1
SQL,criterion_degree_for_predictor,32,[BIO] > Nutrition_and_Metabolism > Microbiome_Interventions,5,0.210625,1
SQL,top10_criteria_for_predictor,25,[BIO] > Neuromodulation_and_Neurostimulation > Ultrasound_and_Mechanical_Neuromodulation,0,0.266917,10
SQL,top10_criteria_for_predictor,25,[BIO] > Neuromodulation_and_Neurostimulation > Ultrasound_and_Mechanical_Neuromodulation,1,0.167416,10
SQL,top10_criteria_for_predictor,25,[BIO] > Neuromodulation_and_Neurostimulation > Ultrasound_and_Mechanical_Neuromodulation,2,0.161792,10
SQL,top10_criteria_for_predictor,25,[BIO] > Neuromodulation_and_Neurostimulation > Ultrasound_and_Mechanical_Neuromodulation,3,0.156792,10
SQL,top10_criteria_for_predictor,25,[BIO] > Neuromodulation_and_Neurostimulation > Ultrasound_and_Mechanical_Neuromodulation,4,0.1545,10
SQL,top10_criteria_for_predictor,25,[BIO] > Neuromodulation_and_Neurostimulation > Ultrasound_and_Mechanical_Neuromodulation,5,0.153417,10
SQL,criterion_degree_for_predictor,25,[BIO] > Neuromodulation_and_Neurostimulation > Ultrasound_and_Mechanical_Neuromodulation,0,0.255166,1
SQL,criterion_degree_for_predictor,25,[BIO] > Neuromodulation_and_Neurostimulation > Ultrasound_and_Mechanical_Neuromodulation,1,0.253875,1
SQL,criterion_degree_for_predictor,25,[BIO] > Neuromodulation_and_Neurostimulation > Ultrasound_and_Mechanical_Neuromodulation,2,0.255458,1
SQL,criterion_degree_for_predictor,25,[BIO] > Neuromodulation_and_Neurostimulation > Ultrasound_and_Mechanical_Neuromodulation,3,0.253541,1
SQL,criterion_degree_for_predictor,25,[BIO] > Neuromodulation_and_Neurostimulation > Ultrasound_and_Mechanical_Neuromodulation,4,0.252083,1
SQL,criterion_degree_for_predictor,25,[BIO] > Neuromodulation_and_Neurostimulation > Ultrasound_and_Mechanical_Neuromodulation,5,0.256167,1
SQL,top10_criteria_for_predictor,20,[BIO] > Neuromodulation_and_Neurostimulation > Sensory_and_Network_Modulation,0,0.487333,10
SQL,top10_criteria_for_predictor,20,[BIO] > Neuromodulation_and_Neurostimulation > Sensory_and_Network_Modulation,1,0.213834,10
SQL,top10_criteria_for_predictor,20,[BIO] > Neuromodulation_and_Neurostimulation > Sensory_and_Network_Modulation,2,0.170917,10
SQL,top10_criteria_for_predictor,20,[BIO] > Neuromodulation_and_Neurostimulation > Sensory_and_Network_Modulation,3,0.167334,10
SQL,top10_criteria_for_predictor,20,[BIO] > Neuromodulation_and_Neurostimulation > Sensory_and_Network_Modulation,4,0.164334,10
SQL,top10_criteria_for_predictor,20,[BIO] > Neuromodulation_and_Neurostimulation > Sensory_and_Network_Modulation,5,0.161917,10
SQL,criterion_degree_for_predictor,20,[BIO] > Neuromodulation_and_Neurostimulation > Sensory_and_Network_Modulation,0,0.277083,1
SQL,criterion_degree_for_predictor,20,[BIO] > Neuromodulation_and_Neurostimulation > Sensory_and_Network_Modulation,1,0.271583,1
SQL,criterion_degree_for_predictor,20,[BIO] > Neuromodulation_and_Neurostimulation > Sensory_and_Network_Modulation,2,0.268917,1
SQL,criterion_degree_for_predictor,20,[BIO] > Neuromodulation_and_Neurostimulation > Sensory_and_Network_Modulation,3,0.276459,1
SQL,criterion_degree_for_predictor,20,[BIO] > Neuromodulation_and_Neurostimulation > Sensory_and_Network_Modulation,4,0.276792,1
SQL,criterion_degree_for_predictor,20,[BIO] > Neuromodulation_and_Neurostimulation > Sensory_and_Network_Modulation,5,0.268291,1
SQL,top10_criteria_for_predictor,13,[BIO] > Neuromodulation_and_Neurostimulation > Biofeedback_and_Neurofeedback,0,0.627583,10
SQL,top10_criteria_for_predictor,13,[BIO] > Neuromodulation_and_Neurostimulation > Biofeedback_and_Neurofeedback,1,0.254375,10
SQL,top10_criteria_for_predictor,13,[BIO] > Neuromodulation_and_Neurostimulation > Biofeedback_and_Neurofeedback,2,0.230084,10
SQL,top10_criteria_for_predictor,13,[BIO] > Neuromodulation_and_Neurostimulation > Biofeedback_and_Neurofeedback,3,0.227459,10
SQL,top10_criteria_for_predictor,13,[BIO] > Neuromodulation_and_Neurostimulation > Biofeedback_and_Neurofeedback,4,0.225417,10
SQL,top10_criteria_for_predictor,13,[BIO] > Neuromodulation_and_Neurostimulation > Biofeedback_and_Neurofeedback,5,0.225917,10
SQL,criterion_degree_for_predictor,13,[BIO] > Neuromodulation_and_Neurostimulation > Biofeedback_and_Neurofeedback,0,0.409917,1
SQL,criterion_degree_for_predictor,13,[BIO] > Neuromodulation_and_Neurostimulation > Biofeedback_and_Neurofeedback,1,0.406958,1
SQL,criterion_degree_for_predictor,13,[BIO] > Neuromodulation_and_Neurostimulation > Biofeedback_and_Neurofeedback,2,0.402375,1
SQL,criterion_degree_for_predictor,13,[BIO] > Neuromodulation_and_Neurostimulation > Biofeedback_and_Neurofeedback,3,0.400125,1
SQL,criterion_degree_for_predictor,13,[BIO] > Neuromodulation_and_Neurostimulation > Biofeedback_and_Neurofeedback,4,0.411291,1
SQL,criterion_degree_for_predictor,13,[BIO] > Neuromodulation_and_Neurostimulation > Biofeedback_and_Neurofeedback,5,0.399084,1
SQL,top10_criteria_for_predictor,121,[SOCIAL] > Digital_Social_Environment > Safety_Privacy_and_Online_Conflict_Support,0,0.085333,10
SQL,top10_criteria_for_predictor,121,[SOCIAL] > Digital_Social_Environment > Safety_Privacy_and_Online_Conflict_Support,1,0.038708,10
SQL,top10_criteria_for_predictor,121,[SOCIAL] > Digital_Social_Environment > Safety_Privacy_and_Online_Conflict_Support,2,0.03625,10
SQL,top10_criteria_for_predictor,121,[SOCIAL] > Digital_Social_Environment > Safety_Privacy_and_Online_Conflict_Support,3,0.035125,10
SQL,top10_criteria_for_predictor,121,[SOCIAL] > Digital_Social_Environment > Safety_Privacy_and_Online_Conflict_Support,4,0.034084,10
SQL,top10_criteria_for_predictor,121,[SOCIAL] > Digital_Social_Environment > Safety_Privacy_and_Online_Conflict_Support,5,0.034166,10
SQL,criterion_degree_for_predictor,121,[SOCIAL] > Digital_Social_Environment > Safety_Privacy_and_Online_Conflict_Support,0,0.037959,1
SQL,criterion_degree_for_predictor,121,[SOCIAL] > Digital_Social_Environment > Safety_Privacy_and_Online_Conflict_Support,1,0.037458,1
SQL,criterion_degree_for_predictor,121,[SOCIAL] > Digital_Social_Environment > Safety_Privacy_and_Online_Conflict_Support,2,0.03725,1
SQL,criterion_degree_for_predictor,121,[SOCIAL] > Digital_Social_Environment > Safety_Privacy_and_Online_Conflict_Support,3,0.036333,1
SQL,criterion_degree_for_predictor,121,[SOCIAL] > Digital_Social_Environment > Safety_Privacy_and_Online_Conflict_Support,4,0.03625,1
SQL,criterion_degree_for_predictor,121,[SOCIAL] > Digital_Social_Environment > Safety_Privacy_and_Online_Conflict_Support,5,0.03625,1
SQL,top10_criteria_for_predictor,118,[SOCIAL] > Digital_Social_Environment > Digital_Life_Assessment_and_Guardrails,0,0.202167,10
SQL,top10_criteria_for_predictor,118,[SOCIAL] > Digital_Social_Environment > Digital_Life_Assessment_and_Guardrails,1,0.090375,10
SQL,top10_criteria_for_predictor,118,[SOCIAL] > Digital_Social_Environment > Digital_Life_Assessment_and_Guardrails,2,0.083042,10
SQL,top10_criteria_for_predictor,118,[SOCIAL] > Digital_Social_Environment > Digital_Life_Assessment_and_Guardrails,3,0.080666,10
SQL,top10_criteria_for_predictor,118,[SOCIAL] > Digital_Social_Environment > Digital_Life_Assessment_and_Guardrails,4,0.0785,10
SQL,top10_criteria_for_predictor,118,[SOCIAL] > Digital_Social_Environment > Digital_Life_Assessment_and_Guardrails,5,0.086209,10
SQL,criterion_degree_for_predictor,118,[SOCIAL] > Digital_Social_Environment > Digital_Life_Assessment_and_Guardrails,0,0.1065,1
SQL,criterion_degree_for_predictor,118,[SOCIAL] > Digital_Social_Environment > Digital_Life_Assessment_and_Guardrails,1,0.106208,1
SQL,criterion_degree_for_predictor,118,[SOCIAL] > Digital_Social_Environment > Digital_Life_Assessment_and_Guardrails,2,0.105417,1
SQL,criterion_degree_for_predictor,118,[SOCIAL] > Digital_Social_Environment > Digital_Life_Assessment_and_Guardrails,3,0.104958,1
SQL,criterion_degree_for_predictor,118,[SOCIAL] > Digital_Social_Environment > Digital_Life_Assessment_and_Guardrails,4,0.10475,1
SQL,criterion_degree_for_predictor,118,[SOCIAL] > Digital_Social_Environment > Digital_Life_Assessment_and_Guardrails,5,0.107875,1
SQL,top10_criteria_for_predictor,67,[PSYCHO] > Cognitive_Behavioral_Therapies > Schema_Focused_CBT_Derivatives,0,0.105292,10
SQL,top10_criteria_for_predictor,67,[PSYCHO] > Cognitive_Behavioral_Therapies > Schema_Focused_CBT_Derivatives,1,0.044375,10
SQL,top10_criteria_for_predictor,67,[PSYCHO] > Cognitive_Behavioral_Therapies > Schema_Focused_CBT_Derivatives,2,0.04225,10
SQL,top10_criteria_for_predictor,67,[PSYCHO] > Cognitive_Behavioral_Therapies > Schema_Focused_CBT_Derivatives,3,0.040917,10
SQL,top10_criteria_for_predictor,67,[PSYCHO] > Cognitive_Behavioral_Therapies > Schema_Focused_CBT_Derivatives,4,0.0395,10
SQL,top10_criteria_for_predictor,67,[PSYCHO] > Cognitive_Behavioral_Therapies > Schema_Focused_CBT_Derivatives,5,0.038917,10
SQL,criterion_degree_for_predictor,67,[PSYCHO] > Cognitive_Behavioral_Therapies > Schema_Focused_CBT_Derivatives,0,0.045791,1
