hcp_code,case_code,survey_name,survey_link,email_subject,email_body_template
HCP-PRE-01,C01,PHOENIX_PRE_HCP-PRE-01_C01,PASTE_FINAL_QUALTRICS_LINK_HERE,Uitnodiging PHOENIX-evaluatiestudie - HCP-PRE-01,"Beste collega,

Hierbij stuur ik u de link naar uw toegewezen PHOENIX-evaluatiesurvey (C01; 28-jarige softwareontwikkelaar). De survey bevat eerst geinformeerde toestemming, daarna een korte intake en vervolgens de inhoudelijke casusopgaven. Gelieve de survey zelfstandig in te vullen op basis van uw eigen klinisch oordeel, zonder gebruik van generatieve AI of andere externe hulp.

Surveylink: {SURVEY_LINK}

Hartelijk dank voor uw medewerking.

Stijn Van Severen"
HCP-PRE-02,C02,PHOENIX_PRE_HCP-PRE-02_C02,PASTE_FINAL_QUALTRICS_LINK_HERE,Uitnodiging PHOENIX-evaluatiestudie - HCP-PRE-02,"Beste collega,

Hierbij stuur ik u de link naar uw toegewezen PHOENIX-evaluatiesurvey (C02; 34-jarige administratief medewerker in de zorg). De survey bevat eerst geinformeerde toestemming, daarna een korte intake en vervolgens de inhoudelijke casusopgaven. Gelieve de survey zelfstandig in te vullen op basis van uw eigen klinisch oordeel, zonder gebruik van generatieve AI of andere externe hulp.

Surveylink: {SURVEY_LINK}

Hartelijk dank voor uw medewerking.

Stijn Van Severen"
HCP-PRE-03,C03,PHOENIX_PRE_HCP-PRE-03_C03,PASTE_FINAL_QUALTRICS_LINK_HERE,Uitnodiging PHOENIX-evaluatiestudie - HCP-PRE-03,"Beste collega,

Hierbij stuur ik u de link naar uw toegewezen PHOENIX-evaluatiesurvey (C03; 41-jarige leraar secundair onderwijs). De survey bevat eerst geinformeerde toestemming, daarna een korte intake en vervolgens de inhoudelijke casusopgaven. Gelieve de survey zelfstandig in te vullen op basis van uw eigen klinisch oordeel, zonder gebruik van generatieve AI of andere externe hulp.

Surveylink: {SURVEY_LINK}

Hartelijk dank voor uw medewerking.

Stijn Van Severen"
HCP-PRE-04,C04,PHOENIX_PRE_HCP-PRE-04_C04,PASTE_FINAL_QUALTRICS_LINK_HERE,Uitnodiging PHOENIX-evaluatiestudie - HCP-PRE-04,"Beste collega,

Hierbij stuur ik u de link naar uw toegewezen PHOENIX-evaluatiesurvey (C04; 63-jarige gepensioneerde professional). De survey bevat eerst geinformeerde toestemming, daarna een korte intake en vervolgens de inhoudelijke casusopgaven. Gelieve de survey zelfstandig in te vullen op basis van uw eigen klinisch oordeel, zonder gebruik van generatieve AI of andere externe hulp.

Surveylink: {SURVEY_LINK}

Hartelijk dank voor uw medewerking.

Stijn Van Severen"
HCP-PRE-05,C05,PHOENIX_PRE_HCP-PRE-05_C05,PASTE_FINAL_QUALTRICS_LINK_HERE,Uitnodiging PHOENIX-evaluatiestudie - HCP-PRE-05,"Beste collega,

Hierbij stuur ik u de link naar uw toegewezen PHOENIX-evaluatiesurvey (C05; 25-jarige postgraduaatsstudent). De survey bevat eerst geinformeerde toestemming, daarna een korte intake en vervolgens de inhoudelijke casusopgaven. Gelieve de survey zelfstandig in te vullen op basis van uw eigen klinisch oordeel, zonder gebruik van generatieve AI of andere externe hulp.

Surveylink: {SURVEY_LINK}

Hartelijk dank voor uw medewerking.

Stijn Van Severen"
HCP-PRE-06,C06,PHOENIX_PRE_HCP-PRE-06_C06,PASTE_FINAL_QUALTRICS_LINK_HERE,Uitnodiging PHOENIX-evaluatiestudie - HCP-PRE-06,"Beste collega,

Hierbij stuur ik u de link naar uw toegewezen PHOENIX-evaluatiesurvey (C06; 32-jarige marketingprofessional). De survey bevat eerst geinformeerde toestemming, daarna een korte intake en vervolgens de inhoudelijke casusopgaven. Gelieve de survey zelfstandig in te vullen op basis van uw eigen klinisch oordeel, zonder gebruik van generatieve AI of andere externe hulp.

Surveylink: {SURVEY_LINK}

Hartelijk dank voor uw medewerking.

Stijn Van Severen"
HCP-PRE-07,C07,PHOENIX_PRE_HCP-PRE-07_C07,PASTE_FINAL_QUALTRICS_LINK_HERE,Uitnodiging PHOENIX-evaluatiestudie - HCP-PRE-07,"Beste collega,

Hierbij stuur ik u de link naar uw toegewezen PHOENIX-evaluatiesurvey (C07; 46-jarige accountmanager). De survey bevat eerst geinformeerde toestemming, daarna een korte intake en vervolgens de inhoudelijke casusopgaven. Gelieve de survey zelfstandig in te vullen op basis van uw eigen klinisch oordeel, zonder gebruik van generatieve AI of andere externe hulp.

Surveylink: {SURVEY_LINK}

Hartelijk dank voor uw medewerking.

Stijn Van Severen"
HCP-PRE-08,C08,PHOENIX_PRE_HCP-PRE-08_C08,PASTE_FINAL_QUALTRICS_LINK_HERE,Uitnodiging PHOENIX-evaluatiestudie - HCP-PRE-08,"Beste collega,

Hierbij stuur ik u de link naar uw toegewezen PHOENIX-evaluatiesurvey (C08; 38-jarige projectmanager). De survey bevat eerst geinformeerde toestemming, daarna een korte intake en vervolgens de inhoudelijke casusopgaven. Gelieve de survey zelfstandig in te vullen op basis van uw eigen klinisch oordeel, zonder gebruik van generatieve AI of andere externe hulp.

Surveylink: {SURVEY_LINK}

Hartelijk dank voor uw medewerking.

Stijn Van Severen"
HCP-PRE-09,C09,PHOENIX_PRE_HCP-PRE-09_C09,PASTE_FINAL_QUALTRICS_LINK_HERE,Uitnodiging PHOENIX-evaluatiestudie - HCP-PRE-09,"Beste collega,

Hierbij stuur ik u de link naar uw toegewezen PHOENIX-evaluatiesurvey (C09; 27-jarige salesvertegenwoordiger). De survey bevat eerst geinformeerde toestemming, daarna een korte intake en vervolgens de inhoudelijke casusopgaven. Gelieve de survey zelfstandig in te vullen op basis van uw eigen klinisch oordeel, zonder gebruik van generatieve AI of andere externe hulp.

Surveylink: {SURVEY_LINK}

Hartelijk dank voor uw medewerking.

Stijn Van Severen"
HCP-PRE-10,C10,PHOENIX_PRE_HCP-PRE-10_C10,PASTE_FINAL_QUALTRICS_LINK_HERE,Uitnodiging PHOENIX-evaluatiestudie - HCP-PRE-10,"Beste collega,

Hierbij stuur ik u de link naar uw toegewezen PHOENIX-evaluatiesurvey (C10; 52-jarige operationeel directeur). De survey bevat eerst geinformeerde toestemming, daarna een korte intake en vervolgens de inhoudelijke casusopgaven. Gelieve de survey zelfstandig in te vullen op basis van uw eigen klinisch oordeel, zonder gebruik van generatieve AI of andere externe hulp.

Surveylink: {SURVEY_LINK}

Hartelijk dank voor uw medewerking.

Stijn Van Severen"
