filename,used_in,description
shared_part3_example_network.png,Deel 3 voorbeeldblok in alle 10 surveys,Voorbeeldnetwerk dat de logica van Part 3 illustreert.
c01_part3_network.png,Deel 3 case block voor HCP-PRE-01 / C01,Case-specifiek netwerk voor C01 (28-jarige softwareontwikkelaar).
c02_part3_network.png,Deel 3 case block voor HCP-PRE-02 / C02,Case-specifiek netwerk voor C02 (34-jarige administratief medewerker in de zorg).
c03_part3_network.png,Deel 3 case block voor HCP-PRE-03 / C03,Case-specifiek netwerk voor C03 (41-jarige leraar secundair onderwijs).
c04_part3_network.png,Deel 3 case block voor HCP-PRE-04 / C04,Case-specifiek netwerk voor C04 (63-jarige gepensioneerde professional).
c05_part3_network.png,Deel 3 case block voor HCP-PRE-05 / C05,Case-specifiek netwerk voor C05 (25-jarige postgraduaatsstudent).
c06_part3_network.png,Deel 3 case block voor HCP-PRE-06 / C06,Case-specifiek netwerk voor C06 (32-jarige marketingprofessional).
c07_part3_network.png,Deel 3 case block voor HCP-PRE-07 / C07,Case-specifiek netwerk voor C07 (46-jarige accountmanager).
c08_part3_network.png,Deel 3 case block voor HCP-PRE-08 / C08,Case-specifiek netwerk voor C08 (38-jarige projectmanager).
c09_part3_network.png,Deel 3 case block voor HCP-PRE-09 / C09,Case-specifiek netwerk voor C09 (27-jarige salesvertegenwoordiger).
c10_part3_network.png,Deel 3 case block voor HCP-PRE-10 / C10,Case-specifiek netwerk voor C10 (52-jarige operationeel directeur).
